Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
NVDA,NVIDIA Corporation,197.68,-2.32,-1.16,63273000,161917000,0,2026-06-24T17:38:49.253034
AAPL,Apple Inc.,296.49,2.2,0.75,17982000,47480000,0,2026-06-24T17:38:49.253034
GOOGL,Alphabet Inc.,348.63,2.54,0.73,15066000,30152000,0,2026-06-24T17:38:49.253034
GOOG,Alphabet Inc.,347.69,1.61,0.47,8904000,20685000,0,2026-06-24T17:38:49.253034
MSFT,Microsoft Corporation,371.23,-2.71,-0.72,16164000,36066000,0,2026-06-24T17:38:49.253034
AMZN,"Amazon.com, Inc.",239.06,4.95,2.11,28940000,45747000,0,2026-06-24T17:38:49.253034
SPCX,Space Exploration Technologies Corp.,155.26,-0.85,-0.54,49688000,252738000,0,2026-06-24T17:38:49.253034
AVGO,Broadcom Inc.,379.93,-0.22,-0.06,14389000,25890000,0,2026-06-24T17:38:49.253034
META,"Meta Platforms, Inc.",556.03,-6.17,-1.1,7088000,17550000,0,2026-06-24T17:38:49.253034
TSLA,"Tesla, Inc.",374.78,-6.83,-1.79,20241000,57493000,0,2026-06-24T17:38:49.253034
MU,"Micron Technology, Inc.",1026.08,-25.69,-2.44,30782000,50894000,0,2026-06-24T17:38:49.253034
WMT,Walmart Inc.,118.98,-0.44,-0.37,7118000,20340000,946852000000,2026-06-24T17:38:49.253034
AMD,"Advanced Micro Devices, Inc.",508.73,-11.12,-2.14,12448000,37911000,829527000000,2026-06-24T17:38:49.253034
INTC,Intel Corporation,130.32,-1.96,-1.49,61093000,134775000,654963000000,2026-06-24T17:38:49.253034
XOM,Exxon Mobil Corporation,135.95,-3.78,-2.7,6265000,19178000,563510000000,2026-06-24T17:38:49.253034
CSCO,"Cisco Systems, Inc.",119.67,-1.48,-1.22,7792000,23422000,471662000000,2026-06-24T17:38:49.253034
ORCL,Oracle Corporation,155.87,-9.29,-5.62,21537000,26627000,448979000000,2026-06-24T17:38:49.253034
BAC,Bank of America Corporation,57.55,-0.36,-0.62,12864000,36060000,408409000000,2026-06-24T17:38:49.253034
KO,The Coca-Cola Company,80.68,0.38,0.47,8006000,15685000,347146000000,2026-06-24T17:38:49.253034
NFLX,"Netflix, Inc.",71.9,-0.92,-1.26,25782000,40412000,302756000000,2026-06-24T17:38:49.253034
PLTR,Palantir Technologies Inc.,112.65,-4.05,-3.47,30085000,44217000,270057000000,2026-06-24T17:38:49.253034
WFC,Wells Fargo & Company,83.89,-0.24,-0.29,4399000,16526000,256717000000,2026-06-24T17:38:49.253034
MRVL,"Marvell Technology, Inc.",265.6,-13.44,-4.82,20481000,41971000,232347000000,2026-06-24T17:38:49.253034
NVO,Novo Nordisk A/S,47.17,-0.25,-0.53,7875000,15478000,208815000000,2026-06-24T17:38:49.253034
QCOM,QUALCOMM Incorporated,195.15,-8.99,-4.4,9119000,21083000,205683000000,2026-06-24T17:38:49.253034
VZ,Verizon Communications Inc.,45.46,-1.27,-2.73,11728000,24349000,189800000000,2026-06-24T17:38:49.253034
T,AT&T Inc.,22.36,-0.44,-1.95,26217000,41866000,155400000000,2026-06-24T17:38:49.253034
UBER,"Uber Technologies, Inc.",73.72,4.05,5.81,20859000,17738000,150063000000,2026-06-24T17:38:49.253034
PFE,Pfizer Inc.,23.98,-0.74,-3.01,42095000,37349000,136644000000,2026-06-24T17:38:49.253034
CRM,"Salesforce, Inc.",153.61,0.19,0.12,6795000,15009000,125807000000,2026-06-24T17:38:49.253034
PBR,Petróleo Brasileiro S.A. - Petrobras,16.32,-0.71,-4.17,7537000,21161000,105172000000,2026-06-24T17:38:49.253034
NOW,"ServiceNow, Inc.",93.52,-2.42,-2.52,9538000,28825000,96448000000,2026-06-24T17:38:49.253034
HOOD,"Robinhood Markets, Inc.",96.87,-6.38,-6.18,18703000,31455000,87232000000,2026-06-24T17:38:49.253034
ITUB,Itaú Unibanco Holding S.A.,7.85,-0.09,-1.13,11341000,22909000,86522000000,2026-06-24T17:38:49.253034
LYG,Lloyds Banking Group plc,5.61,-0.12,-2.09,13721000,22683000,81628000000,2026-06-24T17:38:49.253034
CMCSA,Comcast Corporation,22.57,-0.23,-1.03,13796000,31302000,80607000000,2026-06-24T17:38:49.253034
NOK,Nokia Oyj,13.74,0.05,0.33,70522000,110126000,76732000000,2026-06-24T17:38:49.253034
UMC,United Microelectronics Corporation,27.71,1.51,5.76,15751000,15383000,69532000000,2026-06-24T17:38:49.253034
SLB,SLB N.V.,45.97,-1.82,-3.81,17532000,15111000,68728000000,2026-06-24T17:38:49.253034
WBD,"Warner Bros. Discovery, Inc.",26.98,0.1,0.35,21943000,20777000,67630000000,2026-06-24T17:38:49.253034
BSX,Boston Scientific Corporation,44.63,-0.97,-2.13,8590000,19929000,66336000000,2026-06-24T17:38:49.253034
HPE,Hewlett Packard Enterprise Company,48.65,-0.27,-0.55,10418000,25353000,64423000000,2026-06-24T17:38:49.253034
