Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
ARAFF,Arafura Rare Earths Limited,0.07,-0.025,-26.32,228164,68452,186846000,2024-01-25T06:18:52.948832
CWSFF,Cielo Waste Solutions Corp.,0.0107,-0.0053,-33.13,1179000,70212,25258000,2024-01-25T06:18:52.948832
LVGLF,Lake Victoria Gold Ltd.,0.141,-0.149,-51.38,1650,18045,14878000,2024-01-25T06:18:52.948832
MLYCF,Multi-Metal Development Ltd.,0.022,-0.008,-26.67,153885,31708,7548000,2024-01-25T06:18:52.948832
KHRNF,Khiron Life Sciences Corp.,0.012,-0.0055,-31.43,179707,159058,7005000,2024-01-25T06:18:52.948832
KPIFF,Edgewater Wireless Systems Inc.,0.0293,-0.0081,-21.52,11900,17623,6166000,2024-01-25T06:18:52.948832
NVSGF,Nevada Sunrise Metals Corporation,0.05,-0.013,-20.63,36417,49731,6109000,2024-01-25T06:18:52.948832
SCYYF,Scandium International Mining Corp.,0.014,-0.004,-22.22,203000,34880,5289000,2024-01-25T06:18:52.948832
BGAVF,Bravada Gold Corporation,0.03,-0.0088,-22.68,82929,108653,4444000,2024-01-25T06:18:52.948832
AWKNF,Awakn Life Sciences Corp.,0.085,-0.035,-29.17,23493,50724,4438000,2024-01-25T06:18:52.948832
SXTP,"60 Degrees Pharmaceuticals, Inc.",0.6,-0.2,-25.0,447030,603791,3480000,2024-01-25T06:18:52.948832
TGCB,Tego Cyber Inc.,0.06,-0.0178,-22.88,145950,33184,3227000,2024-01-25T06:18:52.948832
LOBEF,Lobe Sciences Ltd.,0.014,-0.0045,-24.32,1666,51995,3004000,2024-01-25T06:18:52.948832
SSYRF,Sassy Gold Corp.,0.0299,-0.0077,-20.4,10500,38422,2278000,2024-01-25T06:18:52.948832
CSRNF,Canstar Resources Inc.,0.02,-0.0121,-37.69,53500,27646,2538000,2024-01-25T06:18:52.948832
