Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
SLGGF,SolGold Plc,0.0848,-0.0252,-22.91,5000,39598,254494000,2024-03-05T06:17:11.101686
WLMTF,Wuling Motors Holdings Limited,0.0409,-0.0248,-37.75,25000,18768,183265000,2024-03-05T06:17:11.101686
IXRRF,Ionic Rare Earths Limited,0.014,-0.011,-44.0,750,10135,60316000,2024-03-05T06:17:11.101686
OTCFF,Ocumetics Technology Corp.,0.1908,-0.0492,-20.5,261635,13863,29115000,2024-03-05T06:17:11.101686
CETI,"Cyber Enviro-Tech, Inc.",0.18,-0.08,-30.77,16513,25883,30742000,2024-03-05T06:17:11.101686
ASTR,"Astra Space, Inc.",0.8002,-0.5298,-39.83,2898000,488179,30147000,2024-03-05T06:17:11.101686
NBMFF,NEO Battery Materials Ltd.,0.115,-0.035,-23.33,60200,11902,16069000,2024-03-05T06:17:11.101686
JOAN,JOANN Inc.,0.285,-0.221,-43.68,3408000,166257,21207000,2024-03-05T06:17:11.101686
BCDA,"BioCardia, Inc.",0.4551,-0.1247,-21.51,3558000,255077,15025000,2024-03-05T06:17:11.101686
FRCB,First Republic Bank,0.0475,-0.0125,-20.83,268390,898205,11173000,2024-03-05T06:17:11.101686
NRPI,NRP Stone Inc.,0.0192,-0.0088,-31.43,27000,21753,9850000,2024-03-05T06:17:11.101686
USDP,USD Partners LP,0.194,-0.051,-20.82,22555,73572,8275000,2024-03-05T06:17:11.101686
ORHB,"ORHub, Inc.",0.04,-0.01,-20.0,832319,155772,6118000,2024-03-05T06:17:11.101686
RFLXF,Reflex Advanced Materials Corp.,0.0918,-0.0282,-23.54,90863,24446,6490000,2024-03-05T06:17:11.101686
RIINF,Canadian Critical Minerals Inc.,0.0215,-0.0059,-21.53,8000,67264,6631000,2024-03-05T06:17:11.101686
TIPS,"Tianrong Internet Products and Services, Inc.",0.049,-0.019,-27.94,52615,23611,5758000,2024-03-05T06:17:11.101686
RRDMF,Royal Road Minerals Limited,0.0151,-0.0699,-82.24,87000,17678,16637000,2024-03-05T06:17:11.101686
CINGF,Coinsilium Group Limited,0.0225,-0.0099,-30.62,130500,56621,5679000,2024-03-05T06:17:11.101686
FLYNF,Flying Nickel Mining Corp.,0.0406,-0.0109,-21.17,131018,22682,4541000,2024-03-05T06:17:11.101686
AGFY,Agrify Corporation,0.47,-0.1278,-21.38,1824000,3319000,4440000,2024-03-05T06:17:11.101686
CSRNF,Canstar Resources Inc.,0.0275,-0.0076,-21.65,42789,20722,4193000,2024-03-05T06:17:11.101686
PTRAQ,Proterra Inc.,0.014,-0.0037,-20.9,1092000,1575000,4039000,2024-03-05T06:17:11.101686
SAGGF,Sterling Metals Corp.,0.02,-0.0065,-24.53,4195,15603,3729000,2024-03-05T06:17:11.101686
BWMY,"BorrowMoney.com, Inc.",0.024,-0.02,-45.45,63895,20653,4911000,2024-03-05T06:17:11.101686
XTCYF,Xtacy Therapeutics Corp.,0.05,-0.1499,-74.99,110000,16557,2461000,2024-03-05T06:17:11.101686
TNTMF,Transition Metals Corp.,0.035,-0.011,-23.91,1200,14039,2728000,2024-03-05T06:17:11.101686
GRCMF,Green Shift Commodities Ltd.,0.0215,-0.0062,-22.52,1720,12312,2470000,2024-03-05T06:17:11.101686
HMMR,Hammer Fiber Optics Holdings Corp,0.0305,-0.0695,-69.5,10712,23161,6268000,2024-03-05T06:17:11.101686
JUBAF,Majuba Hill Copper Corp.,0.0264,-0.0079,-23.0,20697,51463,2258000,2024-03-05T06:17:11.101686
RIBT,RiceBran Technologies,0.1455,-0.0407,-21.86,2380,29655,1771000,2024-03-05T06:17:11.101686
CORR,"CorEnergy Infrastructure Trust, Inc.",0.0198,-0.223,-91.85,3601000,134214,1289000,2024-03-05T06:17:11.101686
HGYN,Hong Yuan Holding Group,0.015,-0.005,-25.0,15120,31124,1493000,2024-03-05T06:17:11.101686
CTTH,"CTT Pharmaceutical Holdings, Inc.",0.02,-0.0065,-24.53,5500,20672,1282000,2024-03-05T06:17:11.101686
MLRT,"MetAlert, Inc.",0.0275,-0.0075,-21.43,79248,71010,1124000,2024-03-05T06:17:11.101686
DREM,Dream Homes & Development Corporation,0.021,-0.0063,-23.08,9200,11740,1103000,2024-03-05T06:17:11.101686
SMFL,"Smart for Life, Inc.",0.9202,-0.2598,-22.02,383663,394385,935088,2024-03-05T06:17:11.101686
ATHXQ,"Athersys, Inc.",0.0105,-0.0029,-21.67,212584,1390000,827648,2024-03-05T06:17:11.101686
AESO,"Atlantic Energy Solutions, Inc.",0.0125,-0.0035,-21.88,5700,65528,761416,2024-03-05T06:17:11.101686
SOFO,"Sonic Foundry, Inc.",0.04,-0.03,-42.86,137718,25825,849756,2024-03-05T06:17:11.101686
