Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
GME,GameStop Corp.,39.55,-9.2,-18.87,126123000,15637000,12110000000,2024-05-16T06:18:19.831705
DLO,DLocal Limited,10.0,-3.58,-26.36,16077000,1444000,2888000000,2024-05-16T06:18:19.831705
MTC,"MMTec, Inc.",7.05,-1.85,-20.79,933558,2364000,1404000000,2024-05-16T06:18:19.831705
SPCE,"Virgin Galactic Holdings, Inc.",1.06,-0.21,-16.54,22583000,17076000,436044000,2024-05-16T06:18:19.831705
VTSI,"VirTra, Inc.",11.51,-4.9,-29.86,1475000,276657,127873000,2024-05-16T06:18:19.831705
BIG,"Big Lots, Inc.",3.93,-0.78,-16.56,3297000,1394000,115985000,2024-05-16T06:18:19.831705
VOXX,VOXX International Corporation,4.53,-1.42,-23.87,188891,38685,102369000,2024-05-16T06:18:19.831705
CRIS,"Curis, Inc.",13.0,-2.69,-17.14,84832,26804,76623000,2024-05-16T06:18:19.831705
BCTX,BriaCell Therapeutics Corp.,1.63,-0.48,-22.75,301113,71927,26921000,2024-05-16T06:18:19.831705
NNVC,"NanoViricides, Inc.",1.8,-0.46,-20.35,343057,94627,21202000,2024-05-16T06:18:19.831705
JXJT,JX Luxventure Limited,1.3,-0.3,-18.75,224082,76113,7882000,2024-05-16T06:18:19.831705
CLVR,Clever Leaves Holdings Inc.,2.11,-0.39,-15.6,39231,50170,3703000,2024-05-16T06:18:19.831705
