Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
MZDAY,Mazda Motor Corporation,6.24,0.02,0.32,96147,83709,8080000000,2024-02-13T06:19:10.385909
UGP,Ultrapar Participações S.A.,5.98,0.02,0.34,614619,1319000,6515000000,2024-02-13T06:19:10.385909
AUR,"Aurora Innovation, Inc.",3.34,0.02,0.6,5072000,6488000,5076000000,2024-02-13T06:19:10.385909
HMY,Harmony Gold Mining Company Limited,5.87,0.01,0.17,4841000,4850000,3700000000,2024-02-13T06:19:10.385909
UEC,Uranium Energy Corp.,7.94,0.23,2.98,8886000,8414000,3120000000,2024-02-13T06:19:10.385909
OPEN,Opendoor Technologies Inc.,3.56,0.05,1.42,21969000,20896000,2385000000,2024-02-13T06:19:10.385909
YLLXF,Yellow Cake plc,9.75,0.27,2.79,16522,22081,2114000000,2024-02-13T06:19:10.385909
CLBT,Cellebrite DI Ltd.,9.28,-0.15,-1.59,253888,919410,1832000000,2024-02-13T06:19:10.385909
BQSSF,Boss Energy Limited,3.38,-0.11,-3.15,10861,49186,1397000000,2024-02-13T06:19:10.385909
AVPT,"AvePoint, Inc.",8.0,-0.17,-2.08,992100,782686,1469000000,2024-02-13T06:19:10.385909
VTEX,VTEX,7.58,-0.07,-0.92,170421,356918,1424000000,2024-02-13T06:19:10.385909
ZJYL,Jin Medical International Ltd.,8.31,0.85,11.39,839927,1488000,1301000000,2024-02-13T06:19:10.385909
AUTL,Autolus Therapeutics plc,6.99,0.61,9.56,5051000,1545000,1216000000,2024-02-13T06:19:10.385909
MDXG,"MiMedx Group, Inc.",8.3,0.34,4.27,686004,655860,1215000000,2024-02-13T06:19:10.385909
CIFR,Cipher Mining Inc.,3.9,0.55,16.42,10639000,8464000,1003000000,2024-02-13T06:19:10.385909
BITF,Bitfarms Ltd.,3.07,0.35,12.87,40432000,29543000,990907000,2024-02-13T06:19:10.385909
DYLLF,Deep Yellow Limited,0.974,-0.026,-2.6,77968,219026,744793000,2024-02-13T06:19:10.385909
TK,Teekay Corporation,8.23,0.18,2.24,518687,629385,748513000,2024-02-13T06:19:10.385909
SNWGF,Snowline Gold Corp.,3.8635,-0.1465,-3.65,49963,66777,559273000,2024-02-13T06:19:10.385909
QD,Qudian Inc.,2.33,0.02,0.87,754608,854958,524015000,2024-02-13T06:19:10.385909
REAX,The Real Brokerage Inc.,2.86,-0.11,-3.7,423004,270693,519948000,2024-02-13T06:19:10.385909
CATX,"Perspective Therapeutics, Inc.",0.83,-0.0701,-7.79,1681000,1693000,410514000,2024-02-13T06:19:10.385909
TALK,"Talkspace, Inc.",2.37,-0.08,-3.27,731558,876981,396015000,2024-02-13T06:19:10.385909
BNNLF,Bannerman Energy Ltd,2.285,-0.035,-1.51,58051,62260,349242000,2024-02-13T06:19:10.385909
DAKT,"Daktronics, Inc.",7.81,0.21,2.76,364323,656434,360667000,2024-02-13T06:19:10.385909
BTBT,"Bit Digital, Inc.",3.28,0.24,7.89,13505000,8505000,350212000,2024-02-13T06:19:10.385909
JFIN,Jiayin Group Inc.,5.51,0.33,6.37,46911,69036,295805000,2024-02-13T06:19:10.385909
DRSHF,DroneShield Limited,0.45,-0.01,-2.17,35316,18856,275469000,2024-02-13T06:19:10.385909
ADTH,"AdTheorent Holding Company, Inc.",2.74,0.05,1.86,196583,201521,241783000,2024-02-13T06:19:10.385909
GAU,Galiano Gold Inc.,0.925,-0.021,-2.22,301417,405872,208084000,2024-02-13T06:19:10.385909
ORN,"Orion Group Holdings, Inc.",6.18,0.09,1.48,168270,100862,200795000,2024-02-13T06:19:10.385909
VIRC,Virco Mfg. Corporation,9.83,0.36,3.8,388629,252603,160694000,2024-02-13T06:19:10.385909
IMRX,Immuneering Corporation,6.65,0.04,0.61,68971,62498,194640000,2024-02-13T06:19:10.385909
XBIT,XBiotech Inc.,6.02,0.14,2.38,50442,24761,183231000,2024-02-13T06:19:10.385909
MAMA,"Mama's Creations, Inc.",4.51,0.11,2.5,355342,387101,168893000,2024-02-13T06:19:10.385909
SURG,"SurgePays, Inc.",8.97,0.54,6.41,1139000,507921,152154000,2024-02-13T06:19:10.385909
ESOA,Energy Services of America Corporation,7.74,-0.38,-4.68,191931,123906,128540000,2024-02-13T06:19:10.385909
TZOO,Travelzoo,8.59,0.53,6.58,135973,121277,120018000,2024-02-13T06:19:10.385909
ULBI,Ultralife Corporation,7.72,-0.15,-1.91,52217,55552,126146000,2024-02-13T06:19:10.385909
DMAC,DiaMedica Therapeutics Inc.,3.15,-0.08,-2.48,28010,47835,119554000,2024-02-13T06:19:10.385909
VRSSF,VERSES AI Inc.,1.2,-0.07,-5.51,354660,280811,118872000,2024-02-13T06:19:10.385909
IZM,ICZOOM Group Inc.,9.15,-0.28,-2.97,233817,352013,94887000,2024-02-13T06:19:10.385909
DMGGF,DMG Blockchain Solutions Inc.,0.5197,0.0577,12.48,834998,373365,87407000,2024-02-13T06:19:10.385909
LFVN,LifeVantage Corporation,6.48,-0.13,-1.97,74608,40591,83388000,2024-02-13T06:19:10.385909
