Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
PTHRF,Pantheon Resources Plc,0.77,0.04,5.49,145038,657367,877429000,2025-02-18T06:35:32.110867
MLXEF,Metals X Limited,0.32,0.0,1.14,9750,30776,295416000,2025-02-18T06:35:32.110867
LPDNF,Lepidico Limited,0.01,0.0,0.0,5940,18363,185956000,2025-02-18T06:35:32.110867
XPL,Solitario Resources Corp.,0.77,0.01,1.21,48810,53135,62642000,2025-02-18T06:35:32.110867
TYPTF,-,0.02,0.0,0.0,32500,118469,29616000,2025-02-18T06:35:32.110867
AGGI,"Allied Energy, Inc.",0.01,0.0,0.0,35000,36513,27322000,2025-02-18T06:35:32.110867
CINGF,Coinsilium Group Limited,0.04,0.0,0.0,14900,92914,7886000,2025-02-18T06:35:32.110867
STGZ,Stargaze Entertainment Group Inc.,0.05,0.0,10.64,223436,423567,7422000,2025-02-18T06:35:32.110867
DRCR,Dear Cashmere Holding Company,0.1,0.01,14.57,19469,144168,5645000,2025-02-18T06:35:32.110867
AGTT,"Angstrom Technologies, Inc.",0.14,0.0,0.0,90000,11868,5049000,2025-02-18T06:35:32.110867
BNCM,"Bounce Mobile Systems, Inc.",0.01,0.0,21.95,77829,93836,4996000,2025-02-18T06:35:32.110867
