Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
OLVI,"Oliveda International, Inc.",2.93,0.7,31.39,15124,22677,1791000000,2024-03-08T06:17:00.494879
SOUN,"SoundHound AI, Inc.",5.63,0.59,11.71,84953000,38901000,1740000000,2024-03-08T06:17:00.494879
RSI,"Rush Street Interactive, Inc.",6.26,0.87,16.14,8008000,875422,1391000000,2024-03-08T06:17:00.494879
REAX,The Real Brokerage Inc.,3.43,0.59,20.77,2225000,332883,623574000,2024-03-08T06:17:00.494879
RENB,Renovaro Inc.,2.99,0.33,12.41,415059,193330,429567000,2024-03-08T06:17:00.494879
AQST,"Aquestive Therapeutics, Inc.",5.68,0.65,12.92,5827000,1238000,416351000,2024-03-08T06:17:00.494879
MNMD,Mind Medicine (MindMed) Inc.,9.0,3.06,51.52,37910000,796891,372009000,2024-03-08T06:17:00.494879
ATAI,Atai Life Sciences N.V.,2.19,0.2,10.05,5446000,1371000,363562000,2024-03-08T06:17:00.494879
RGTI,"Rigetti Computing, Inc.",2.08,0.3,16.85,13215000,5184000,305026000,2024-03-08T06:17:00.494879
QBTS,D-Wave Quantum Inc.,1.84,0.24,15.0,8176000,3303000,294268000,2024-03-08T06:17:00.494879
BCHG,Grayscale Bitcoin Cash Trust,8.17,0.86,11.76,1184000,537932,259607000,2024-03-08T06:17:00.494879
GSIT,"GSI Technology, Inc.",4.59,0.45,10.87,1656000,385176,116104000,2024-03-08T06:17:00.494879
ZENV,Zenvia Inc.,2.28,0.23,11.22,197752,194177,115699000,2024-03-08T06:17:00.494879
EQ,"Equillium, Inc.",2.71,0.45,19.91,296672,346837,95173000,2024-03-08T06:17:00.494879
LEXX,Lexaria Bioscience Corp.,5.0,0.52,11.61,1417000,265933,61889000,2024-03-08T06:17:00.494879
BIMI,BIMI Holdings Inc.,3.92,0.48,13.95,28036,32225,54894000,2024-03-08T06:17:00.494879
SWVL,Swvl Holdings Corp.,7.4,2.02,37.55,355894,202730,50258000,2024-03-08T06:17:00.494879
ONEI,OneMeta Inc.,1.17,0.27,30.0,61092,14190,35858000,2024-03-08T06:17:00.494879
BTCY,"Biotricity, Inc.",1.31,0.36,37.89,404425,58389,12340000,2024-03-08T06:17:00.494879
EBFI,ECO BRIGHT FUTURE INC,2.96,0.3924,15.28,530,13193,0,2024-03-08T06:17:00.494879
