Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
FXGDF,FELIX GOLD LTD.,0.54,0.16,42.11,9500,24248,265726000,2026-02-05T21:05:17.695953
KAIFF,Kairos Minerals Limited,0.03,0.01,69.01,40870,74610,104406000,2026-02-05T21:05:17.695953
CAULF,Cauldron Energy Limited,0.03,0.01,57.89,35000,137762,61109000,2026-02-05T21:05:17.695953
CATPF,Giyani Metals Corp.,0.1,0.03,42.86,12000,36500,33381000,2026-02-05T21:05:17.695953
BNTRF,Benton Resources Inc.,0.09,0.02,35.71,46000,48685,29386000,2026-02-05T21:05:17.695953
DECXF,Decade Resources Ltd.,0.1,0.04,53.85,183285,421295,22772000,2026-02-05T21:05:17.695953
DIGTF,Thruvision Group plc,0.01,0.0,48.15,200000,16442,5363000,2026-02-05T21:05:17.695953
SETO,"SETO Holdings, Inc.",0.03,0.02,154.55,31110,12279,3317000,2026-02-05T21:05:17.695953
VAXX,"Vaxxinity, Inc.",0.02,0.02,0.0,257,17081,2821000,2026-02-05T21:05:17.695953
UMGP,Universal Media Group Inc.,0.05,0.02,50.0,90336,21906,1656000,2026-02-05T21:05:17.695953
CGNO,"CognoGroup, Inc.",0.02,0.01,44.0,21800,97100,1517000,2026-02-05T21:05:17.695953
CCFLU,CCF Holdings LLC,0.05,0.05,0.0,32751,20163,0,2026-02-05T21:05:17.695953
