title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Friday,20220506T160650,https://www.benzinga.com/markets/options/22/05/27050916/52-weeks-high-and-low-article,AAOI,0.005467,Neutral,0.002418
Stocks That Hit 52-Week Lows On Monday,20220418T154044,https://www.benzinga.com/news/22/04/26669813/stocks-that-hit-52-week-lows-on-monday,AAOI,0.005428,Neutral,-0.009025
Why Recursion Pharmaceuticals Shares Are Trading Lower By Around 10%? Here Are Other Stocks Moving In Tuesday's Mid-Day Session - Intel  ( NASDAQ:INTC ) ,20240903T174109,https://www.benzinga.com/news/24/09/40693495/why-recursion-pharmaceuticals-shares-are-trading-lower-by-around-10-here-are-other-stocks-moving-in,AAOI,0.090474,Somewhat-Bullish,0.314624
Stocks That Hit 52-Week Lows On Tuesday,20220426T174457,https://www.benzinga.com/markets/options/22/04/26818122/52-weeks-high-and-low-article,AAOI,0.00928,Neutral,-0.003689
Stocks That Hit 52-Week Lows On Wednesday,20220427T184104,https://www.benzinga.com/markets/options/22/04/26844275/52-weeks-high-and-low-article,AAOI,0.006956,Neutral,-0.0007
Why Natera Shares Are Trading Higher By 15%; Here Are 20 Stocks Moving Premarket - Natera  ( NASDAQ:NTRA ) ,20240510T124422,https://www.benzinga.com/news/24/05/38759503/why-natera-shares-are-trading-higher-by-15-here-are-20-stocks-moving-premarket,AAOI,0.140896,Neutral,0.082821
"Akamai Technologies Issues Weak Outlook, Joins Applied Optoelectronics, JFrog And Other Big Stocks Moving Lower In Friday's Pre-Market Session - Akamai Techs  ( NASDAQ:AKAM ) ",20240510T094515,https://www.benzinga.com/news/24/05/38754753/akamai-technologies-issues-weak-outlook-joins-applied-optoelectronics-jfrog-and-other-big-stocks-mov,AAOI,0.202366,Neutral,-0.129046
Stocks That Hit 52-Week Lows On Friday,20220422T162629,https://www.benzinga.com/markets/options/22/04/26764450/52-weeks-high-and-low-article,AAOI,0.012589,Neutral,-0.008505
"Why Root Shares Are Trading Higher By 50%; Here Are 20 Stocks Moving Premarket - Applied Optoelectronics  ( NASDAQ:AAOI ) , Ault Disruptive Tech  ( AMEX:ADRT ) ",20230622T115106,https://www.benzinga.com/news/23/06/32963665/why-root-shares-are-trading-higher-by-50-here-are-20-stocks-moving-premarket,AAOI,0.241284,Bullish,0.477653
"Why Aditxt Shares Dipped Over 58%; Here Are 82 Biggest Movers From Friday - Applied Optoelectronics  ( NASDAQ:AAOI ) , Adicet Bio  ( NASDAQ:ACET ) ",20220919T055309,https://www.benzinga.com/news/22/09/28909319/why-aditxt-shares-dipped-over-58-here-are-82-biggest-movers-from-friday,AAOI,0.056143,Neutral,0.072898
"General Motors Posts Upbeat Earnings, Joins Corning, HCA Healthcare And Other Big Stocks Moving Higher On Tuesday - General Motors  ( NYSE:GM ) ",20240130T150958,https://www.benzinga.com/news/24/01/36847245/general-motors-posts-upbeat-earnings-joins-corning-hca-healthcare-and-other-big-stocks-moving-higher,AAOI,0.28008,Somewhat-Bullish,0.197463
"Torrid Reports Upbeat Results, Joins MBIA, Virco Mfg. And Other Big Stocks Moving Higher On Friday - Applied Optoelectronics  ( NASDAQ:AAOI ) , ALX Oncology Holdings  ( NASDAQ:ALXO ) ",20231208T154052,https://www.benzinga.com/news/23/12/36154924/torrid-reports-upbeat-results-joins-mbia-virco-mfg-and-other-big-stocks-moving-higher-on-friday,AAOI,0.173958,Neutral,0.0
12 Information Technology Stocks Moving In Wednesday's Pre-Market Session,20220316T130701,https://www.benzinga.com/pre-market-outlook/22/03/26164292/12-information-technology-stocks-moving-in-wednesdays-pre-market-session,AAOI,0.129655,Neutral,-0.022188
"Aspen Aerogels Issues Business Update, Joins Plug Power, SunPower And Other Big Stocks Moving Lower On Thursday - Applied Optoelectronics  ( NASDAQ:AAOI ) , C3.ai  ( NYSE:AI ) ",20240111T153232,https://www.benzinga.com/news/24/01/36596069/aspen-aerogels-issues-business-update-joins-plug-power-sunpower-and-other-big-stocks-moving-lower-on,AAOI,0.220809,Bearish,-0.582579
"Global Mofy Metaverse Reports Follow-on Offering, Joins Lyft, Coinbase Global And Other Big Stocks Moving Lower On Friday - Applied Optoelectronics  ( NASDAQ:AAOI ) , Avalo Therapeutics  ( NASDAQ:AVTX ) ",20231229T154503,https://www.benzinga.com/news/23/12/36429147/global-mofy-metaverse-reports-follow-on-offering-joins-lyft-coinbase-global-and-other-big-stocks-mov,AAOI,0.247838,Neutral,0.0
"Earnings Scheduled For May 5, 2022",20220505T084322,https://www.benzinga.com/news/earnings/22/05/27012606/earnings-scheduled-for-may-5-2022,AAOI,0.009774,Neutral,-0.004423
