title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Friday,20220506T160650,https://www.benzinga.com/markets/options/22/05/27050916/52-weeks-high-and-low-article,ADCT,0.005467,Somewhat-Bearish,-0.316405
Stocks That Hit 52-Week Lows On Thursday,20220428T193101,https://www.benzinga.com/markets/options/22/04/26872967/52-weeks-high-and-low-article,ADCT,0.00644,Neutral,0.00032
"The Daily Biotech Pulse: Pfizer Inks Pact With Africa For COVID-19 Pills, Emergent Bio & Ridgeback To Increase Access To Ebola Treatment, ADC Therapeutics & Sobi In European Pact For Lymphoma Drug",20220708T121902,https://www.benzinga.com/general/biotech/22/07/27998206/the-daily-biotech-pulse-pfizer-inks-pact-with-africa-for-covid-19-pills-emergent-bio-ridgeback-to,ADCT,0.189471,Neutral,0.002725
"ADCT Awaits Cami Trial Data, CSTL Boosts Revenue Outlook, ANNX To Report HD Trial Data In Q2",20220510T094515,https://markets.businessinsider.com/news/stocks/adct-awaits-cami-trial-data-cstl-boosts-revenue-outlook-annx-to-report-hd-trial-data-in-q2-1031440845,ADCT,0.098041,Neutral,0.010487
Why Embark Technology Jumped Around 85%; Here Are 108 Biggest Movers From Friday,20220815T074324,https://www.benzinga.com/news/22/08/28488766/why-embark-technology-jumped-around-85-here-are-108-biggest-movers-from-friday,ADCT,0.050894,Neutral,-0.005002
Stocks That Hit 52-Week Lows On Thursday,20220428T193101,https://www.benzinga.com/markets/options/22/04/26872967/52-weeks-high-and-low-article,ADCT,0.00644,Neutral,0.00032
Stocks That Hit 52-Week Lows On Tuesday,20220426T174457,https://www.benzinga.com/markets/options/22/04/26818122/52-weeks-high-and-low-article,ADCT,0.00928,Neutral,-0.009378
Stocks That Hit 52-Week Lows On Tuesday,20220517T153602,https://www.benzinga.com/markets/options/22/05/27256852/52-weeks-high-and-low-article,ADCT,0.041198,Neutral,-0.002735
Stocks That Hit 52-Week Lows On Wednesday,20220427T184104,https://www.benzinga.com/markets/options/22/04/26844275/52-weeks-high-and-low-article,ADCT,0.006956,Neutral,0.003924
Tagworks Pharmaceuticals Announces $65 Million in Series A Financing to Advance Click-to-Release Therapeutics,20230622T135300,https://www.prnewswire.com/apac/news-releases/tagworks-pharmaceuticals-announces-65-million-in-series-a-financing-to-advance-click-to-release-therapeutics-301858150.html,ADCT,0.053449,Neutral,0.0
Stocks That Hit 52-Week Lows On Friday,20220506T160650,https://www.benzinga.com/markets/options/22/05/27050916/52-weeks-high-and-low-article,ADCT,0.005467,Somewhat-Bearish,-0.316405
Why Embark Technology Jumped Around 85%; Here Are 108 Biggest Movers From Friday,20220815T074324,https://www.benzinga.com/news/22/08/28488766/why-embark-technology-jumped-around-85-here-are-108-biggest-movers-from-friday,ADCT,0.050894,Neutral,-0.005002
Stocks That Hit 52-Week Lows On Friday,20220506T160650,https://www.benzinga.com/markets/options/22/05/27050916/52-weeks-high-and-low-article,ADCT,0.005467,Somewhat-Bearish,-0.316405
Stocks That Hit 52-Week Lows On Thursday,20220428T193101,https://www.benzinga.com/markets/options/22/04/26872967/52-weeks-high-and-low-article,ADCT,0.00644,Neutral,0.00032
Stocks That Hit 52-Week Lows On Wednesday,20220427T184104,https://www.benzinga.com/markets/options/22/04/26844275/52-weeks-high-and-low-article,ADCT,0.006956,Neutral,0.003924
Stocks That Hit 52-Week Lows On Tuesday,20220426T174457,https://www.benzinga.com/markets/options/22/04/26818122/52-weeks-high-and-low-article,ADCT,0.00928,Neutral,-0.009378
