title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
79 Biggest Movers From Yesterday,20220608T080800,https://www.benzinga.com/news/22/06/27602286/79-biggest-movers-from-yesterday,AEGG,0.030105,Neutral,0.000906
54 Biggest Movers From Yesterday,20220420T094334,https://www.benzinga.com/news/22/04/26706319/54-biggest-movers-from-yesterday,AEGG,0.034595,Neutral,-0.001069
38 Stocks Moving In Tuesday's Mid-Day Session,20220419T161631,https://www.benzinga.com/news/22/04/26694580/38-stocks-moving-in-tuesdays-mid-day-session,AEGG,0.050668,Neutral,-0.000444
51 Biggest Movers From Thursday,20220418T092156,https://www.benzinga.com/news/22/04/26660206/51-biggest-movers-from-thursday,AEGG,0.03478,Neutral,0.001193
77 Biggest Movers From Yesterday,20220601T090222,https://www.benzinga.com/news/22/06/27492435/77-biggest-movers-from-yesterday,AEGG,0.085721,Neutral,0.087159
40 Stocks Moving In Tuesday's Mid-Day Session,20220531T160405,https://www.benzinga.com/news/22/05/27478950/40-stocks-moving-in-tuesdays-mid-day-session,AEGG,0.172919,Neutral,0.06206
50 Stocks Moving In Friday's Mid-Day Session,20220311T170525,https://www.benzinga.com/news/22/03/26104400/50-stocks-moving-in-fridays-mid-day-session,AEGG,0.039302,Neutral,-0.052898
50 Biggest Movers From Yesterday,20220329T091148,https://www.benzinga.com/news/22/03/26340073/50-biggest-movers-from-yesterday,AEGG,0.037259,Neutral,-0.020854
35 Stocks Moving In Monday's Mid-Day Session,20220328T161143,https://www.benzinga.com/news/22/03/26327227/35-stocks-moving-in-mondays-mid-day-session,AEGG,0.051696,Neutral,-0.000284
22 Stocks Moving in Monday's Pre-Market Session,20220328T103414,https://www.benzinga.com/markets/penny-stocks/22/03/26316998/22-stocks-moving-in-mondays-pre-market-session,AEGG,0.074069,Neutral,-0.000227
