title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Wednesday,20220511T162815,https://www.benzinga.com/markets/options/22/05/27141482/52-weeks-high-and-low-article,ATRA,0.006905,Neutral,0.004071
Stocks That Hit 52-Week Lows On Thursday,20220428T193101,https://www.benzinga.com/markets/options/22/04/26872967/52-weeks-high-and-low-article,ATRA,0.00644,Neutral,-0.003442
Annexon  ( ANNX )  to Report Q1 Earnings: What's in the Cards?,20240501T141500,https://www.zacks.com/stock/news/2266131/annexon-annx-to-report-q1-earnings-whats-in-the-cards,ATRA,0.182851,Neutral,0.019761
Stocks That Hit 52-Week Lows On Monday,20220418T154044,https://www.benzinga.com/news/22/04/26669813/stocks-that-hit-52-week-lows-on-monday,ATRA,0.005428,Neutral,-0.00496
Why Embark Technology Jumped Around 85%; Here Are 108 Biggest Movers From Friday,20220815T074324,https://www.benzinga.com/news/22/08/28488766/why-embark-technology-jumped-around-85-here-are-108-biggest-movers-from-friday,ATRA,0.050894,Neutral,0.119369
Stocks That Hit 52-Week Lows On Tuesday,20220426T174457,https://www.benzinga.com/markets/options/22/04/26818122/52-weeks-high-and-low-article,ATRA,0.00928,Neutral,-6.7e-05
Emergent  ( EBS )  Acquires Worldwide Rights to Smallpox Antiviral,20220927T141300,https://www.zacks.com/stock/news/1985459/emergent-ebs-acquires-worldwide-rights-to-smallpox-antiviral,ATRA,0.391311,Somewhat-Bullish,0.21
Stocks That Hit 52-Week Lows On Tuesday,20220524T161351,https://www.benzinga.com/markets/options/22/05/27375519/52-weeks-high-and-low-article,ATRA,0.010175,Neutral,-0.000551
Bolt Biotherapeutics Announces Changes to its Board of Directors - Bolt Biotherapeutics  ( NASDAQ:BOLT ) ,20240904T200500,https://www.benzinga.com/pressreleases/24/09/g40718039/bolt-biotherapeutics-announces-changes-to-its-board-of-directors,ATRA,0.057215,Neutral,0.002001
Pyxis Oncology Successfully Completes Acquisition of Apexigen - Pyxis Oncology  ( NASDAQ:PYXS ) ,20230823T123500,https://www.benzinga.com/pressreleases/23/08/g34002489/pyxis-oncology-successfully-completes-acquisition-of-apexigen,ATRA,0.029472,Neutral,-0.086323
Pyxis Oncology Successfully Completes Acquisition of Apexigen,20230823T123500,https://www.globenewswire.com/news-release/2023/08/23/2730427/0/en/Pyxis-Oncology-Successfully-Completes-Acquisition-of-Apexigen.html,ATRA,0.030524,Neutral,-0.086771
Stocks That Hit 52-Week Lows On Thursday,20220421T175401,https://www.benzinga.com/markets/options/22/04/26742233/52-weeks-high-and-low-article,ATRA,0.021637,Neutral,0.006966
"Why Rocket Lab Shares Are Trading Higher By 15%; Here Are 20 Stocks Moving Premarket - Advent Technologies Hldgs  ( NASDAQ:ADN ) , Asset Entities  ( NASDAQ:ASST ) ",20231222T125831,https://www.benzinga.com/news/23/12/36360331/why-rocket-lab-shares-are-trading-higher-by-15-here-are-20-stocks-moving-premarket,ATRA,0.127795,Neutral,0.090721
"Why Huntington Bancshares Shares Surged Around 10%; Here Are 72 Biggest Movers From Friday - Amprius Technologies  ( NYSE:AMPX ) , ALFI  ( NASDAQ:ALF ) ",20221024T093702,https://www.benzinga.com/news/22/10/29374553/why-huntington-bancshares-shares-surged-around-10-here-are-72-biggest-movers-from-friday,ATRA,0.062761,Neutral,0.0
MacroGenics Announces Appointment of William Heiden to Board of Directors,20220523T200100,https://www.benzinga.com/pressreleases/22/05/g27357395/macrogenics-announces-appointment-of-william-heiden-to-board-of-directors,ATRA,0.032251,Neutral,0.025013
Stocks That Hit 52-Week Lows On Friday,20220422T162629,https://www.benzinga.com/markets/options/22/04/26764450/52-weeks-high-and-low-article,ATRA,0.012589,Neutral,0.003479
"Why Aditxt Shares Dipped Over 58%; Here Are 82 Biggest Movers From Friday - Applied Optoelectronics  ( NASDAQ:AAOI ) , Adicet Bio  ( NASDAQ:ACET ) ",20220919T055309,https://www.benzinga.com/news/22/09/28909319/why-aditxt-shares-dipped-over-58-here-are-82-biggest-movers-from-friday,ATRA,0.056143,Somewhat-Bearish,-0.300006
Poseida Therapeutics Provides Updates and Financial Results for the Fourth Quarter and Full Year 2023,20240307T210700,https://www.prnewswire.com/news-releases/poseida-therapeutics-provides-updates-and-financial-results-for-the-fourth-quarter-and-full-year-2023-302083497.html,ATRA,0.028188,Neutral,0.024086
Poseida Therapeutics Announces Leadership Transition,20231009T203000,https://www.prnewswire.com/news-releases/poseida-therapeutics-announces-leadership-transition-301951263.html,ATRA,0.03463,Neutral,0.034208
"CAR T-cell Therapy for Multiple Myeloma Market to Observe Stunning Growth by 2032, Evaluates DelveInsight | Key Companies - Cartesian, Arcellx, Novartis, Bristol-Myers Squibb, CARsgen, Poseida, Juno, CRISPR, bluebird bio",20230925T210100,https://www.prnewswire.com/news-releases/car-t-cell-therapy-for-multiple-myeloma-market-to-observe-stunning-growth-by-2032-evaluates-delveinsight--key-companies---cartesian-arcellx-novartis-bristol-myers-squibb-carsgen-poseida-juno-crispr-bluebird-bio-301937157.html,ATRA,0.018757,Neutral,0.012868
"Presenting on the Emerging Growth Conference 72 Day 2 on June 13 Register Now - ASP Isotopes  ( NASDAQ:ASPI ) , Ascend Wellness Holdings  ( OTC:AAWH ) ",20240612T110000,https://www.benzinga.com/pressreleases/24/06/g39287525/presenting-on-the-emerging-growth-conference-72-day-2-on-june-13-register-now,ATRA,0.079392,Somewhat-Bullish,0.226377
"Presenting on the Emerging Growth Conference 72 Day 1 on June 12 Register Now - ASP Isotopes  ( NASDAQ:ASPI ) , Ascend Wellness Holdings  ( OTC:AAWH ) ",20240611T110000,https://www.benzinga.com/pressreleases/24/06/g39266903/presenting-on-the-emerging-growth-conference-72-day-1-on-june-12-register-now,ATRA,0.079656,Somewhat-Bullish,0.226478
"Spruce Biosciences, Inc.  ( SPRB )  Reports Q2 Loss, Tops Revenue Estimates",20240812T211005,https://www.zacks.com/stock/news/2320936/spruce-biosciences-inc-sprb-reports-q2-loss-tops-revenue-estimates,ATRA,0.208764,Neutral,0.0
"Why AppLovin Shares Are Trading Higher By Over 15%; Here Are 20 Stocks Moving Premarket - AppLovin  ( NASDAQ:APP ) , Alarum Technologies  ( NASDAQ:ALAR ) ",20231109T142935,https://www.benzinga.com/news/23/11/35697678/why-applovin-shares-are-trading-higher-by-over-15-here-are-20-stocks-moving-premarket,ATRA,0.16849,Neutral,0.050636
"Moderna, Amazon, Tesla, And Other Big Gainers From Friday - Atara Biotherapeutics  ( NASDAQ:ATRA ) , Amazon.com  ( NASDAQ:AMZN ) ",20221024T081911,https://www.benzinga.com/news/22/10/29372471/moderna-amazon-tesla-and-other-big-gainers-from-friday,ATRA,0.179788,Neutral,0.0
