title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Why Tattooed Chef Shares Dipped Around 15%; Here Are 95 Biggest Movers From Friday - Alcoa  ( NYSE:AA ) , Aurora Cannabis  ( NASDAQ:ACB ) ",20221114T073517,https://www.benzinga.com/news/earnings/22/11/29694040/why-tattooed-chef-shares-dipped-around-15-here-are-95-biggest-movers-from-friday,AVDL,0.065506,Neutral,-0.005074
"Earnings Scheduled For March 17, 2022",20220317T085447,https://www.benzinga.com/news/earnings/22/03/26177874/earnings-scheduled-for-march-17-2022,AVDL,0.028432,Neutral,-0.007055
77 Biggest Movers From Yesterday,20220601T090222,https://www.benzinga.com/news/22/06/27492435/77-biggest-movers-from-yesterday,AVDL,0.085721,Neutral,0.011822
40 Stocks Moving In Tuesday's Mid-Day Session,20220531T160405,https://www.benzinga.com/news/22/05/27478950/40-stocks-moving-in-tuesdays-mid-day-session,AVDL,0.172919,Neutral,0.004048
Stocks That Hit 52-Week Lows On Thursday,20220526T161527,https://www.benzinga.com/markets/options/22/05/27422270/52-weeks-high-and-low-article,AVDL,0.048646,Neutral,-0.017898
Stocks That Hit 52-Week Lows On Wednesday,20220525T161423,https://www.benzinga.com/markets/options/22/05/27398602/52-weeks-high-and-low-article,AVDL,0.023585,Neutral,-0.004783
"Why Aditxt Shares Dipped Over 58%; Here Are 82 Biggest Movers From Friday - Applied Optoelectronics  ( NASDAQ:AAOI ) , Adicet Bio  ( NASDAQ:ACET ) ",20220919T055309,https://www.benzinga.com/news/22/09/28909319/why-aditxt-shares-dipped-over-58-here-are-82-biggest-movers-from-friday,AVDL,0.056143,Neutral,0.0
70 Biggest Movers From Friday,20220531T091540,https://www.benzinga.com/news/22/05/27467950/70-biggest-movers-from-friday,AVDL,0.084702,Neutral,0.015538
88 Biggest Movers From Yesterday,20220526T090859,https://www.benzinga.com/news/22/05/27411905/88-biggest-movers-from-yesterday,AVDL,0.071534,Neutral,-0.033581
88 Biggest Movers From Yesterday,20220526T090859,https://markets.businessinsider.com/news/stocks/88-biggest-movers-from-yesterday-1031490389,AVDL,0.044015,Neutral,-0.004642
"Earnings Scheduled For May 9, 2022",20220509T085247,https://www.benzinga.com/news/earnings/22/05/27068359/earnings-scheduled-for-may-9-2022,AVDL,0.019128,Neutral,-0.00524
88 Biggest Movers From Yesterday,20220527T074118,https://www.benzinga.com/news/22/05/27435426/88-biggest-movers-from-yesterday,AVDL,0.044161,Neutral,-0.004274
61 Stocks Moving In Thursday's Mid-Day Session,20220526T161028,https://www.benzinga.com/news/22/05/27423710/61-stocks-moving-in-thursdays-mid-day-session,AVDL,0.064692,Neutral,9e-05
"Roblox, Under Armour, GoPro, Nuvei And Other Big Stocks Moving Higher On Wednesday - Apollo Medical Hlgs  ( NASDAQ:AMEH ) , Agiliti  ( NYSE:AGTI ) ",20231108T160242,https://www.benzinga.com/news/23/11/35676637/roblox-under-armour-gopro-nuvei-and-other-big-stocks-moving-higher-on-wednesday,AVDL,0.139669,Somewhat-Bullish,0.299315
