title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Monday,20220418T154044,https://www.benzinga.com/news/22/04/26669813/stocks-that-hit-52-week-lows-on-monday,BDSX,0.005428,Neutral,-0.002512
Stocks That Hit 52-Week Lows On Monday,20220328T154408,https://www.benzinga.com/news/22/03/26326033/stocks-that-hit-52-week-lows-on-monday,BDSX,0.016131,Neutral,-0.011561
"Why You Should Bet on 5 Top-Ranked Stocks With Rising P/E - Applied DNA Sciences  ( NASDAQ:APDN ) , Biodesix  ( NASDAQ:BDSX ) ",20240627T151430,https://www.benzinga.com/news/earnings/24/06/39525393/why-you-should-bet-on-5-top-ranked-stocks-with-rising-pe,BDSX,0.206245,Somewhat-Bullish,0.308473
Why You Should Bet on 5 Top-Ranked Stocks With Rising P/E,20240627T120200,https://www.zacks.com/stock/news/2294197/why-you-should-bet-on-5-top-ranked-stocks-with-rising-pe,BDSX,0.182506,Somewhat-Bullish,0.227637
68 Biggest Movers From Yesterday,20220419T083535,https://www.benzinga.com/news/22/04/26681653/68-biggest-movers-from-yesterday,BDSX,0.057004,Neutral,0.000381
"Advanced Human Imaging  ( NASDAQ:AHI ) , Aditxt  ( NASDAQ:ADTX )  - Why Immunocore Shares Dipped 22%; Here Are 73 Biggest Movers From Friday",20220912T072340,https://www.benzinga.com/news/22/09/28823434/why-immunocore-shares-dipped-22-here-are-73-biggest-movers-from-friday,BDSX,0.062597,Somewhat-Bullish,0.286542
Stocks That Hit 52-Week Lows On Wednesday,20220525T161423,https://www.benzinga.com/markets/options/22/05/27398602/52-weeks-high-and-low-article,BDSX,0.023585,Neutral,-0.003807
"Stocks That Hit 52-Week Lows On Monday - Tesla  ( NASDAQ:TSLA ) , ALFI  ( NASDAQ:ALF ) ",20221024T154117,https://www.benzinga.com/news/22/10/29381725/stocks-that-hit-52-week-lows-on-monday,BDSX,0.011989,Neutral,0.005349
"Earnings Scheduled For May 11, 2022",20220511T102312,https://www.benzinga.com/news/earnings/22/05/27129387/earnings-scheduled-for-may-11-2022,BDSX,0.025426,Neutral,-0.02011
66 Biggest Movers From Yesterday,20220503T100824,https://www.benzinga.com/news/22/05/26954454/66-biggest-movers-from-yesterday,BDSX,0.056748,Neutral,0.003514
Reasons to Retain PacBio  ( PACB )  Stock in Your Portfolio Now,20231226T132400,https://www.zacks.com/stock/news/2202089/reasons-to-retain-pacbio-pacb-stock-in-your-portfolio-now,BDSX,0.155786,Neutral,0.047546
Stocks That Hit 52-Week Lows On Friday,20220325T160550,https://www.benzinga.com/news/22/03/26299843/stocks-that-hit-52-week-lows-on-friday,BDSX,0.013769,Neutral,-0.014418
"Earnings Scheduled For March 14, 2022",20220314T091110,https://www.benzinga.com/news/earnings/22/03/26116901/earnings-scheduled-for-march-14-2022,BDSX,0.038925,Neutral,-0.01414
"$10 Million Bet On Biodesix? Check Out These 3 Penny Stocks Insiders Are Buying - electroCore  ( NASDAQ:ECOR ) , Biodesix  ( NASDAQ:BDSX ) ",20221122T154754,https://www.benzinga.com/trading-ideas/long-ideas/22/11/29825423/10-million-bet-on-biodesix-check-out-these-3-penny-stocks-insiders-are-buying,BDSX,0.535653,Bullish,0.506214
