title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Hello Group Soars as Investors Snap Up Stock on China Covid Easing - Alibaba Group Holding  ( NYSE:BABA ) , Bumble  ( NASDAQ:BMBL ) ",20221209T143841,https://www.benzinga.com/markets/penny-stocks/22/12/30022500/hello-group-soars-as-investors-snap-up-stock-on-china-covid-easing,BMBL,0.072108,Neutral,0.069396
"Earnings Scheduled For March 8, 2022",20220308T084513,https://www.benzinga.com/news/earnings/22/03/26032610/earnings-scheduled-for-march-8-2022,BMBL,0.024658,Neutral,-0.008915
"DEADLINE ALERT for BMBL, MGX, POWW, FNA: Law Offices of Howard G. Smith Reminds Investors of Class Actions on Behalf of Shareholders - Paragon 28  ( NYSE:FNA ) , Bumble  ( NASDAQ:BMBL ) ",20241125T193136,https://www.benzinga.com/pressreleases/24/11/g42172931/deadline-alert-for-bmbl-mgx-poww-fna-law-offices-of-howard-g-smith-reminds-investors-of-class-acti,BMBL,0.108712,Neutral,0.121135
"DEADLINE ALERT for BMBL, MGX, POWW, and FNA: The Law Offices of Frank R. Cruz Reminds Investors of Class Actions on Behalf of Shareholders - Paragon 28  ( NYSE:FNA ) , Bumble  ( NASDAQ:BMBL ) ",20241125T154500,https://www.benzinga.com/pressreleases/24/11/g42167391/deadline-alert-for-bmbl-mgx-poww-and-fna-the-law-offices-of-frank-r-cruz-reminds-investors-of-clas,BMBL,0.150122,Neutral,0.141013
"DEADLINE ALERT for BMBL, MGX, POWW, FNA: Law Offices of Howard G. Smith Reminds Investors of Class Actions on Behalf of Shareholders - Paragon 28  ( NYSE:FNA ) , Bumble  ( NASDAQ:BMBL ) ",20241107T021821,https://www.benzinga.com/pressreleases/24/11/g41794972/deadline-alert-for-bmbl-mgx-poww-fna-law-offices-of-howard-g-smith-reminds-investors-of-class-acti,BMBL,0.108712,Neutral,0.121135
"DEADLINE ALERT for BMBL, MGX, POWW, FNA: Law Offices of Howard G. Smith Reminds Investors of Class Actions on Behalf of Shareholders",20241031T220952,https://www.benzinga.com/pressreleases/24/10/g41667213/deadline-alert-for-bmbl-mgx-poww-fna-law-offices-of-howard-g-smith-reminds-investors-of-class-acti,BMBL,0.108712,Neutral,0.121135
The Silicon Valley Founder-CEO is no longer indispensable,20240112T044303,https://www.moneycontrol.com/news/opinion/the-silicon-valley-founder-ceo-is-no-longer-indispensable-12039101.html,BMBL,0.038468,Somewhat-Bullish,0.166403
"Bumble, Hanesbrands, Sonos And Some Other Big Losers From Thursday",20220812T095049,https://www.benzinga.com/news/22/08/28469702/bumble-hanesbrands-sonos-and-some-other-big-losers-from-thursday,BMBL,0.090645,Neutral,-0.038211
Why Is Disney Higher By More Than 7%: Here Are 40 Stocks Moving Premarket,20220811T111757,https://www.benzinga.com/news/22/08/28450774/why-is-disney-higher-by-more-than-7-here-are-40-stocks-moving-premarket,BMBL,0.079788,Neutral,-0.035087
90 Biggest Movers From Yesterday,20220513T094449,https://www.benzinga.com/news/22/05/27184008/90-biggest-movers-from-yesterday,BMBL,0.043547,Neutral,0.09568
"Earnings Scheduled For May 11, 2022",20220511T102312,https://www.benzinga.com/news/earnings/22/05/27129387/earnings-scheduled-for-may-11-2022,BMBL,0.025426,Neutral,-0.059407
87 Biggest Movers From Yesterday,20220310T095725,https://www.benzinga.com/news/22/03/26075474/87-biggest-movers-from-yesterday,BMBL,0.093744,Neutral,-0.031438
50 Stocks Moving In Wednesday's Mid-Day Session,20220309T171142,https://www.benzinga.com/news/22/03/26065686/50-stocks-moving-in-wednesdays-mid-day-session,BMBL,0.150733,Neutral,-0.039887
"5 Tech Stocks Offering Growth And Value In 2024: JPMorgan's Top Picks - Alphabet  ( NASDAQ:GOOGL ) , Meta Platforms  ( NASDAQ:META ) , Bumble  ( NASDAQ:BMBL ) , Eventbrite  ( NYSE:EB ) ",20240304T201939,https://www.benzinga.com/analyst-ratings/analyst-color/24/03/37466779/5-tech-stocks-offering-growth-and-value-in-2024-jpmorgans-top-picks,BMBL,0.277958,Bullish,0.617569
"3D Systems Posts Downbeat Q4 Results, Joins Eventbrite, Lemonade And Other Big Stocks Moving Lower In Wednesday's Pre-Market Session - Lemonade  ( NYSE:LMND ) , 3D Sys  ( NYSE:DDD ) , Eventbrite  ( NYSE:EB ) ",20240228T112352,https://www.benzinga.com/news/24/02/37358493/3d-systems-posts-downbeat-q4-results-joins-eventbrite-lemonade-and-other-big-stocks-moving-lower-in,BMBL,0.24289,Bearish,-0.368087
"Bragar Eagel & Squire, P.C. Is Investigating Paragon 28, Bumble, Cardlytics, and NuScale and Encourages Investors to Contact the Firm - Cardlytics  ( NASDAQ:CDLX ) , Bumble  ( NASDAQ:BMBL ) ",20240904T010000,https://www.benzinga.com/pressreleases/24/09/g40699188/bragar-eagel-squire-p-c-is-investigating-paragon-28-bumble-cardlytics-and-nuscale-and-encourages-i,BMBL,0.335519,Neutral,0.031884
Cramer's lightning round: I'm very concerned about Veru,20230107T004615,https://www.cnbc.com/2023/01/06/cramers-lightning-round-im-very-concerned-about-veru.html,BMBL,0.146025,Somewhat-Bullish,0.153825
"Sonos, Bumble And Some Other Big Stocks Moving Lower In Today's Pre-Market Session",20220811T100303,https://www.benzinga.com/news/22/08/28449050/sonos-bumble-and-some-other-big-stocks-moving-lower-in-todays-pre-market-session,BMBL,0.122581,Neutral,-0.04022
Who Benefits From Amazon's Stock Split?,20220316T162750,https://www.fool.com/investing/2022/03/16/who-benefits-from-amazons-stock-split/,BMBL,0.025518,Somewhat-Bullish,0.231841
Top Stocks To Watch Today? 4 Tech Stocks For Your Watchlist,20220311T200000,https://stockmarket.com/featured/top-stocks-to-watch-today-4-tech-stocks-for-your-watchlist-2022-03-11,BMBL,0.302708,Somewhat-Bullish,0.180822
