title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Climb Bio Appoints Douglas E. Williams, Ph.D., as Chair of the Board - Climb Bio  ( NASDAQ:CLYM ) ",20241111T120000,https://www.benzinga.com/pressreleases/24/11/g41875065/climb-bio-appoints-douglas-e-williams-ph-d-as-chair-of-the-board,BMY,0.055881,Neutral,-0.043982
"Climb Bio Appoints Douglas E. Williams, Ph.D., as Chair of the Board",20241111T120000,https://www.globenewswire.com/news-release/2024/11/11/2978194/0/en/Climb-Bio-Appoints-Douglas-E-Williams-Ph-D-as-Chair-of-the-Board.html,BMY,0.033468,Neutral,-0.042717
"Researchers return to Alzheimer's vaccines, buoyed by recent drug success",20231120T111500,https://www.reuters.com/business/healthcare-pharmaceuticals/researchers-return-alzheimers-vaccines-buoyed-by-recent-drug-success-2023-11-20/,BMY,0.041682,Neutral,0.0
"Stablix Appoints Douglas Williams, Ph.D., to Board of Directors",20230118T120047,https://www.benzinga.com/pressreleases/23/01/g30458105/stablix-appoints-douglas-williams-ph-d-to-board-of-directors,BMY,0.063425,Neutral,-0.038049
These Stocks Are On The Radar After Biogen-Eisai's Surprising Alzheimer's Trial Win - Biogen  ( NASDAQ:BIIB ) ,20220928T201722,https://www.benzinga.com/general/biotech/22/09/29061026/these-stocks-are-on-the-radar-after-biogen-eisais-surprising-alzheimers-trial-win,BMY,0.112269,Neutral,0.0
ImmunoBrain Checkpoint Appoints Dr. Sanjay Keswani as Chief Executive Officer,20240122T130000,https://www.prnewswire.com/news-releases/immunobrain-checkpoint-appoints-dr-sanjay-keswani-as-chief-executive-officer-302039635.html,BMY,0.065685,Neutral,0.085332
"The Evolving Market Dynamics of B-cell Lymphomas: Diffuse Large B-cell Lymphoma, Follicular Lymphoma, Chronic Lymphocytic Leukemia, Mantle Cell Lymphoma, Marginal Zone Lymphoma, Waldenstrom Macroglobulinemia, and Burkitt Lymphoma | DelveInsight",20231122T220100,https://www.prnewswire.com/news-releases/the-evolving-market-dynamics-of-b-cell-lymphomas-diffuse-large-b-cell-lymphoma-follicular-lymphoma-chronic-lymphocytic-leukemia-mantle-cell-lymphoma-marginal-zone-lymphoma-waldenstrom-macroglobulinemia-and-burkitt-lymphoma--301995626.html,BMY,0.052656,Neutral,0.017928
"Pyxis Oncology Reports Financial Results for the Second Quarter Ended June 30, 2022 and Provides Pipeline Update",20220815T110000,https://www.globenewswire.com/news-release/2022/08/15/2498065/0/en/Pyxis-Oncology-Reports-Financial-Results-for-the-Second-Quarter-Ended-June-30-2022-and-Provides-Pipeline-Update.html,BMY,0.024597,Neutral,-0.011764
68 Biggest Movers From Yesterday,20220419T083535,https://www.benzinga.com/news/22/04/26681653/68-biggest-movers-from-yesterday,BMY,0.02852,Neutral,0.006314
Stock Market Holds On To Gains; Nvidia Stock Lifts As Earnings Loom,20231120T160300,https://www.investors.com/market-trend/stock-market-today/stock-market-pulls-ahead-to-start-holiday-week-boeing-leads-the-dow/,BMY,0.09347,Neutral,-0.072683
