title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
The Smartest Stocks to Buy With $50 Right Now and Hold Forever,20220625T110000,https://www.fool.com/investing/2022/06/25/the-smartest-stocks-to-buy-with-50-right-now-and-h/,BRK-A,0.0532,Neutral,0.002405
"Sea, UiPath, J&J Snack Foods And Other Big Gainers From Tuesday - Evoqua Water Technologies  ( NYSE:AQUA ) , Azenta  ( NASDAQ:AZTA ) ",20221116T073308,https://www.benzinga.com/news/22/11/29742456/sea-uipath-j-j-snack-foods-and-other-big-gainers-from-tuesday,BRK-A,0.137278,Neutral,-0.058948
"HUYA, Tencent Music Entertainment, Taiwan Semiconductor Manufacturing, And Some Other Big Stocks Moving Higher In Today's Pre-Market Session - Alibaba Group Holding  ( NYSE:BABA ) , Azenta  ( NASDAQ:AZTA ) ",20221115T112903,https://www.benzinga.com/news/22/11/29723179/huya-tencent-music-entertainment-taiwan-semiconductor-manufacturing-and-some-other-big-stocks-moving,BRK-A,0.09186,Neutral,-0.090509
How to Invest Confidently in Residential Housing,20220822T193000,https://www.fool.com/investing/2022/08/22/how-to-invest-confidently-in-residential-housing/,BRK-A,0.009944,Neutral,0.061864
"Warren Buffett May Have Been Right to Sell Snowflake Stock. Does That Mean You Should Sell, Too?",20240825T085000,https://www.fool.com/investing/2024/08/25/warren-buffett-right-sell-snowflake-should-sell/,BRK-A,0.058472,Neutral,0.0
Is It Too Late to Buy Micron Technology Stock?,20240720T151300,https://www.fool.com/investing/2024/07/20/is-it-too-late-to-buy-micron-technology-stock/,BRK-A,0.038407,Neutral,0.10375
46% of Warren Buffett's $410 Billion Portfolio Is Invested in 4 Artificial Intelligence  ( AI )  Stocks,20240712T073400,https://www.fool.com/investing/2024/07/12/46-warren-buffett-portfolio-invested-4-ai-stocks/,BRK-A,0.106384,Neutral,0.128988
Best Blue Chip Dividend Stocks to Buy for 2024 and Beyond,20231219T192004,https://www.kiplinger.com/investing/best-blue-chip-dividend-stocks-to-buy,BRK-A,0.073098,Somewhat-Bullish,0.208049
"This Stock Is Beating the Market in 2022, and It's Still a Buy",20220528T112900,https://www.fool.com/investing/2022/05/28/this-stock-is-beating-the-market-in-2022-and-its-s/,BRK-A,0.420283,Neutral,0.026737
Dow and S&P 500: Stocks close mixed after Powell's testimony and fresh jobs data,20230308T192100,https://www.cnn.com/business/live-news/stock-market-house-testimony-jerome-powell-030823/index.html,BRK-A,0.020866,Neutral,-0.052149
"Stocks making the biggest moves midday: Stitch Fix, Tesla, WeWork, Campbell Soup and more",20230308T180631,https://www.cnbc.com/2023/03/08/stocks-making-the-biggest-moves-midday-stitch-fix-tesla-wework-campbell-soup-and-more.html,BRK-A,0.082677,Neutral,0.039054
"Jim Cramer's top 10 things to watch in the stock market Wednesday: Powell Day 2, strong jobs",20230308T142532,https://www.cnbc.com/2023/03/08/jim-cramers-top-10-things-wednesday-powell-day-2-strong-jobs.html,BRK-A,0.058615,Somewhat-Bullish,0.182003
"Stocks making the biggest premarket moves: CrowdStrike, Occidental Petroleum, Tesla and more",20230308T130232,https://www.cnbc.com/2023/03/08/stocks-making-the-biggest-premarket-moves-crwd-oxy-tsla.html,BRK-A,0.090816,Neutral,0.06323
2 Investing Lessons I Learned From the Stock Market in 2022,20221226T111400,https://www.fool.com/investing/2022/12/26/2-investing-lessons-learned-from-the-stock-market/,BRK-A,0.041251,Neutral,-0.066998
"Vera Bradley, WeWork rise; Stitch Fix, Tesla fall",20230308T211736,https://apnews.com/article/financial-markets-stocks-wall-street-ba47a96fc1dd5dfd79e6873ea76efff6,BRK-A,0.282234,Bullish,0.625643
"FreightCar America, Inc. Announces Appointment of Nicholas J. Randall as Chief Operating Officer",20230518T113000,https://www.globenewswire.com/news-release/2023/05/18/2671780/0/en/FreightCar-America-Inc-Announces-Appointment-of-Nicholas-J-Randall-as-Chief-Operating-Officer.html,BRK-A,0.06515,Neutral,0.118167
"FreightCar America, Inc. Announces Appointment of Nicholas J. Randall as Chief Operating Officer - FreightCar America  ( NASDAQ:RAIL ) ",20230518T113000,https://www.benzinga.com/pressreleases/23/05/g32462742/freightcar-america-inc-announces-appointment-of-nicholas-j-randall-as-chief-operating-officer,BRK-A,0.06179,Neutral,0.111024
Mueller Water Products Provides Update on Leadership Team and Board Refreshment - Mueller Water Products  ( NYSE:MWA ) ,20240506T202925,https://www.benzinga.com/pressreleases/24/05/g38654058/mueller-water-products-provides-update-on-leadership-team-and-board-refreshment,BRK-A,0.016518,Neutral,0.011163
75 Biggest Movers From Yesterday,20220322T084232,https://www.benzinga.com/news/22/03/26233669/75-biggest-movers-from-yesterday,BRK-A,0.024987,Neutral,0.006659
46 Stocks Moving In Monday's Mid-Day Session,20220321T164430,https://www.benzinga.com/news/22/03/26224657/46-stocks-moving-in-mondays-mid-day-session,BRK-A,0.040691,Neutral,0.020894
Why Meihua Stock Is Moving Today - Meihua Intl Medical Techs  ( NASDAQ:MHUA ) ,20240731T165510,https://www.benzinga.com/news/24/07/40075984/why-meihua-stock-is-moving-today,BRK-A,0.084722,Somewhat-Bullish,0.176861
