title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Monday,20220613T161842,https://www.benzinga.com/markets/options/22/06/27677156/52-weeks-high-and-low-article,BZFD,0.005366,Neutral,-0.011203
Stocks That Hit 52-Week Lows On Tuesday,20220517T153602,https://www.benzinga.com/markets/options/22/05/27256852/52-weeks-high-and-low-article,BZFD,0.041198,Neutral,0.009453
"Earnings Scheduled For May 16, 2022",20220516T091844,https://www.benzinga.com/news/earnings/22/05/27212365/earnings-scheduled-for-may-16-2022,BZFD,0.033321,Neutral,-0.035784
52 Stocks Moving In Monday's Mid-Day Session,20220606T161106,https://www.benzinga.com/news/22/06/27571220/52-stocks-moving-in-mondays-mid-day-session,BZFD,0.089562,Neutral,-0.000548
77 Biggest Movers From Yesterday,20220601T090222,https://www.benzinga.com/news/22/06/27492435/77-biggest-movers-from-yesterday,BZFD,0.057208,Neutral,0.000121
Stocks That Hit 52-Week Lows On Friday,20220610T154524,https://www.benzinga.com/markets/options/22/06/27650434/52-weeks-high-and-low-article,BZFD,0.013393,Neutral,-0.002865
Why eHealth Shares Are Trading Higher By Over 18%; Here Are 20 Stocks Moving Premarket,20230126T132459,https://www.benzinga.com/news/23/01/30584054/why-ehealth-shares-are-trading-higher-by-over-18-here-are-20-stocks-moving-premarket,BZFD,0.190667,Somewhat-Bullish,0.287976
Stocks That Hit 52-Week Lows On Monday,20220606T181151,https://www.benzinga.com/markets/options/22/06/27570135/52-weeks-high-and-low-article,BZFD,0.065443,Neutral,-0.00012
"Stocks That Hit 52-Week Lows On Tuesday - SoundHound AI  ( NASDAQ:SOUN ) , Sonnet BioTherapeutics  ( NASDAQ:SONN ) ",20221122T154845,https://www.benzinga.com/news/22/11/29825126/stocks-that-hit-52-week-lows-on-tuesday,BZFD,0.028072,Neutral,-0.107471
2023 layoff tracker: The latest on which companies have announced job cuts | Business,20230425T190700,https://www.cnn.com/2023/04/25/business/layoffs-2023/index.html,BZFD,0.039353,Neutral,0.002967
3 Stocks to Avoid This Week,20230313T121500,https://www.fool.com/investing/2023/03/13/3-stocks-to-avoid-this-week/,BZFD,0.372448,Neutral,0.087929
Why Stitch Fix Stock Popped Today,20230131T182100,https://www.fool.com/investing/2023/01/31/why-stitch-fix-stock-popped-today/,BZFD,0.115787,Neutral,0.108243
"Dada Nexus, Bilibili And Other Big Stocks Moving Lower On Monday",20230130T163633,https://www.benzinga.com/news/23/01/30625599/dada-nexus-bilibili-and-other-big-stocks-moving-lower-on-monday,BZFD,0.299478,Bullish,0.371268
95 Biggest Movers From Yesterday,20220607T090058,https://www.benzinga.com/news/22/06/27581273/95-biggest-movers-from-yesterday,BZFD,0.053177,Neutral,0.002701
"Earnings Scheduled For March 22, 2022",20220322T083557,https://www.benzinga.com/news/earnings/22/03/26233625/earnings-scheduled-for-march-22-2022,BZFD,0.0594,Neutral,-0.032199
New Stocks and Trading Ideas;  ( NYSE: NOTE )   ( CSE: PXE )   ( NYSE: EPAM )   ( NYSE: GETY )   ( NASDAQ: BZFD )   ( Nasdaq: ONFO ) ,20230421T132941,https://www.investorideas.com/news/2023/main/04211Stocks.asp,BZFD,0.069697,Somewhat-Bullish,0.311518
"BakeCamp LA: Three Cookie Tasting Festivals Across Los Angeles to Celebrate Local Bakers and Support Paw Works October 7, 14 and 22",20230928T175605,https://www.benzinga.com/pressreleases/23/09/g34984127/bakecamp-la-three-cookie-tasting-festivals-across-los-angeles-to-celebrate-local-bakers-and-suppor,BZFD,0.064973,Neutral,0.0
Looking for a stock boost? Just say you're using new AI tools like ChatGPT,20230202T102500,https://markets.businessinsider.com/news/stocks/chatgpt-frenzy-stock-impact-c3ai-buzzfeed-company-name-changes-artificial-intelligence-2023-2,BZFD,0.070517,Neutral,0.084384
