title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
JUSTIN ROSE NAMED WINNER OF THE NICKLAUS-JACKLIN AWARD PRESENTED BY AON AT 44TH RYDER CUP,20231001T210000,https://www.prnewswire.com/news-releases/justin-rose-named-winner-of-the-nicklaus-jacklin-award-presented-by-aon-at-44th-ryder-cup-301943867.html,CAPMF,0.036476,Neutral,0.107175
AI's Double-Edged Sword: Managing Risks While Seizing Opportunities,20240714T100000,https://www.forbes.com/sites/glenngow/2024/07/14/ais-double-edged-sword-managing-risks-while-seizing-opportunities/,CAPMF,0.029545,Somewhat-Bullish,0.190285
Security Assurance Market Projected to Hit USD 12.7 Billion at a 13.45% CAGR by 2030 - Report by Market Research Future  ( MRFR ) ,20230315T120452,https://www.benzinga.com/pressreleases/23/03/g31358358/security-assurance-market-projected-to-hit-usd-12-7-billion-at-a-13-45-cagr-by-2030-report-by-mark,CAPMF,0.033236,Neutral,0.05977
"Third-party Banking Software Market Report- USD 12.31 billion from 2022 to 2028; Industry Trends, Share, Size ... - PR Newswire",20240111T233000,https://www.prnewswire.com/news-releases/third-party-banking-software-market-report--usd-12-31-billion-from-2022-to-2028-industry-trends-share-size-growth-opportunity-and-forecasts-302032188.html,CAPMF,0.046999,Neutral,0.067998
Global BYOD and Enterprise Mobility Market to Reach $157.3 Billion by 2026,20220323T104000,https://www.prnewswire.com/news-releases/global-byod-and-enterprise-mobility-market-to-reach-157-3-billion-by-2026--301506801.html,CAPMF,0.171872,Neutral,0.000578
"Business Process Outsourcing  ( BPO )  Market worth USD 293.650 Billion by 2029 Global Outsourcing Trends, Competitive Analysis, Business Environment, Regional Analysis",20230125T063608,https://www.benzinga.com/pressreleases/23/01/g30562117/business-process-outsourcing-bpo-market-worth-usd-293-650-billion-by-2029-global-outsourcing-trend,CAPMF,0.025596,Neutral,-0.002751
Global Business Process Outsourcing  ( BPO )  Market to Generate Sales of $492.45 Billion By 2028 | Top 10 Players Generate 60% Market Revenue,20220919T162953,https://www.benzinga.com/pressreleases/22/09/g28918336/global-business-process-outsourcing-bpo-market-to-generate-sales-of-492-45-billion-by-2028-top-10-,CAPMF,0.0686,Neutral,0.049643
"Global GDPR Services Market Size is Projected to Reach USD 13.00 billion by 2030, Growing at a CAGR of 25.2%: Straits Research",20240305T121000,https://www.benzinga.com/pressreleases/24/03/g37478109/global-gdpr-services-market-size-is-projected-to-reach-usd-13-00-billion-by-2030-growing-at-a-cagr,CAPMF,0.030292,Neutral,-0.0821
Managed Services Market worth $354.8 billion by 2026 - Exclusive Report by MarketsandMarkets™,20220725T143000,https://www.prnewswire.com/news-releases/managed-services-market-worth-354-8-billion-by-2026---exclusive-report-by-marketsandmarkets-301592478.html,CAPMF,0.03798,Neutral,0.061913
Managed Services Market worth $354.8 billion by 2026 - Exclusive Report by MarketsandMarkets™,20220617T140000,https://www.prnewswire.com/news-releases/managed-services-market-worth-354-8-billion-by-2026--exclusive-report-by-marketsandmarkets-301570228.html,CAPMF,0.027483,Neutral,0.002067
