title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Thursday,20220428T193101,https://www.benzinga.com/markets/options/22/04/26872967/52-weeks-high-and-low-article,CG,0.00644,Neutral,0.00836
Stocks That Hit 52-Week Lows On Monday,20220613T161842,https://www.benzinga.com/markets/options/22/06/27677156/52-weeks-high-and-low-article,CG,0.005366,Neutral,-0.001269
Stocks That Hit 52-Week Lows On Tuesday,20220426T174457,https://www.benzinga.com/markets/options/22/04/26818122/52-weeks-high-and-low-article,CG,0.00928,Neutral,0.001599
Stocks That Hit 52-Week Lows On Monday,20220425T160100,https://www.benzinga.com/markets/options/22/04/26791205/52-weeks-high-and-low-article,CG,0.008154,Neutral,-0.004364
"Earnings Scheduled For April 28, 2022",20220428T085040,https://www.benzinga.com/news/earnings/22/04/26860440/earnings-scheduled-for-april-28-2022,CG,0.014477,Neutral,-0.000483
Stocks That Hit 52-Week Lows On Wednesday,20220427T184104,https://www.benzinga.com/markets/options/22/04/26844275/52-weeks-high-and-low-article,CG,0.006956,Neutral,6e-06
Jim Cramer: 'I Am No Longer A Huge Crypto Guy',20220805T122548,https://www.benzinga.com/news/22/08/28370880/i-am-no-longer-a-huge-crypto-guy-jim-cramer,CG,0.404563,Neutral,0.0
Eight CEOs Making Their Debut On The Fintech 50,20240213T111500,https://www.forbes.com/sites/rinatorchinsky/2024/02/13/eight-ceos-making-their-debut-on-the-fintech-50/,CG,0.053931,Neutral,0.082874
"Jabil Posts Upbeat Earnings, Joins Moderna, Rivian Automotive And Other Big Stocks Moving Higher On Thursday - Alcoa  ( NYSE:AA ) , Alector  ( NASDAQ:ALEC ) ",20231214T151520,https://www.benzinga.com/news/23/12/36239155/jabil-posts-upbeat-earnings-joins-moderna-rivian-automotive-and-other-big-stocks-moving-higher-on-th,CG,0.195814,Neutral,0.0
"Earnings Scheduled For May 4, 2022",20220504T083630,https://www.benzinga.com/news/earnings/22/05/26983503/earnings-scheduled-for-may-4-2022,CG,0.010898,Neutral,0.000158
"US Stocks Rise For Second-Straight Session, Investor Fear Eases - Carlyle Group  ( NASDAQ:CG ) , P3 Health Partners  ( NASDAQ:PIII ) ",20230331T063625,https://www.benzinga.com/news/earnings/23/03/31603354/us-stocks-rise-for-second-straight-session-investor-fear-eases,CG,0.331765,Neutral,0.0
