title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"The Evolving Market Dynamics of B-cell Lymphomas: Diffuse Large B-cell Lymphoma, Follicular Lymphoma, Chronic Lymphocytic Leukemia, Mantle Cell Lymphoma, Marginal Zone Lymphoma, Waldenstrom Macroglobulinemia, and Burkitt Lymphoma | DelveInsight",20231122T220100,https://www.prnewswire.com/news-releases/the-evolving-market-dynamics-of-b-cell-lymphomas-diffuse-large-b-cell-lymphoma-follicular-lymphoma-chronic-lymphocytic-leukemia-mantle-cell-lymphoma-marginal-zone-lymphoma-waldenstrom-macroglobulinemia-and-burkitt-lymphoma--301995626.html,CNSP,0.013173,Neutral,0.040164
Dow Jumps 200 Points; Pfizer Earnings Top Views - Pfizer  ( NYSE:PFE ) ,20240730T141254,https://www.benzinga.com/news/earnings/24/07/40039782/dow-jumps-200-points-pfizer-earnings-top-views,CNSP,0.1172,Neutral,0.142924
"Why Streamline Health Solutions Shares Are Trading Lower By Over 68%? Here Are Other Stocks Moving In Monday's Mid-Day Session - Aldeyra Therapeutics  ( NASDAQ:ALDX ) , Alignment Healthcare  ( NASDAQ:ALHC ) ",20231016T170953,https://www.benzinga.com/news/23/10/35272489/why-streamline-health-solutions-shares-are-trading-lower-by-over-68-here-are-other-stocks-moving-in,CNSP,0.076236,Somewhat-Bullish,0.348025
Why Science Applications International Shares Are Trading Lower By 11%? Here Are Other Stocks Moving In Monday's Mid-Day Session - Science Applications Intl  ( NASDAQ:SAIC ) ,20240603T175653,https://www.benzinga.com/news/24/06/39143340/why-science-applications-international-shares-are-trading-lower-by-11-here-are-other-stocks-moving-i,CNSP,0.112182,Somewhat-Bearish,-0.347475
"Why ZIM Integrated Shipping Services Shares Are Trading Lower By 14%? Here Are Other Stocks Moving In Monday's Mid-Day Session - Absci  ( NASDAQ:ABSI ) , ADS-TEC Energy  ( NASDAQ:ADSE ) ",20230522T172039,https://www.benzinga.com/news/23/05/32513895/why-zim-integrated-shipping-services-shares-are-trading-lower-by-14-here-are-other-stocks-moving-in,CNSP,0.1145,Neutral,0.136088
51 Biggest Movers From Yesterday,20220406T073509,https://www.benzinga.com/news/22/04/26492531/51-biggest-movers-from-yesterday,CNSP,0.110462,Neutral,0.005244
"Why iMedia Brands Shares Are Trading Higher By Over 13%; Here Are 20 Stocks Moving Premarket - IMAC Hldgs  ( NASDAQ:BACK ) , Brenmiller Energy  ( NASDAQ:BNRG ) ",20230412T122758,https://www.benzinga.com/news/23/04/31766625/why-imedia-brands-shares-are-trading-higher-by-over-13-here-are-20-stocks-moving-premarket,CNSP,0.220809,Neutral,0.126879
"Why Kellanova Shares Are Trading Higher By Around 15%; Here Are 20 Stocks Moving Premarket - XIAO-I  ( NASDAQ:AIXI ) , Applied Digital  ( NASDAQ:APLD ) ",20240805T125432,https://www.benzinga.com/news/24/08/40159545/why-kellanova-shares-are-trading-higher-by-around-15-here-are-20-stocks-moving-premarket,CNSP,0.163909,Neutral,0.0
Dow Dips Over 300 Points; GameStop Shares Spike Higher - Science Applications Intl  ( NASDAQ:SAIC ) ,20240603T183514,https://www.benzinga.com/news/earnings/24/06/39144239/dow-dips-over-300-points-gamestop-shares-spike-higher,CNSP,0.199037,Somewhat-Bearish,-0.330952
Crude Oil Down Over 3%; US Construction Spending Falls In May - Lattice Semiconductor  ( NASDAQ:LSCC ) ,20240603T160007,https://www.benzinga.com/news/earnings/24/06/39141026/crude-oil-down-over-3-us-construction-spending-falls-in-may,CNSP,0.215574,Bearish,-0.350204
Nasdaq Surges 150 Points; US Manufacturing PMI Rises In May - CalAmp  ( NASDAQ:CAMP ) ,20240603T135410,https://www.benzinga.com/news/earnings/24/06/39137733/nasdaq-surges-150-points-us-manufacturing-pmi-rises-in-may,CNSP,0.246167,Bearish,-0.38529
