title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Barron's Top Weekend Stock Picks: Costco, Johnson & Johnson, And How Tesla Could Become A Value Stock - ConocoPhillips  ( NYSE:COP ) ",20221224T171757,https://www.benzinga.com/news/large-cap/22/12/30194895/barrons-top-weekend-stock-picks-costco-johnson-johnson-and-how-tesla-could-become-a-value-stock,COP,0.342487,Somewhat-Bullish,0.214519
"Stocks Fall As Salesforce, Dell Dive On Earnings: Weekly Review",20240531T154000,https://www.investors.com/news/stock-market-retreats-salesforce-dell-earnings-losers/,COP,0.043499,Somewhat-Bearish,-0.190409
"Top 5 Energy Stocks That You May Want To Dump In September - Halliburton  ( NYSE:HAL ) , Arch Resources  ( NYSE:ARCH ) ",20230919T123427,https://www.benzinga.com/news/23/09/34726131/top-5-energy-stocks-that-you-may-want-to-dump-in-september,COP,0.090816,Neutral,0.04142
Here's Why Hold Strategy is Apt for ConocoPhillips  ( COP )  Now,20230919T130100,https://www.zacks.com/stock/news/2152549/heres-why-hold-strategy-is-apt-for-conocophillips-cop-now,COP,0.519739,Bullish,0.529093
Here's Why Hold Strategy is Apt for ConocoPhillips  ( COP )  Now,20230817T114100,https://www.zacks.com/stock/news/2137379/heres-why-hold-strategy-is-apt-for-conocophillips-cop-now,COP,0.535653,Bullish,0.471432
ConocoPhillips Secures Court Approval to Seize PDVSA Payments,20240930T115300,https://www.zacks.com/stock/news/2343196/conocophillips-secures-court-approval-to-seize-pdvsa-payments,COP,0.399204,Neutral,0.06887
ConocoPhillips Lands Natural Gas Supply Deal With German Energy Firm,20240920T184900,https://www.zacks.com/stock/news/2339472/conocophillips-lands-natural-gas-supply-deal-with-german-energy-firm,COP,0.644856,Bullish,0.495399
"Overview Of Value Stocks In The Energy Sector - Petrobras Brasileiro  ( NYSE:PBR ) , Ranger Energy Services  ( NYSE:RNGR ) , ConocoPhillips  ( NYSE:COP ) , VAALCO Energy  ( NYSE:EGY ) , Shell  ( NYSE:SHEL ) ",20221006T143941,https://www.benzinga.com/news/22/10/29170663/overview-of-value-stocks-in-the-energy-sector,COP,0.181137,Somewhat-Bullish,0.279366
"Stocks making the biggest moves midday: Tesla, Marathon Oil, WWE, UnitedHealth and more",20230403T165858,https://www.cnbc.com/2023/04/03/stocks-making-the-biggest-moves-midday.html,COP,0.056943,Somewhat-Bullish,0.176302
"Tesla, Alphabet, SoFi, Paramount, Apple, Domino's, and More Stock Market Movers",20240429T082800,https://www.barrons.com/amp/articles/stock-market-movers-4c54f840,COP,0.06515,Neutral,-0.057048
"Will Earnings Cheer Continue To Buoy Markets? Apple, Amazon, Pfizer, Coinbase Lead Flurry Of Q1 Reports This Week - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",20240429T055121,https://www.benzinga.com/news/earnings/24/04/38481553/will-earnings-cheer-continue-to-buoy-markets-apple-amazon-pfizer-coinbase-lead-flurry-of-q1-reports,COP,0.069294,Neutral,0.0
"Apple earnings, Fed decision and jobs data top Wall Street week ahead",20231029T163803,https://www.foxbusiness.com/markets/apple-earnings-fed-decision-and-jobs-data-top-wall-street-week-ahead,COP,0.07031,Neutral,0.0
