title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Data centres, EVs bring growth and climate challenges to Hong Kong utility CLP",20241106T003008,https://www.scmp.com/business/article/3285317/data-centres-evs-bring-growth-and-climate-challenges-hong-kong-utility-clp-ceo-says,CRBO,0.05749,Somewhat-Bullish,0.181997
Air Products Files Investor Presentation Highlighting Successful Two-Pillar Strategy to Deliver Superior Shareholder Value - Air Products & Chemicals  ( NYSE:APD ) ,20241218T214000,https://www.benzinga.com/pressreleases/24/12/n42564837/air-products-files-investor-presentation-highlighting-successful-two-pillar-strategy-to-deliver-su,CRBO,0.00815,Neutral,0.086543
"TETRA TECHNOLOGIES, INC. ANNOUNCES FIRST QUARTER 2024 FINANCIAL RESULTS",20240430T210000,https://www.prnewswire.com/news-releases/tetra-technologies-inc-announces-first-quarter--2024-financial-results-302132193.html,CRBO,0.010439,Somewhat-Bullish,0.172254
"TETRA TECHNOLOGIES, INC. ANNOUNCES APPOINTMENT OF ANGELA D. JOHN TO ITS BOARD OF DIRECTORS",20240321T110000,https://www.prnewswire.com/news-releases/tetra-technologies-inc-announces-appointment-of-angela-d-john-to-its-board-of-directors-302095426.html,CRBO,0.076602,Somewhat-Bullish,0.202489
"TETRA TECHNOLOGIES, INC. ANNOUNCES FOURTH QUARTER AND TOTAL YEAR 2023 RESULTS",20240227T220000,https://www.prnewswire.com/news-releases/tetra-technologies-inc-announces-fourth-quarter-and-total-year-2023-results-302073347.html,CRBO,0.007957,Somewhat-Bullish,0.169395
"TETRA TECHNOLOGIES, INC. ANNOUNCES $190 MILLION 6-YEAR FUNDED TERM LOAN TO REFINANCE MATURING DEBT AND A $75 MILLION DELAYED DRAW TERM LOAN TO PROVIDE CAPITAL FOR THE PLANNED BROMINE PROCESSING PROJECT",20240115T213000,https://www.prnewswire.com/news-releases/tetra-technologies-inc-announces-190-million-6-year-funded-term-loan-to-refinance-maturing-debt-and-a-75-million-delayed-draw-term-loan-to-provide-capital-for-the-planned-bromine-processing-project-302034975.html,CRBO,0.062515,Neutral,0.083177
"Eos Energy Enterprises and TETRA Technologies, Inc. Extend Partnership, Expanding Electrolyte Production Capacity",20240109T123000,https://www.globenewswire.com/news-release/2024/01/09/2806173/0/en/Eos-Energy-Enterprises-and-TETRA-Technologies-Inc-Extend-Partnership-Expanding-Electrolyte-Production-Capacity.html,CRBO,0.054297,Neutral,0.083992
"TETRA TECHNOLOGIES, INC. ANNOUNCES THIRD QUARTER 2023 FINANCIAL RESULTS AND PROVIDES UPDATE ON ARKANSAS BROMINE AND LITHIUM BRINE UNIT",20231030T210000,https://www.prnewswire.com/news-releases/tetra-technologies-inc-announces-third-quarter-2023-financial-results-and-provides-update-on-arkansas-bromine-and-lithium-brine-unit-301971915.html,CRBO,0.019117,Neutral,0.075215
Use New Analyst Coverage to Buy Great Stocks During Q3 Earnings Season,20231024T182600,https://www.zacks.com/commentary/2170998/use-new-analyst-coverage-to-buy-great-stocks-during-q3-earnings-season,CRBO,0.032338,Somewhat-Bullish,0.172911
"THE BENCHMARK COMPANY TO HOST AN EXECUTIVE Q&A SESSION WITH TETRA TECHNOLOGIES, INC.",20230802T120000,https://www.prnewswire.com/news-releases/the-benchmark-company-to-host-an-executive-qa-session-with-tetra-technologies-inc-301891281.html,CRBO,0.244109,Somewhat-Bullish,0.155554
