title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Applied DNA Sciences  ( NASDAQ:APDN )  Lifted to Hold at StockNews.com,20220924T060848,https://www.etfdailynews.com/2022/09/24/applied-dna-sciences-nasdaqapdn-lifted-to-hold-at-stocknews-com/,CRWD,0.076115,Neutral,0.130067
"Why Horizon Therapeutics Shares Are Trading Higher By Over 30%; Here Are 32 Stocks Moving Premarket - Akanda  ( NASDAQ:AKAN ) , Aspen Aerogels  ( NYSE:ASPN ) ",20221130T124216,https://www.benzinga.com/news/22/11/29903371/why-horizon-therapeutics-shares-are-trading-higher-by-over-30-here-are-32-stocks-moving-premarket,CRWD,0.110462,Neutral,-0.051517
Yiren Digital  ( NYSE:YRD )  Coverage Initiated at StockNews.com,20230603T053044,https://www.defenseworld.net/2023/06/03/yiren-digital-nyseyrd-coverage-initiated-at-stocknews-com.html,CRWD,0.150592,Bullish,0.364566
Yiren Digital  ( NYSE:YRD )  Receives New Coverage from Analysts at StockNews.com,20230108T081642,https://www.etfdailynews.com/2023/01/08/yiren-digital-nyseyrd-receives-new-coverage-from-analysts-at-stocknews-com/,CRWD,0.144275,Neutral,0.035474
It's Spring! Get Ready to Trim Some of the Stocks in Your Portfolio.,20220421T141500,https://www.fool.com/investing/2022/04/21/its-spring-get-ready-to-trim-some-of-the-stocks-in/,CRWD,0.00683,Somewhat-Bullish,0.217176
"2 AI Stocks to Buy Before They Soar 68% and 218%, According to Select Wall Street Analysts",20240827T142500,https://www.fool.com/investing/2024/08/27/2-ai-stocks-to-buy-before-they-soar-68-and-218-acc/,CRWD,0.164188,Neutral,0.052078
Goldman Sachs: 89 stocks expected to be winners as they build out AI infrastructure,20240705T100000,https://www.businessinsider.com/ai-stocks-companies-building-out-infrastructure-goldman-sachs-picks-2024-7,CRWD,0.058687,Neutral,0.022996
Nvidia And These Surprise AI Darlings Are 2024's Best Stocks,20240704T081500,https://www.forbes.com/sites/dereksaul/2024/07/04/nvidia-and-these-surprise-ai-darlings-are-2024s-best-stocks/,CRWD,0.058759,Neutral,0.109073
Diversify Beyond Nvidia: 3 Artificial Intelligence  ( AI )  Stocks to Add to Your Portfolio,20240606T113000,https://www.fool.com/investing/2024/06/06/diversify-beyond-nvidia-3-artificial-intelligence/,CRWD,0.20537,Neutral,0.078032
Futures: Fed's Inflation Report Due; AI Winner Dell Dives Late,20240530T205100,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-fed-inflation-report-due-key-sector-dives-dell-plunges/,CRWD,0.191422,Somewhat-Bearish,-0.171351
"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against MacroGenics, CrowdStrike, DXC, and Five Below and Encourages Investors to Contact the Firm - CrowdStrike Holdings  ( NASDAQ:CRWD ) , DXC Technology  ( NYSE:DXC ) ",20240904T010000,https://www.benzinga.com/pressreleases/24/09/g40699189/bragar-eagel-squire-p-c-reminds-investors-that-class-action-lawsuits-have-been-filed-against-macro,CRWD,0.499187,Somewhat-Bearish,-0.316149
"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against MacroGenics, CrowdStrike, Vicor, and American Airlines and Encourages Investors to Contact the Firm - CrowdStrike Holdings  ( NASDAQ:CRWD ) , American Airlines Gr  ( NASDAQ:AAL ) ",20240831T010000,https://www.benzinga.com/pressreleases/24/08/g40664811/bragar-eagel-squire-p-c-reminds-investors-that-class-action-lawsuits-have-been-filed-against-macro,CRWD,0.55533,Somewhat-Bearish,-0.334961
"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against MacroGenics, CrowdStrike, Vicor, and American Airlines and Encourages Investors to Contact the Firm - CrowdStrike Holdings  ( NASDAQ:CRWD ) , American Airlines Gr  ( NASDAQ:AAL ) ",20240827T010000,https://www.benzinga.com/pressreleases/24/08/g40566851/bragar-eagel-squire-p-c-reminds-investors-that-class-action-lawsuits-have-been-filed-against-macro,CRWD,0.55533,Somewhat-Bearish,-0.334961
"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against DXC, CrowdStrike, MacroGenics, and Five Below and Encourages Investors to Contact the Firm - CrowdStrike Holdings  ( NASDAQ:CRWD ) , DXC Technology  ( NYSE:DXC ) ",20240817T010000,https://www.benzinga.com/pressreleases/24/08/g40427641/bragar-eagel-squire-p-c-reminds-investors-that-class-action-lawsuits-have-been-filed-against-dxc-c,CRWD,0.499187,Somewhat-Bearish,-0.316149
"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against DXC, CrowdStrike, MacroGenics, and Five Below and Encourages Investors to Contact the Firm - CrowdStrike Holdings  ( NASDAQ:CRWD ) , DXC Technology  ( NYSE:DXC ) ",20240813T010000,https://www.benzinga.com/pressreleases/24/08/g40328255/bragar-eagel-squire-p-c-reminds-investors-that-class-action-lawsuits-have-been-filed-against-dxc-c,CRWD,0.499187,Somewhat-Bearish,-0.316149
AMD To Rally Around 16%? Here Are 10 Top Analyst Forecasts For Monday - Advanced Micro Devices  ( NASDAQ:AMD ) ,20240304T125622,https://www.benzinga.com/news/24/03/37453217/amd-to-rally-around-16-here-are-10-top-analyst-forecasts-for-monday,CRWD,0.250386,Neutral,-0.059372
"JetBlue Q3 Revenue Stagnant, Expects Q4 Revenue Decline, Says Primary Goal Remains Returning To Operating Profit - JetBlue Airways  ( NASDAQ:JBLU ) ",20241029T140745,https://www.benzinga.com/news/earnings/24/10/41600902/jetblue-q3-revenue-stagnant-expects-q4-revenue-decline-says-primary-goal-remains-returning-to-opera,CRWD,0.068502,Somewhat-Bullish,0.196777
"Ollie's Bargain Outlet Posts Upbeat Earnings, Joins Verint Systems, Guidewire Software And Other Big Stocks Moving Higher On Wednesday - Ollie's Bargain Outlet  ( NASDAQ:OLLI ) ",20240605T142346,https://www.benzinga.com/news/24/06/39186219/ollies-bargain-outlet-posts-upbeat-earnings-joins-verint-systems-guidewire-software-and-other-big-st,CRWD,0.136888,Somewhat-Bullish,0.309493
"Nasdaq, S&P 500 Eye Strong Open Today: What's Driving Stock Futures Up? - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",20240605T112425,https://www.benzinga.com/news/earnings/24/06/39180770/wall-street-looks-to-extend-gains-as-traders-eye-more-jobs-data-why-this-analyst-sees-4-s-p-500-ris,CRWD,0.113866,Neutral,0.0
"Nasdaq, S&P 500 Futures Drop As Tech Weakens, Meme Stock Rally Sputters: Analyst Sees Rate Cuts Hinging On Key Fed Data - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",20240604T112738,https://www.benzinga.com/news/earnings/24/06/39155948/nasdaq-s-p-500-futures-drop-as-tech-weakens-meme-stock-rally-sputters-analyst-sees-rate-cuts-hingin,CRWD,0.100518,Neutral,0.0
"Nasdaq, S&P 500 Set To Open Lower Today: What's Going On With Stock Futures? - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",20240305T113825,https://www.benzinga.com/news/earnings/24/03/37477255/nasdaq-futures-slide-on-mega-cap-tech-weakness-analyst-paints-1999-like-rosy-picture-tells-investor,CRWD,0.103778,Neutral,0.0
"GitLab, Target, AeroVironment, Tesla, MicroStrategy, Paymentus, and More Stock Market Movers",20240305T092200,https://www.barrons.com/amp/articles/stock-market-movers-5bdb61c2,CRWD,0.098659,Neutral,0.0
"Super Micro, Nvidia, Taiwan Semi, Macy's, Apple, Li Auto, Lyft, and More Stock Market Movers",20240304T092800,https://www.barrons.com/amp/articles/stock-market-movers-bd49873d,CRWD,0.073773,Neutral,0.0
"Why Shopify, CrowdStrike, and Roku Slumped Thursday -- but Shouldn't Have",20230309T203506,https://www.fool.com/investing/2023/03/09/why-shopify-crowdstrike-and-roku-slumped-thursday/,CRWD,0.21258,Neutral,0.143264
"Stocks making the biggest moves midday: Stitch Fix, Tesla, WeWork, Campbell Soup and more",20230308T180631,https://www.cnbc.com/2023/03/08/stocks-making-the-biggest-moves-midday-stitch-fix-tesla-wework-campbell-soup-and-more.html,CRWD,0.164468,Somewhat-Bullish,0.282142
"Jim Cramer's top 10 things to watch in the stock market Wednesday: Powell Day 2, strong jobs",20230308T142532,https://www.cnbc.com/2023/03/08/jim-cramers-top-10-things-wednesday-powell-day-2-strong-jobs.html,CRWD,0.116914,Neutral,0.003665
"Stocks making the biggest premarket moves: CrowdStrike, Occidental Petroleum, Tesla and more",20230308T130232,https://www.cnbc.com/2023/03/08/stocks-making-the-biggest-premarket-moves-crwd-oxy-tsla.html,CRWD,0.18046,Neutral,0.105959
2 After-Hours Stock Movers You Can't Afford to Miss,20230308T001000,https://www.fool.com/investing/2023/03/07/2-after-hours-stock-movers-you-cant-afford-to-miss/,CRWD,0.333557,Somewhat-Bullish,0.256929
Monday's Market Minute: Another Busy Week,20230306T192332,https://www.benzinga.com/markets/23/03/31224309/mondays-market-minute-another-busy-week,CRWD,0.234684,Neutral,0.056014
2 Brilliant Growth Stocks to Buy Now and Hold for the Long Term,20241227T143700,https://www.fool.com/investing/2024/12/27/2-brilliant-growth-stocks-to-buy-now-and-hold/,CRWD,0.402403,Neutral,-0.075232
"Zuckerberg fallout, EBT tech issue, Powell speech reaction and more: Monday's 5 things to know",20220829T052643,https://www.foxbusiness.com/markets/zuckerberg-fallout-ebt-tech-issue-powell-speech-reaction-mondays-5-things-know,CRWD,0.032558,Neutral,0.0
