title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Friday,20220506T160650,https://www.benzinga.com/markets/options/22/05/27050916/52-weeks-high-and-low-article,CVT,0.005467,Neutral,0.008803
103 Biggest Movers From Yesterday,20220511T102237,https://www.benzinga.com/news/22/05/27130447/103-biggest-movers-from-yesterday,CVT,0.042685,Neutral,0.000467
Stocks That Hit 52-Week Lows On Friday,20220610T154524,https://www.benzinga.com/markets/options/22/06/27650434/52-weeks-high-and-low-article,CVT,0.013393,Neutral,0.008035
77 Stocks Moving In Tuesday's Mid-Day Session,20220510T160029,https://www.benzinga.com/news/22/05/27114947/77-stocks-moving-in-tuesdays-mid-day-session,CVT,0.059437,Neutral,0.000268
"First Republic Bank, PacWest Bancorp, Western Alliance Bancorporation And Other Big Stocks Moving Higher On Tuesday - Amylyx Pharma  ( NASDAQ:AMLX ) , Ambipar Emergency  ( AMEX:AMBI ) ",20230314T144506,https://www.benzinga.com/news/23/03/31343135/first-republic-bank-pacwest-bancorp-western-alliance-bancorporation-and-other-big-stocks-moving-high,CVT,0.119532,Neutral,0.11761
"Ticket Market to grow by USD 201.02 billion from 2022 to 2027, the market is fragmented due to the presence of ... - PR Newswire",20230908T230000,https://www.prnewswire.com/news-releases/ticket-market-to-grow-by-usd-201-02-billion-from-2022-to-2027--the-market-is-fragmented-due-to-the-presence-of-prominent-companies-like-amc-entertainment-holdings-inc-anschutz-entertainment-group-inc-and-cinemark-holdings-inc--301921614.html,CVT,0.079656,Neutral,0.052314
"Ticket Market to grow by USD 201.02 billion from 2022 to 2027, the market is fragmented due to the presence of prominent companies like AMC Entertainment Holdings Inc., Anschutz Entertainment Group Inc. and Cinemark Holdings Inc. - Technavio",20230908T230000,https://www.benzinga.com/pressreleases/23/09/n34376264/ticket-market-to-grow-by-usd-201-02-billion-from-2022-to-2027-the-market-is-fragmented-due-to-the-,CVT,0.045918,Neutral,0.050656
The Event Management Software Market to grow at a CAGR of 7.76% from 2022 to 2027; The increasing adoption of ... - PR Newswire,20230814T093000,https://www.prnewswire.com/news-releases/the-event-management-software-market-to-grow-at-a-cagr-of-7-76-from-2022-to-2027-the-increasing-adoption-of-cashless-payment-methods-to-boost-market-growth---technavio-301898791.html,CVT,0.057079,Neutral,0.115953
Ticket market size to grow by USD 201.02 billion from 2022 to 2027|Growing adoption of marketing strategies to increase ticket sales drives market growth - Technavio,20230724T203000,https://www.benzinga.com/pressreleases/23/07/n33354175/ticket-market-size-to-grow-by-usd-201-02-billion-from-2022-to-2027-growing-adoption-of-marketing-s,CVT,0.013402,Neutral,0.134945
Live Music Market: 32% of Growth to Originate from APAC | Research Insights Highlight Growing Preference for Purchasing Tickets Using Mobile Applications as Key Driver | Industry Revenue Worldwide from 2020 to 2025,20220311T041500,https://www.benzinga.com/pressreleases/22/03/n26094788/live-music-market-32-of-growth-to-originate-from-apac-research-insights-highlight-growing-preferen,CVT,0.021837,Neutral,0.003246
United States Events & Exhibitions Industry Report 2023-2028: Rising Adoption of Digital Technology and Big Data Analytics Increases Focus on Brand Experiences,20230804T181500,https://www.benzinga.com/pressreleases/23/08/n33580266/united-states-events-exhibitions-industry-report-2023-2028-rising-adoption-of-digital-technology-a,CVT,0.054607,Somewhat-Bullish,0.248946
"Earnings Scheduled For May 9, 2022",20220509T085247,https://www.benzinga.com/news/earnings/22/05/27068359/earnings-scheduled-for-may-9-2022,CVT,0.019128,Neutral,0.000658
