title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Friday,20220506T160650,https://www.benzinga.com/markets/options/22/05/27050916/52-weeks-high-and-low-article,DBD,0.005467,Neutral,-0.007702
Stocks That Hit 52-Week Lows On Thursday,20220428T193101,https://www.benzinga.com/markets/options/22/04/26872967/52-weeks-high-and-low-article,DBD,0.00644,Neutral,-0.002993
"Tesla, Twitter And 76 Biggest Movers From Friday",20220711T113029,https://www.benzinga.com/news/22/07/28014980/tesla-twitter-and-76-biggest-movers-from-friday,DBD,0.085022,Somewhat-Bullish,0.24745
103 Biggest Movers From Yesterday,20220511T102237,https://www.benzinga.com/news/22/05/27130447/103-biggest-movers-from-yesterday,DBD,0.042685,Neutral,0.036447
Stocks That Hit 52-Week Lows On Friday,20220408T163534,https://www.benzinga.com/news/22/04/26547302/stocks-that-hit-52-week-lows-on-friday,DBD,0.011399,Neutral,-0.005313
Stocks That Hit 52-Week Lows On Friday,20220401T170001,https://www.benzinga.com/news/22/04/26425809/stocks-that-hit-52-week-lows-on-friday,DBD,0.021113,Neutral,0.000111
Stocks That Hit 52-Week Lows On Thursday,20220331T181044,https://www.benzinga.com/news/22/03/26401822/stocks-that-hit-52-week-lows-on-thursday,DBD,0.02511,Neutral,0.029993
Stocks That Hit 52-Week Lows On Tuesday,20220426T174457,https://www.benzinga.com/markets/options/22/04/26818122/52-weeks-high-and-low-article,DBD,0.00928,Neutral,-0.001067
Stocks That Hit 52-Week Lows On Monday,20220425T160100,https://www.benzinga.com/markets/options/22/04/26791205/52-weeks-high-and-low-article,DBD,0.008154,Neutral,-0.050564
73 Biggest Movers From Yesterday,20220517T084925,https://www.benzinga.com/news/22/05/27243846/73-biggest-movers-from-yesterday,DBD,0.052564,Neutral,0.006946
41 Stocks Moving In Monday's Mid-Day Session,20220516T161047,https://www.benzinga.com/news/22/05/27227706/41-stocks-moving-in-mondays-mid-day-session,DBD,0.094427,Neutral,0.001325
Brutal Bear Market Knocks 7 Major Stocks Below $3 A Share,20220926T120000,https://www.investors.com/etfs-and-funds/sectors/sp500-brutal-bear-market-knocks-major-stocks-below-3-a-share/,DBD,0.132004,Neutral,-0.034351
Stocks That Hit 52-Week Lows On Wednesday,20220427T184104,https://www.benzinga.com/markets/options/22/04/26844275/52-weeks-high-and-low-article,DBD,0.006956,Neutral,0.028413
"Why GameStop Shares Are Trading Higher By Around 44%; Here Are 20 Stocks Moving Premarket - Blue Water Vaccines  ( NASDAQ:BWV ) , Cerberus Cyber Sentinel  ( NASDAQ:CISO ) ",20230322T120720,https://www.benzinga.com/news/23/03/31454414/why-gamestop-shares-are-trading-higher-by-around-44-here-are-20-stocks-moving-premarket,DBD,0.217508,Somewhat-Bullish,0.218813
"Earnings Scheduled For May 10, 2022",20220510T091808,https://www.benzinga.com/news/earnings/22/05/27099859/earnings-scheduled-for-may-10-2022,DBD,0.015162,Neutral,-0.082623
"Stocks That Hit 52-Week Lows On Monday - Tesla  ( NASDAQ:TSLA ) , ALFI  ( NASDAQ:ALF ) ",20221024T154117,https://www.benzinga.com/news/22/10/29381725/stocks-that-hit-52-week-lows-on-monday,DBD,0.011989,Neutral,0.004356
77 Stocks Moving In Tuesday's Mid-Day Session,20220510T160029,https://www.benzinga.com/news/22/05/27114947/77-stocks-moving-in-tuesdays-mid-day-session,DBD,0.059437,Neutral,0.002148
Stocks That Hit 52-Week Lows On Friday,20220429T164424,https://www.benzinga.com/markets/options/22/04/26902449/52-weeks-high-and-low-article,DBD,0.02594,Neutral,-0.005539
90 Biggest Movers From Yesterday,20220513T094449,https://www.benzinga.com/news/22/05/27184008/90-biggest-movers-from-yesterday,DBD,0.06528,Bearish,-0.787468
"Dow Surges Over 150 Points; Initial Jobless Claims Drop Last Week - Diebold Nixdorf  ( NYSE:DBD ) , Amprius Technologies  ( NYSE:AMPX ) ",20221020T135458,https://www.benzinga.com/news/earnings/22/10/29342822/dow-surges-over-150-points-initial-jobless-claims-drop-last-week,DBD,0.114682,Somewhat-Bullish,0.246778
Diebold Nixdorf Partners with Featurespace to Provide Fraud Prevention Technology Within its Payments Processing Platform,20221021T110200,https://www.prnewswire.com/news-releases/diebold-nixdorf-partners-with-featurespace-to-provide-fraud-prevention-technology-within-its-payments-processing-platform-301655754.html,DBD,0.338251,Neutral,0.118405
Diebold Nixdorf Partners with Featurespace to Provide Fraud Prevention Technology Within its Payments Processing Platform - Diebold Nixdorf  ( NYSE:DBD ) ,20221021T110200,https://www.benzinga.com/pressreleases/22/10/n29356283/diebold-nixdorf-partners-with-featurespace-to-provide-fraud-prevention-technology-within-its-payme,DBD,0.31482,Neutral,0.118981
12 Information Technology Stocks Moving In Thursday's Intraday Session,20220512T175323,https://www.benzinga.com/trading-ideas/movers/22/05/27171851/12-information-technology-stocks-moving-in-thursdays-intraday-session,DBD,0.11897,Neutral,0.002859
