title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Friday,20220506T160650,https://www.benzinga.com/markets/options/22/05/27050916/52-weeks-high-and-low-article,DCT,0.005467,Neutral,-0.00683
Stocks That Hit 52-Week Lows On Monday,20220418T154044,https://www.benzinga.com/news/22/04/26669813/stocks-that-hit-52-week-lows-on-monday,DCT,0.005428,Neutral,-0.006973
Stocks That Hit 52-Week Lows On Tuesday,20220315T163235,https://www.benzinga.com/news/22/03/26148458/stocks-that-hit-52-week-lows-on-tuesday,DCT,0.00539,Neutral,0.006156
Stocks That Hit 52-Week Lows On Monday,20220425T160100,https://www.benzinga.com/markets/options/22/04/26791205/52-weeks-high-and-low-article,DCT,0.008154,Neutral,-0.005751
Stocks That Hit 52-Week Lows On Wednesday,20220427T184104,https://www.benzinga.com/markets/options/22/04/26844275/52-weeks-high-and-low-article,DCT,0.006956,Neutral,0.006057
Stocks That Hit 52-Week Lows On Thursday,20220421T175401,https://www.benzinga.com/markets/options/22/04/26742233/52-weeks-high-and-low-article,DCT,0.021637,Neutral,0.026108
Stocks That Hit 52-Week Lows On Monday,20220314T161153,https://www.benzinga.com/news/22/03/26125409/stocks-that-hit-52-week-lows-on-monday,DCT,0.003772,Neutral,0.03092
Aspen Aerogels And 28 Stocks Moving Premarket,20220630T103334,https://www.benzinga.com/news/22/06/27913030/aspen-aerogels-and-28-stocks-moving-premarket,DCT,0.113866,Neutral,0.001795
Stocks That Hit 52-Week Lows On Wednesday,20220420T161438,https://www.benzinga.com/news/22/04/26717868/stocks-that-hit-52-week-lows-on-wednesday,DCT,0.015214,Neutral,-0.011707
"Albertsons Companies, Domino's Pizza And Other Big Gainers From Thursday - Albertsons Companies  ( NYSE:ACI ) , ACM Research  ( NASDAQ:ACMR ) ",20221014T064641,https://www.benzinga.com/news/22/10/29264677/albertsons-companies-dominos-pizza-and-other-big-gainers-from-thursday,DCT,0.137671,Somewhat-Bullish,0.31038
"The Zacks Analyst Blog Highlights 8x8, Duck Creek Technologies, Paycom Software and Veeva Systems",20220525T092400,https://www.zacks.com/stock/news/1928816/the-zacks-analyst-blog-highlights-8x8-duck-creek-technologies-paycom-software-and-veeva-systems,DCT,0.185795,Neutral,0.109156
4 Stocks to Buy on Surge in Cloud Infrastructure Spending,20220524T120000,https://www.zacks.com/stock/news/1928330/4-stocks-to-buy-on-surge-in-cloud-infrastructure-spending,DCT,0.239266,Somewhat-Bullish,0.17877
