title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Wednesday,20220511T162815,https://www.benzinga.com/markets/options/22/05/27141482/52-weeks-high-and-low-article,DOUG,0.006905,Neutral,-0.030553
Stocks That Hit 52-Week Lows On Monday,20220613T161842,https://www.benzinga.com/markets/options/22/06/27677156/52-weeks-high-and-low-article,DOUG,0.005366,Neutral,0.005157
Stocks That Hit 52-Week Lows On Tuesday,20220503T162024,https://www.benzinga.com/markets/options/22/05/26967499/52-weeks-high-and-low-article,DOUG,0.025785,Neutral,0.003486
Stocks That Hit 52-Week Lows On Tuesday,20220426T174457,https://www.benzinga.com/markets/options/22/04/26818122/52-weeks-high-and-low-article,DOUG,0.00928,Neutral,-0.024554
Stocks That Hit 52-Week Lows On Monday,20220425T160100,https://www.benzinga.com/markets/options/22/04/26791205/52-weeks-high-and-low-article,DOUG,0.008154,Neutral,0.003447
Stocks That Hit 52-Week Lows On Wednesday,20220427T184104,https://www.benzinga.com/markets/options/22/04/26844275/52-weeks-high-and-low-article,DOUG,0.006956,Neutral,0.011476
4 High-Yield Dividend Stocks To Leave Behind,20220306T140200,https://www.forbes.com/sites/brettowens/2022/03/06/4-high-yield-dividend-stocks-to-leave-behind/,DOUG,0.117813,Somewhat-Bearish,-0.258618
Stocks That Hit 52-Week Lows On Thursday,20220505T153818,https://www.benzinga.com/markets/options/22/05/27026106/52-weeks-high-and-low-article,DOUG,0.015457,Neutral,0.002663
Fintech Ramp Surfs Dollar Wave By Helping U.S. Companies Duck For Cover In International Markets,20221025T140000,https://www.forbes.com/sites/jonathanponciano/2022/10/25/fintech-ramp-cross-border-payments/,DOUG,0.049526,Neutral,0.0
"Fintech Ramp Dives Into 'Buy Now, Pay Later' Market With New 'Flex' Offering For Businesses",20220823T130000,https://www.forbes.com/sites/jonathanponciano/2022/08/23/fintech-ramp-dives-into-buy-now-pay-later-market-with-new-flex-offering-for-businesses/,DOUG,0.047465,Neutral,0.069058
