title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
79 Biggest Movers From Yesterday,20220608T080800,https://www.benzinga.com/news/22/06/27602286/79-biggest-movers-from-yesterday,DRRX,0.060168,Neutral,0.003539
Stocks That Hit 52-Week Lows On Tuesday,20220315T163235,https://www.benzinga.com/news/22/03/26148458/stocks-that-hit-52-week-lows-on-tuesday,DRRX,0.00539,Neutral,-0.024354
Stocks That Hit 52-Week Lows On Tuesday,20220524T161351,https://www.benzinga.com/markets/options/22/05/27375519/52-weeks-high-and-low-article,DRRX,0.010175,Neutral,0.011592
Stocks That Hit 52-Week Lows On Thursday,20220421T175401,https://www.benzinga.com/markets/options/22/04/26742233/52-weeks-high-and-low-article,DRRX,0.021637,Neutral,-0.078383
77 Biggest Movers From Yesterday,20220601T090222,https://www.benzinga.com/news/22/06/27492435/77-biggest-movers-from-yesterday,DRRX,0.085721,Somewhat-Bearish,-0.162274
"Top 3 Health Care Stocks That Are Preparing To Pump This Month - Durect  ( NASDAQ:DRRX ) , Aadi Bioscience  ( NASDAQ:AADI ) ",20231218T123929,https://www.benzinga.com/trading-ideas/long-ideas/23/12/36279779/top-3-health-care-stocks-that-are-preparing-to-pump-this-month,DRRX,0.483434,Somewhat-Bearish,-0.311787
"Stocks That Hit 52-Week Lows On Wednesday - Bristol-Myers Squibb Company Common Stock  ( NYSE:BMY ) , SenesTech, Inc. - Common Stock  ( NASDAQ:SNES ) ",20231004T160117,https://www.benzinga.com/markets/options/23/10/35092508/stocks-that-hit-52-week-lows-on-wednesday,DRRX,0.012708,Neutral,0.004414
Why Is Marker Therapeutics Trading Higher By 119%: Here Are 42 Stocks Moving Premarket,20220805T113501,https://www.benzinga.com/news/22/08/28373054/why-is-marker-therapeutics-trading-higher-by-119-here-are-42-stocks-moving-premarket,DRRX,0.062926,Somewhat-Bearish,-0.261471
"Crude Oil Falls 2.5%; Ralph Lauren Posts Upbeat Earnings - Blade Air Mobility  ( NASDAQ:BLDE ) , Durect  ( NASDAQ:DRRX ) ",20231108T195219,https://www.benzinga.com/news/earnings/23/11/35682856/crude-oil-falls-2-5-ralph-lauren-posts-upbeat-earnings,DRRX,0.1331,Neutral,0.012135
"Dow Falls Over 100 Points; US Wholesale Inventories Edge Higher - Durect  ( NASDAQ:DRRX ) , Establishment Labs Hldgs  ( NASDAQ:ESTA ) ",20231108T175506,https://www.benzinga.com/news/earnings/23/11/35680235/dow-falls-over-100-points-us-wholesale-inventories-edge-higher,DRRX,0.150122,Neutral,0.013002
"Why American Public Education Shares Are Trading Higher By Around 21%; Here Are 20 Stocks Moving Premarket - Sphere 3D  ( NASDAQ:ANY ) , American Public Education  ( NASDAQ:APEI ) ",20231108T124959,https://www.benzinga.com/news/23/11/35670254/why-american-public-education-shares-are-trading-higher-by-around-21-here-are-20-stocks-moving-prema,DRRX,0.163354,Neutral,-0.057366
Stocks That Hit 52-Week Lows On Wednesday,20220316T164239,https://www.benzinga.com/news/22/03/26168145/stocks-that-hit-52-week-lows-on-wednesday,DRRX,0.022973,Neutral,-0.012643
"Why Pinterest Shares Jumped Around 14%; Here Are 69 Biggest Movers From Friday - Aeglea BioTherapeutics  ( NASDAQ:AGLE ) , Avista Public Acquisition  ( NASDAQ:AHPA ) ",20221031T081300,https://www.benzinga.com/news/22/10/29474596/why-pinterest-shares-jumped-around-14-here-are-69-biggest-movers-from-friday,DRRX,0.056674,Neutral,0.0
Why Quoin Pharmaceuticals Plunged Over 62%; Here Are 120 Biggest Movers From Friday,20220808T070540,https://www.benzinga.com/news/22/08/28391297/why-quoin-pharmaceuticals-plunged-over-62-here-are-120-biggest-movers-from-friday,DRRX,0.033328,Somewhat-Bearish,-0.266859
12 Health Care Stocks Moving In Friday's Pre-Market Session,20220603T120813,https://www.benzinga.com/trading-ideas/movers/22/06/27540891/12-health-care-stocks-moving-in-fridays-pre-market-session,DRRX,0.276961,Neutral,0.006843
53 Biggest Movers From Yesterday,20220401T081847,https://www.benzinga.com/news/22/04/26417154/53-biggest-movers-from-yesterday,DRRX,0.06356,Neutral,0.002674
"5 Most Expensive Health Care Stocks You Should Worry About - Alterity Therapeutics  ( NASDAQ:ATHE ) , Cellectis  ( NASDAQ:CLLS ) ",20230112T140141,https://www.benzinga.com/news/23/01/30389571/5-most-expensive-health-care-stocks-you-should-worry-about,DRRX,0.360752,Neutral,0.116326
"Earnings Scheduled For May 4, 2022",20220504T083630,https://www.benzinga.com/news/earnings/22/05/26983503/earnings-scheduled-for-may-4-2022,DRRX,0.010898,Neutral,-0.037553
