title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Wednesday,20220511T162815,https://www.benzinga.com/markets/options/22/05/27141482/52-weeks-high-and-low-article,FLNC,0.006905,Neutral,-0.003138
Stocks That Hit 52-Week Lows On Thursday,20220428T193101,https://www.benzinga.com/markets/options/22/04/26872967/52-weeks-high-and-low-article,FLNC,0.00644,Somewhat-Bearish,-0.274058
Stocks That Hit 52-Week Lows On Monday,20220418T154044,https://www.benzinga.com/news/22/04/26669813/stocks-that-hit-52-week-lows-on-monday,FLNC,0.005428,Neutral,-0.010843
Stocks That Hit 52-Week Lows On Wednesday,20220511T162815,https://www.benzinga.com/markets/options/22/05/27141482/52-weeks-high-and-low-article,FLNC,0.006905,Neutral,-0.003138
Stocks That Hit 52-Week Lows On Thursday,20220428T193101,https://www.benzinga.com/markets/options/22/04/26872967/52-weeks-high-and-low-article,FLNC,0.00644,Somewhat-Bearish,-0.274058
Stocks That Hit 52-Week Lows On Monday,20220425T160100,https://www.benzinga.com/markets/options/22/04/26791205/52-weeks-high-and-low-article,FLNC,0.008154,Neutral,-0.034222
11 Industrials Stocks Moving In Wednesday's Pre-Market Session,20220504T122228,https://www.benzinga.com/trading-ideas/movers/22/05/26987501/11-industrials-stocks-moving-in-wednesdays-pre-market-session,FLNC,0.259727,Neutral,0.002921
Stocks That Hit 52-Week Lows On Wednesday,20220511T162815,https://www.benzinga.com/markets/options/22/05/27141482/52-weeks-high-and-low-article,FLNC,0.006905,Neutral,-0.003138
Stocks That Hit 52-Week Lows On Thursday,20220421T175401,https://www.benzinga.com/markets/options/22/04/26742233/52-weeks-high-and-low-article,FLNC,0.021637,Neutral,0.023889
"Why Coupa Software Shares Jumped Around 29%; Here Are 72 Biggest Movers From Wednesday - Autodesk  ( NASDAQ:ADSK ) , Aenza SAA  ( NYSE:AENZ ) ",20221125T095236,https://www.benzinga.com/news/22/11/29855752/why-coupa-software-shares-jumped-around-29-here-are-72-biggest-movers-from-wednesday,FLNC,0.054857,Neutral,0.0
Stocks That Hit 52-Week Lows On Thursday,20220428T193101,https://www.benzinga.com/markets/options/22/04/26872967/52-weeks-high-and-low-article,FLNC,0.00644,Somewhat-Bearish,-0.274058
