title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Tuesday,20220524T161351,https://www.benzinga.com/markets/options/22/05/27375519/52-weeks-high-and-low-article,GIII,0.010175,Neutral,0.034992
"Earnings Scheduled For March 17, 2022",20220317T085447,https://www.benzinga.com/news/earnings/22/03/26177874/earnings-scheduled-for-march-17-2022,GIII,0.028432,Neutral,0.001531
64 Biggest Movers From Yesterday,20220318T092329,https://www.benzinga.com/news/22/03/26196687/64-biggest-movers-from-yesterday,GIII,0.059533,Neutral,0.015606
"US Stocks Mixed After Wednesday's Rally - Aziyo Biologics  ( NASDAQ:AZYO ) , Arco Platform  ( NASDAQ:ARCE ) ",20221201T152433,https://www.benzinga.com/news/earnings/22/12/29925840/us-stocks-mixed-after-wednesdays-rally,GIII,0.108712,Neutral,-0.074406
"Morning Bid: Small caps pick up baton, China rating hit",20231205T110400,https://www.reuters.com/markets/us/global-markets-view-usa-2023-12-05/,GIII,0.045482,Neutral,-0.100418
"G-III Apparel Group  ( NASDAQ:GIII )  Upgraded by StockNews.com to ""Hold""",20230609T105449,https://www.defenseworld.net/2023/06/09/g-iii-apparel-group-nasdaqgiii-upgraded-by-stocknews-com-to-hold.html,GIII,0.848932,Bullish,0.406594
"Campbell Soup, United Natural Foods And 3 Stocks To Watch Heading Into Wednesday - Campbell Soup  ( NYSE:CPB ) , Casey's General Stores  ( NASDAQ:CASY ) ",20221207T090705,https://www.benzinga.com/news/earnings/22/12/29987081/campbell-soup-united-natural-foods-and-3-stocks-to-watch-heading-into-wednesday,GIII,0.167322,Neutral,0.142839
Inter Parfums  ( IPAR )  Gains on the Burgeoning Fragrance Market,20240716T145400,https://www.zacks.com/stock/news/2302782/inter-parfums-ipar-gains-on-the-burgeoning-fragrance-market,GIII,0.052801,Somewhat-Bullish,0.23577
"Synchronoss Technologies  ( NASDAQ:SNCR )  Downgraded by StockNews.com to ""Hold""",20220908T061042,https://reporter.am/2022/09/08/synchronoss-technologies-nasdaqsncr-downgraded-by-stocknews-com-to-hold.html,GIII,0.090816,Somewhat-Bullish,0.179955
"Adobe To Rally Over 12%? Here Are 10 Other Analyst Forecasts For Friday - Adobe  ( NASDAQ:ADBE ) , ABM Indus  ( NYSE:ABM ) ",20230908T122411,https://www.benzinga.com/news/23/09/34360130/adobe-to-rally-over-12-here-are-10-other-analyst-forecasts-for-friday,GIII,0.276909,Neutral,-0.052597
31 Stocks Moving In Thursday's Mid-Day Session,20220317T163501,https://www.benzinga.com/news/22/03/26187736/31-stocks-moving-in-thursdays-mid-day-session,GIII,0.118151,Neutral,0.014952
"The Zacks Analyst Blog Highlights Pearson, OneSpaWorld, G-III Apparel, LiveOne and Carnival",20230727T090000,https://www.zacks.com/stock/news/2128518/the-zacks-analyst-blog-highlights-pearson-onespaworld-g-iii-apparel-liveone-and-carnival,GIII,0.219213,Neutral,-0.023791
5 Stocks to Gain as Consumer Confidence Hits 2-Year High,20230726T115200,https://www.zacks.com/stock/news/2127633/5-stocks-to-gain-as-consumer-confidence-hits-2-year-high,GIII,0.190793,Neutral,-0.058822
