title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Friday,20220506T160650,https://www.benzinga.com/markets/options/22/05/27050916/52-weeks-high-and-low-article,HARP,0.005467,Neutral,-0.006369
Stocks That Hit 52-Week Lows On Thursday,20220428T193101,https://www.benzinga.com/markets/options/22/04/26872967/52-weeks-high-and-low-article,HARP,0.00644,Neutral,0.006397
"Harpoon Therapeutics, Heron Therapeutics And Other Big Stocks Moving Higher In Monday's Pre-Market Session - Altimmune  ( NASDAQ:ALT ) , Annexon  ( NASDAQ:ANNX ) ",20240108T103728,https://www.benzinga.com/news/24/01/36529043/harpoon-therapeutics-heron-therapeutics-and-other-big-stocks-moving-higher-in-mondays-pre-market-ses,HARP,0.465196,Bullish,0.495233
Stocks That Hit 52-Week Lows On Tuesday,20220426T174457,https://www.benzinga.com/markets/options/22/04/26818122/52-weeks-high-and-low-article,HARP,0.00928,Neutral,-0.00067
Stocks That Hit 52-Week Lows On Monday,20220425T160100,https://www.benzinga.com/markets/options/22/04/26791205/52-weeks-high-and-low-article,HARP,0.008154,Neutral,0.008568
12 Health Care Stocks Moving In Monday's Intraday Session,20220516T175801,https://www.benzinga.com/trading-ideas/movers/22/05/27230053/12-health-care-stocks-moving-in-mondays-intraday-session,HARP,0.124228,Neutral,0.001626
Stocks That Hit 52-Week Lows On Wednesday,20220427T184104,https://www.benzinga.com/markets/options/22/04/26844275/52-weeks-high-and-low-article,HARP,0.006956,Neutral,-0.000419
Stocks That Hit 52-Week Lows On Thursday,20220421T175401,https://www.benzinga.com/markets/options/22/04/26742233/52-weeks-high-and-low-article,HARP,0.021637,Neutral,0.005109
50 Stocks Moving In Friday's Mid-Day Session,20220311T170525,https://www.benzinga.com/news/22/03/26104400/50-stocks-moving-in-fridays-mid-day-session,HARP,0.078508,Neutral,-0.052898
New Strong Buy Stocks for November 21st,20231121T113100,https://www.zacks.com/commentary/2186408/new-strong-buy-stocks-for-november-21st,HARP,0.55533,Neutral,0.0
"Small-Cell Lung Cancer Market to Accelerate Substantially During the Study Period  ( 2019-2032 ) , Assesses DelveInsight | Leading Companies - Amgen, Novartis, AbbVie, BMS, Clovis Oncology, Cardiff Oncology, Roche, Daiichi Sankyo",20231004T210100,https://www.prnewswire.com/news-releases/small-cell-lung-cancer-market-to-accelerate-substantially-during-the-study-period-20192032-assesses-delveinsight--leading-companies----amgen-novartis-abbvie-bms-clovis-oncology-cardiff-oncology-roche-daiichi-sankyo-301946615.html,HARP,0.021778,Neutral,-0.020221
Stocks That Hit 52-Week Lows On Friday,20220422T162629,https://www.benzinga.com/markets/options/22/04/26764450/52-weeks-high-and-low-article,HARP,0.012589,Neutral,0.002506
