title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Why Laser Photonics Shares Surged By Around 19%; Here Are 70 Biggest Movers From Friday - Abeona Therapeutics  ( NASDAQ:ABEO ) , ACM Research  ( NASDAQ:ACMR ) ",20221017T092117,https://www.benzinga.com/news/22/10/29282399/why-laser-photonics-shares-surged-by-around-19-here-are-70-biggest-movers-from-friday,HSCS,0.063091,Somewhat-Bullish,0.271544
4 Popular Penny Stocks To Watch $5 As FUBO Stock Skyrockets 145%,20220816T183803,https://pennystocks.com/featured/2022/08/16/4-popular-penny-stocks-to-watch-5-as-fubo-stock-skyrockets-145/,HSCS,0.068209,Somewhat-Bullish,0.216057
Why Is Yellow Trading Higher By 33%: Here Are 48 Stocks Moving Premarket,20220804T105117,https://www.benzinga.com/news/22/08/28349800/why-is-yellow-trading-higher-by-33-here-are-48-stocks-moving-premarket,HSCS,0.059562,Neutral,-0.011144
"Why Murphy Canyon Acquisition Shares Are Trading Higher By Around 32%; Here Are 20 Stocks Moving Premarket - Alliance Entertainment  ( NASDAQ:AENT ) , Antelope Ent Hldgs  ( NASDAQ:AEHL ) ",20230921T115135,https://www.benzinga.com/news/23/09/34789115/why-murphy-canyon-acquisition-shares-are-trading-higher-by-around-32-here-are-20-stocks-moving-prema,HSCS,0.154455,Somewhat-Bearish,-0.234681
"Why Getaround Shares Are Trading Higher By Around 86%; Here Are 20 Stocks Moving Premarket - Aileron Therapeutics  ( NASDAQ:ALRN ) , Aadi Bioscience  ( NASDAQ:AADI ) ",20231215T131709,https://www.benzinga.com/news/23/12/36255748/why-getaround-shares-are-trading-higher-by-around-86-here-are-20-stocks-moving-premarket,HSCS,0.159043,Somewhat-Bullish,0.251512
"Why Guess? Shares Are Trading Lower By Around 15%; Here Are 20 Stocks Moving Premarket - Anghami  ( NASDAQ:ANGH ) , AgileThought  ( NASDAQ:AGIL ) ",20231122T125806,https://www.benzinga.com/news/23/11/35914672/why-guess-shares-are-trading-lower-by-around-15-here-are-20-stocks-moving-premarket,HSCS,0.13459,Neutral,0.14595
"Why American Public Education Shares Are Trading Higher By Around 21%; Here Are 20 Stocks Moving Premarket - Sphere 3D  ( NASDAQ:ANY ) , American Public Education  ( NASDAQ:APEI ) ",20231108T124959,https://www.benzinga.com/news/23/11/35670254/why-american-public-education-shares-are-trading-higher-by-around-21-here-are-20-stocks-moving-prema,HSCS,0.163354,Neutral,0.048216
Why Maison Solutions Shares Are Trading Higher By Around 91%; Here Are 20 Stocks Moving Premarket - Fresh2 Group  ( NASDAQ:FRES ) ,20240924T094025,https://www.benzinga.com/news/24/09/40997306/why-maison-solutions-shares-are-trading-higher-by-around-91-here-are-20-stocks-moving-premarket,HSCS,0.148731,Somewhat-Bullish,0.260614
"Why SpringWorks Shares Are Trading Higher By Around 14%; Here Are 20 Stocks Moving Premarket - argenx  ( NASDAQ:ARGX ) , Alithya Group  ( NASDAQ:ALYA ) ",20231128T125649,https://www.benzinga.com/news/23/11/35976269/why-springworks-shares-are-trading-higher-by-around-14-here-are-20-stocks-moving-premarket,HSCS,0.219477,Neutral,0.0
"Why National CineMedia Shares Are Trading Higher By Around 111%; Here Are 20 Stocks Moving Premarket - Agrify  ( NASDAQ:AGFY ) , Brenmiller Energy  ( NASDAQ:BNRG ) ",20230411T122012,https://www.benzinga.com/news/23/04/31741625/why-national-cinemedia-shares-are-trading-higher-by-around-111-here-are-20-stocks-moving-premarket,HSCS,0.24289,Bearish,-0.473664
"Why AppLovin Shares Are Trading Higher By Over 15%; Here Are 20 Stocks Moving Premarket - AppLovin  ( NASDAQ:APP ) , Alarum Technologies  ( NASDAQ:ALAR ) ",20231109T142935,https://www.benzinga.com/news/23/11/35697678/why-applovin-shares-are-trading-higher-by-over-15-here-are-20-stocks-moving-premarket,HSCS,0.16849,Somewhat-Bearish,-0.256791
"Why Pinterest Shares Jumped Around 14%; Here Are 69 Biggest Movers From Friday - Aeglea BioTherapeutics  ( NASDAQ:AGLE ) , Avista Public Acquisition  ( NASDAQ:AHPA ) ",20221031T081300,https://www.benzinga.com/news/22/10/29474596/why-pinterest-shares-jumped-around-14-here-are-69-biggest-movers-from-friday,HSCS,0.056674,Neutral,0.0
Why Quoin Pharmaceuticals Plunged Over 62%; Here Are 120 Biggest Movers From Friday,20220808T070540,https://www.benzinga.com/news/22/08/28391297/why-quoin-pharmaceuticals-plunged-over-62-here-are-120-biggest-movers-from-friday,HSCS,0.033328,Neutral,0.0
The Benchmark Company Announces Upcoming Discovery One-on-One Investor Conference,20221110T172410,https://www.benzinga.com/pressreleases/22/11/g29664750/the-benchmark-company-announces-upcoming-discovery-one-on-one-investor-conference,HSCS,0.064276,Neutral,0.061035
