title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Friday,20220506T160650,https://www.benzinga.com/markets/options/22/05/27050916/52-weeks-high-and-low-article,INKT,0.005467,Neutral,0.000997
79 Biggest Movers From Yesterday,20220608T080800,https://www.benzinga.com/news/22/06/27602286/79-biggest-movers-from-yesterday,INKT,0.060168,Neutral,0.002686
68 Biggest Movers From Yesterday,20220419T083535,https://www.benzinga.com/news/22/04/26681653/68-biggest-movers-from-yesterday,INKT,0.057004,Neutral,0.00064
"Why Tattooed Chef Shares Dipped Around 15%; Here Are 95 Biggest Movers From Friday - Alcoa  ( NYSE:AA ) , Aurora Cannabis  ( NASDAQ:ACB ) ",20221114T073517,https://www.benzinga.com/news/earnings/22/11/29694040/why-tattooed-chef-shares-dipped-around-15-here-are-95-biggest-movers-from-friday,INKT,0.043698,Neutral,0.0
"Earnings Scheduled For May 10, 2022",20220510T091808,https://www.benzinga.com/news/earnings/22/05/27099859/earnings-scheduled-for-may-10-2022,INKT,0.015162,Neutral,0.004491
53 Biggest Movers From Yesterday,20220408T084938,https://www.benzinga.com/news/22/04/26539460/53-biggest-movers-from-yesterday,INKT,0.063763,Neutral,0.002858
38 Stocks Moving In Thursday's Mid-Day Session,20220407T171413,https://www.benzinga.com/news/22/04/26529716/38-stocks-moving-in-thursdays-mid-day-session,INKT,0.087969,Neutral,0.000873
MiNK Therapeutics Provides Corporate Update and Reports Fourth Quarter and Full Year 2021 Financial Results,20220318T123000,https://www.globenewswire.com/news-release/2022/03/18/2406000/0/en/MiNK-Therapeutics-Provides-Corporate-Update-and-Reports-Fourth-Quarter-and-Full-Year-2021-Financial-Results.html,INKT,0.174272,Neutral,0.047099
70 Biggest Movers From Friday,20220531T091540,https://www.benzinga.com/news/22/05/27467950/70-biggest-movers-from-friday,INKT,0.084702,Neutral,6.6e-05
"Carnival Surges Over 12%, Here's 75 Biggest Movers From Friday",20220627T082640,https://www.benzinga.com/news/22/06/27857165/carnival-surges-over-12-heres-75-biggest-movers-from-friday,INKT,0.091731,Neutral,-0.018252
Why MiNK Therapeutics Stock Is Up 11% Monday - MiNK Therapeutics  ( NASDAQ:INKT ) ,20240513T174844,https://www.benzinga.com/news/24/05/38797454/why-mink-therapeutics-stock-is-up-11-monday,INKT,0.617765,Bullish,0.508723
MiNK Therapeutics Announces $5.8 Million Private Placement and Appointment of Board Observer - MiNK Therapeutics  ( NASDAQ:INKT ) ,20240513T113000,https://www.benzinga.com/pressreleases/24/05/g38785308/mink-therapeutics-announces-5-8-million-private-placement-and-appointment-of-board-observer,INKT,0.155451,Neutral,0.035384
