title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Thursday,20220428T193101,https://www.benzinga.com/markets/options/22/04/26872967/52-weeks-high-and-low-article,ITGR,0.00644,Neutral,-0.000564
"Earnings Scheduled For April 28, 2022",20220428T085040,https://www.benzinga.com/news/earnings/22/04/26860440/earnings-scheduled-for-april-28-2022,ITGR,0.014477,Neutral,1e-06
"Medical Products Stocks' Earnings Due on Feb 15: WST, ITGR & More",20240214T135600,https://www.zacks.com/stock/news/2226041/medical-products-stocks-earnings-due-on-feb-15-wst-itgr-more,ITGR,0.366061,Somewhat-Bullish,0.319401
PacBio's  ( PACB )  New Kits to Boost Its Revio Sequencing System,20240206T144100,https://www.zacks.com/stock/news/2221789/pacbios-pacb-new-kits-to-boost-its-revio-sequencing-system,ITGR,0.22861,Neutral,0.080856
PacBio's  ( PACB )  New PanDNA Kit Ready to Boost DNA Extraction,20240116T171300,https://www.zacks.com/stock/news/2210985/pacbios-pacb-new-pandna-kit-ready-to-boost-dna-extraction,ITGR,0.254307,Neutral,0.125779
PacBio  ( PACB )  Preliminary Q4 Revenues Boosted by Revio Sales,20240109T154300,https://www.zacks.com/stock/news/2207537/pacbio-pacb-preliminary-q4-revenues-boosted-by-revio-sales,ITGR,0.230235,Somewhat-Bullish,0.150062
Reasons to Retain PacBio  ( PACB )  Stock in Your Portfolio Now,20231226T132400,https://www.zacks.com/stock/news/2202089/reasons-to-retain-pacbio-pacb-stock-in-your-portfolio-now,ITGR,0.155786,Neutral,0.112918
"PacBio  ( PACB )  Tops on Q3 Earnings, Raises FY23 Revenue View",20231031T153500,https://www.zacks.com/stock/news/2175683/pacbio-pacb-tops-on-q3-earnings-raises-fy23-revenue-view,ITGR,0.162255,Neutral,0.024365
Merit Medical's  ( MMSI )  New Launch to Expand Its Product Suite,20231012T155500,https://www.zacks.com/stock/news/2165038/merit-medicals-mmsi-new-launch-to-expand-its-product-suite,ITGR,0.247838,Somewhat-Bullish,0.153571
Three Reasons to Add PacBio  ( PACB )  Stock to Your Portfolio,20231006T161100,https://www.zacks.com/stock/news/2161714/three-reasons-to-add-pacbio-pacb-stock-to-your-portfolio,ITGR,0.234684,Somewhat-Bullish,0.1576
Here's Why You Should Retain PacBio  ( PACB )  Stock for Now,20230905T162500,https://www.zacks.com/stock/news/2144992/heres-why-you-should-retain-pacbio-pacb-stock-for-now,ITGR,0.218325,Somewhat-Bullish,0.153795
"PacBio  ( PACB )  Tops on Q2 Earnings, Raises FY23 Revenue View",20230803T171600,https://www.zacks.com/stock/news/2132189/pacbio-pacb-tops-on-q2-earnings-raises-fy23-revenue-view,ITGR,0.175859,Neutral,0.025754
Intuitive Surgical  ( ISRG )  to Post Q2 Earnings: What's in Store?,20230719T140200,https://www.zacks.com/stock/news/2123858/intuitive-surgical-isrg-to-post-q2-earnings-whats-in-store,ITGR,0.047465,Neutral,0.031001
"Medical Device Stocks' Q4 Earnings on Feb 16: WST, SWAV & More",20230215T143300,https://www.zacks.com/stock/news/2054626/medical-device-stocks-q4-earnings-on-feb-16-wst-swav-more,ITGR,0.183496,Neutral,0.135831
