title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Monday,20220613T161842,https://www.benzinga.com/markets/options/22/06/27677156/52-weeks-high-and-low-article,KEY,0.005366,Neutral,0.006956
"Stocks Like Rising Yields, Wait What? - Advance Auto Parts  ( NYSE:AAP ) , Analog Devices  ( NASDAQ:ADI ) ",20230823T164016,https://www.benzinga.com/markets/cryptocurrency/23/08/34008695/stocks-like-rising-yields-wait-what,KEY,0.047654,Neutral,-0.071594
"Earnings Scheduled For May 10, 2022",20220510T091808,https://www.benzinga.com/news/earnings/22/05/27099859/earnings-scheduled-for-may-10-2022,KEY,0.015162,Neutral,-0.000676
Stocks That Hit 52-Week Lows On Friday,20220610T154524,https://www.benzinga.com/markets/options/22/06/27650434/52-weeks-high-and-low-article,KEY,0.013393,Neutral,-0.001339
AT&T Board Gifted 100 Million Customers' Privacy To Hackers,20240713T110020,https://www.forbes.com/sites/noahbarsky/2024/07/13/att-board-gifted-100-million-customers-privacy-to-hackers/,KEY,0.037213,Neutral,0.010574
"G-III Apparel Group  ( NASDAQ:GIII )  Upgraded by StockNews.com to ""Hold""",20230609T105449,https://www.defenseworld.net/2023/06/09/g-iii-apparel-group-nasdaqgiii-upgraded-by-stocknews-com-to-hold.html,KEY,0.060236,Neutral,0.073
Five Below  ( NASDAQ:FIVE )  Downgraded by StockNews.com to Sell,20230609T102244,https://www.defenseworld.net/2023/06/09/five-below-nasdaqfive-downgraded-by-stocknews-com-to-sell.html,KEY,0.049424,Neutral,0.057558
RingCentral  ( NYSE:RNG )  Downgraded by StockNews.com to Hold,20230609T055845,https://www.defenseworld.net/2023/06/09/ringcentral-nyserng-downgraded-by-stocknews-com-to-hold-2.html,KEY,0.048425,Neutral,0.038475
Paycom Software  ( NYSE:PAYC )  Lowered to Hold at StockNews.com,20230609T053444,https://www.defenseworld.net/2023/06/09/paycom-software-nysepayc-lowered-to-hold-at-stocknews-com.html,KEY,0.046999,Neutral,0.072951
"First Republic Bank, PacWest Bancorp, Western Alliance Bancorporation And Other Big Stocks Moving Higher On Tuesday - Amylyx Pharma  ( NASDAQ:AMLX ) , Ambipar Emergency  ( AMEX:AMBI ) ",20230314T144506,https://www.benzinga.com/news/23/03/31343135/first-republic-bank-pacwest-bancorp-western-alliance-bancorporation-and-other-big-stocks-moving-high,KEY,0.119532,Bullish,0.368232
"KBW Announces Index Rebalancing for Fourth-Quarter 2023 - American Assets Trust  ( NYSE:AAT ) , Ares Comml Real Est  ( NYSE:ACRE ) ",20231209T013000,https://www.benzinga.com/pressreleases/23/12/g36164737/kbw-announces-index-rebalancing-for-fourth-quarter-2023,KEY,0.082963,Neutral,0.0
"Apollo, Capital One and BlackRock draw kudos as biggest KBW's 'best idea' stocks",20240103T193900,https://www.marketwatch.com/story/apollo-and-capital-one-tip-the-scales-as-biggest-components-of-kbws-best-ideas-list-53784be8,KEY,0.124486,Somewhat-Bullish,0.217199
