title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
MediWound Reports Third Quarter 2023 Financial Results and Provides Company Update,20231121T120200,https://www.globenewswire.com/news-release/2023/11/21/2783933/30505/en/MediWound-Reports-Third-Quarter-2023-Financial-Results-and-Provides-Company-Update.html,KKPCF,0.017638,Neutral,0.002662
MediWound Reports Second Quarter 2023 Financial Results and Provides Company Update,20230815T200300,https://www.globenewswire.com/news-release/2023/08/15/2725894/30505/en/MediWound-Reports-Second-Quarter-2023-Financial-Results-and-Provides-Company-Update.html,KKPCF,0.018482,Neutral,0.059898
"Global Wound Care Market is Predicted to Grow at a CAGR of 4.7% During 2022-2031; Growing Population of Geriatrics, Rising Incidence of Burn Injuries, and Technological and Research Development is to Elevate the Market Growth- Research Nest",20221017T111054,https://www.benzinga.com/pressreleases/22/10/g29284852/global-wound-care-market-is-predicted-to-grow-at-a-cagr-of-4-7-during-2022-2031-growing-population,KKPCF,0.024673,Neutral,0.094812
Best Penny Stocks To Buy? 3 To Watch With Targets Up To 400%,20230223T165447,https://pennystocks.com/featured/2023/02/23/best-penny-stocks-to-buy-3-to-watch-targets-up-to-400/,KKPCF,0.037504,Neutral,0.073823
"Why CinCor Pharma Shares Are Trading Higher By 140%; Here Are 20 Stocks Moving Premarket - Albireo Pharma  ( NASDAQ:ALBO ) , Amryt Pharma  ( NASDAQ:AMYT ) ",20230109T130447,https://www.benzinga.com/news/23/01/30331195/why-cincor-pharma-shares-are-trading-higher-by-140-here-are-20-stocks-moving-premarket,KKPCF,0.068896,Neutral,0.092274
"Dow Jumps 700 Points; S&P 500 Rises Over 2% - Aehr Test Systems  ( NASDAQ:AEHR ) , ATAI Life Sciences  ( NASDAQ:ATAI ) ",20230106T194324,https://www.benzinga.com/news/earnings/23/01/30316154/dow-jumps-700-points-s-p-500-rises-over-2,KKPCF,0.05257,Somewhat-Bullish,0.296863
"Nasdaq Gains 1.5%; Fate Therapeutics Shares Plunge - Aehr Test Systems  ( NASDAQ:AEHR ) , ATAI Life Sciences  ( NASDAQ:ATAI ) ",20230106T170106,https://www.benzinga.com/news/earnings/23/01/30313745/nasdaq-gains-1-5-fate-therapeutics-shares-plunge,KKPCF,0.053153,Somewhat-Bullish,0.296912
"Why Graphite Bio Shares Are Trading Lower By 50%; Here Are 20 Stocks Moving Premarket - ABVC BioPharma  ( NASDAQ:ABVC ) , Acasti Pharma  ( NASDAQ:ACST ) ",20230106T130036,https://www.benzinga.com/news/23/01/30309039/why-graphite-bio-shares-are-trading-lower-by-50-here-are-20-stocks-moving-premarket,KKPCF,0.063763,Somewhat-Bullish,0.22341
Why Spruce Biosciences  ( SPRB )  Shares Are Surging Today - Spruce Biosciences  ( NASDAQ:SPRB ) ,20230106T111648,https://www.benzinga.com/news/23/01/30306987/spruce-biosciences-shares-skyrocket-after-licensing-pact-for-lead-program,KKPCF,0.181137,Somewhat-Bullish,0.243967
JNJ Inks Licensing Deal With Kaken for Eczema Candidate KP-723,20241227T121700,https://www.zacks.com/stock/news/2388625/jnj-inks-licensing-deal-with-kaken-for-eczema-candidate-kp-723,KKPCF,0.061949,Neutral,0.081167
