title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Applied DNA Sciences  ( NASDAQ:APDN )  Upgraded by StockNews.com to ""Hold""",20230215T081649,https://www.etfdailynews.com/2023/02/15/applied-dna-sciences-nasdaqapdn-upgraded-by-stocknews-com-to-hold/,KO,0.150592,Neutral,0.077411
"Earnings Scheduled For April 28, 2022",20220428T085040,https://www.benzinga.com/news/earnings/22/04/26860440/earnings-scheduled-for-april-28-2022,KO,0.007239,Neutral,0.000466
Best Momentum Stocks to Buy for November 28th,20231128T150000,https://www.zacks.com/commentary/2190044/best-momentum-stocks-to-buy-for-november-28th,KO,0.115232,Neutral,0.0
"Earnings Scheduled For May 3, 2022",20220503T085235,https://www.benzinga.com/news/earnings/22/05/26953640/earnings-scheduled-for-may-3-2022,KO,0.00779,Neutral,-0.062861
"Processa Pharmaceuticals, Inc. Announces $6.25 Million Registered Direct Offering Priced at the Market Under Nasdaq Rules",20230210T130000,https://www.globenewswire.com/news-release/2023/02/10/2605900/0/en/Processa-Pharmaceuticals-Inc-Announces-6-25-Million-Registered-Direct-Offering-Priced-at-the-Market-Under-Nasdaq-Rules.html,KO,0.061315,Neutral,0.127025
Birkin Bags Make The Case For Tokenizing IP,20230215T190458,https://www.forbes.com/sites/jeffgapusan/2023/02/15/birkin-bags-make-the-case-for-tokenizing-ip/,KO,0.040011,Neutral,0.134241
3 Stocks That Could Be Easy Wealth Builders,20240806T140700,https://www.fool.com/investing/2024/08/06/3-stocks-that-could-be-easy-wealth-builders/,KO,0.174587,Somewhat-Bullish,0.268394
Forget Apple: These Unstoppable Stocks Are Better Buys,20240718T091500,https://www.fool.com/investing/2024/07/18/forget-apple-these-unstoppable-stocks-better-buys/,KO,0.122894,Neutral,0.136161
Want Dividends? Check Out These 3 Stocks,20240717T223200,https://www.fool.com/investing/2024/07/17/want-dividends-check-out-these-3-stocks/,KO,0.431065,Bullish,0.450283
Coca-Cola  ( KO )  Q2 2024 Earnings Call Transcript,20240723T171520,https://www.fool.com/earnings/call-transcripts/2024/07/23/coca-cola-ko-q2-2024-earnings-call-transcript/,KO,0.04996,Somewhat-Bullish,0.244823
The PWHL Playoff Teams Are Set: Matchups Will Be Unveiled On Monday,20240506T034747,https://www.forbes.com/sites/carolschram/2024/05/05/the-pwhl-playoff-teams-are-set-matchups-will-be-unveiled-on-monday/,KO,0.053629,Neutral,-0.033836
Coca-Cola  ( KO )  Q2 2023 Earnings Call Transcript,20230726T180026,https://www.fool.com/earnings/call-transcripts/2023/07/26/coca-cola-ko-q2-2023-earnings-call-transcript/,KO,0.039986,Somewhat-Bullish,0.163389
"Coca-Cola  ( KO )  Exceeds Earnings Estimates, but Here Are the 5 Best Consumer Staples Stocks to Buy Now",20221025T154908,https://www.kiplinger.com/investing/stocks/coca-cola-ko-exceeds-earnings-estimates-but-these-are-the-5-best-consumer-staples-stocks-to-buy-now,KO,0.359707,Neutral,0.061692
5 Best Dow Dividend Stocks to Buy Now,20221024T171822,https://www.kiplinger.com/investing/stocks/best-dow-dividend-stocks-to-buy-now,KO,0.186945,Somewhat-Bullish,0.170293
"Why Coca-Cola, Abercrombie & Fitch, and Stitch Fix Are No-Brainer Buys Right Now",20230613T133700,https://www.fool.com/investing/2023/06/13/why-coca-cola-abercrombie-fitch-and-stitch-fix-are/,KO,0.263467,Somewhat-Bullish,0.22146
"Stitch Fix Adds Kofi Amoo-Gottfried, CMO of DoorDash to Board of Directors - Stitch Fix  ( NASDAQ:SFIX ) ",20221219T211559,https://www.benzinga.com/pressreleases/22/12/g30135527/stitch-fix-adds-kofi-amoo-gottfried-cmo-of-doordash-to-board-of-directors,KO,0.108222,Neutral,0.079363
"Stitch Fix Adds Kofi Amoo-Gottfried, CMO of DoorDash to Board of Directors",20221219T211500,https://www.globenewswire.com/news-release/2022/12/19/2576671/0/en/Stitch-Fix-Adds-Kofi-Amoo-Gottfried-CMO-of-DoorDash-to-Board-of-Directors.html,KO,0.110973,Neutral,0.080055
Why Stitch Fix Stock Was Up 12% on Tuesday,20221025T184500,https://www.fool.com/investing/2022/10/25/why-stitch-fix-stock-was-up-12-on-tuesday/,KO,0.112532,Somewhat-Bullish,0.157139
Consumer Goods Stocks to Watch,20220924T130000,https://www.fool.com/investing/2022/09/24/consumer-goods-stocks-to-watch/,KO,0.00927,Neutral,0.018754
The Entrepreneurial CMO List: 2022,20220426T103000,https://www.forbes.com/sites/sethmatlins/2022/04/26/the-forbes-entrepreneurial-cmo-list-2022/,KO,0.00747,Somewhat-Bullish,0.20941
"Stocks That Hit 52-Week Lows On Thursday - PRA Group  ( NASDAQ:PRAA ) , Perimeter Solutions  ( NYSE:PRM ) ",20231005T172202,https://www.benzinga.com/news/23/10/35111787/stocks-that-hit-52-week-lows-on-thursday,KO,0.013047,Neutral,-0.097823
Is BRF  ( BRFS )  Stock Outpacing Its Consumer Staples Peers This Year?,20240926T134012,https://www.zacks.com/stock/news/2341919/is-brf-brfs-stock-outpacing-its-consumer-staples-peers-this-year,KO,0.473208,Somewhat-Bullish,0.325205
