title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Cintas Reports Upbeat Earnings, Joins PaySign, Noah Holdings And Other Big Stocks Moving Higher On Wednesday - Cintas  ( NASDAQ:CTAS ) , Noah Holdings  ( NYSE:NOAH ) , PaySign  ( NASDAQ:PAYS ) ",20240327T140327,https://www.benzinga.com/news/24/03/37959584/cintas-reports-upbeat-earnings-joins-paysign-noah-holdings-and-other-big-stocks-moving-higher-on-wed,KSS,0.202366,Neutral,0.0
79 Biggest Movers From Yesterday,20220608T080800,https://www.benzinga.com/news/22/06/27602286/79-biggest-movers-from-yesterday,KSS,0.060168,Neutral,0.013429
66 Biggest Movers From Friday,20220523T075758,https://www.benzinga.com/news/22/05/27341379/66-biggest-movers-from-friday,KSS,0.054477,Neutral,-0.065782
38 Stocks Moving In Friday's Mid-Day Session,20220520T160330,https://www.benzinga.com/news/22/05/27327237/38-stocks-moving-in-fridays-mid-day-session,KSS,0.098984,Neutral,-0.045798
$24.5 Billion Of Fraudulent Returns This Holiday Season Shakes Major Retailers - Now They're Fighting Back - Kohl's  ( NYSE:KSS ) ,20240205T173606,https://www.benzinga.com/general/24/02/36937463/24-5-billion-of-fraudulent-returns-this-holiday-season-shakes-major-retailers-now-theyre-fighting-ba,KSS,0.124809,Neutral,0.051644
How Pitney Bowes' Newly Launched No-Box/No-Label Returns Service Works,20240105T130054,https://www.kiplinger.com/personal-finance/online-shopping/pitney-bowes-no-box-no-label-returns,KSS,0.107495,Somewhat-Bullish,0.26234
"UPS reaches tentative contract with 340,000 unionized workers potentially dodging calamitous strike",20230725T155500,https://apnews.com/article/ups-teamsters-strike-labor-logistics-delivery-a94482dbff7bfb67ad82f607ab127672,KSS,0.051886,Neutral,-0.051
Stocks That Hit 52-Week Lows On Tuesday,20220524T161351,https://www.benzinga.com/markets/options/22/05/27375519/52-weeks-high-and-low-article,KSS,0.010175,Neutral,0.003963
Zara's Move Suggests Free Returns May Become Rare,20220524T160439,https://www.forbes.com/sites/retailwire/2022/05/24/zaras-move-suggests-free-returns-may-become-rare/,KSS,0.044852,Somewhat-Bearish,-0.239196
Tuniu  ( NASDAQ:TOUR )  Now Covered by StockNews.com,20221213T081843,https://reporter.am/2022/12/13/tuniu-nasdaqtour-now-covered-by-stocknews-com.html,KSS,0.107978,Neutral,0.054948
"Accolade Shares Jump Around 29%, Here's 75 Biggest Movers From Friday",20220705T083503,https://www.benzinga.com/news/22/07/27948361/accolade-shares-jump-around-29-heres-75-biggest-movers-from-friday,KSS,0.061758,Neutral,-0.07833
Latest Retail Trend: Men as C.E.O.s,20230814T151832,https://www.nytimes.com/2023/08/14/business/women-chief-executives-retail-companies.html,KSS,0.069194,Neutral,0.051151
Top Retail Jobs Are Going Begging. Boards Have Nobody To Blame But Themselves.,20230212T100000,https://www.forbes.com/sites/pamdanziger/2023/02/12/top-retail-jobs-are-going-begging-boards-have-nobody-to-blame-but-themselves/,KSS,0.023035,Neutral,-0.014861
Who Will Fill Open Retail CEO Positions?,20230104T114500,https://www.forbes.com/sites/walterloeb/2023/01/04/who-will-fill-open-retail-ceo-positions/,KSS,0.160633,Somewhat-Bullish,0.236331
"From Gap to GameStop, there's a retail executive exodus underway - and more departures are coming",20220720T120001,https://www.cnbc.com/2022/07/20/three-reasons-why-retail-executives-are-quitting-getting-fired.html,KSS,0.029149,Neutral,-0.057045
Stocks That Hit 52-Week Lows On Monday,20220523T161249,https://www.benzinga.com/markets/options/22/05/27350703/52-weeks-high-and-low-article,KSS,0.037702,Neutral,0.008114
"Stocks Fall As Salesforce, Dell Dive On Earnings: Weekly Review",20240531T154000,https://www.investors.com/news/stock-market-retreats-salesforce-dell-earnings-losers/,KSS,0.043499,Neutral,0.008998
"Warning issued for baby stroller sold at major retailers after death, injury reported",20230210T192050,https://www.foxbusiness.com/lifestyle/warning-issued-baby-trend-strollers-death-injury-reported,KSS,0.114137,Neutral,0.0
Stocks That Hit 52-Week Lows On Wednesday,20220518T160908,https://www.benzinga.com/markets/options/22/05/27281415/52-weeks-high-and-low-article,KSS,0.023291,Neutral,0.004796
Consumers Have Strained From Non-Necessity Retailers - Macy's  ( NYSE:M ) ,20230313T143622,https://www.benzinga.com/markets/penny-stocks/23/03/31322193/consumers-have-strained-from-non-necessity-retailers,KSS,0.087503,Neutral,-0.084728
Retail 100% Satisfaction Guarantee Policies May Be Reaching A Point Of No Return,20221002T090000,https://www.forbes.com/sites/pamdanziger/2022/10/02/retail-100-satisfaction-guarantee-policies-may-be-reaching-a-point-of-no-return/,KSS,0.033006,Neutral,-0.055323
Here are all the best back-to-school sales for the whole family,20230728T174458,https://www.cnn.com/cnn-underscored/deals/best-back-to-school-sales-2023-07-28,KSS,0.022264,Somewhat-Bullish,0.166343
"Crude Oil Moves Lower; Dick's Sporting Goods Earnings Top Views - Alector  ( NASDAQ:ALEC ) , Dick's Sporting Goods  ( NYSE:DKS ) ",20241126T190645,https://www.benzinga.com/24/11/42198266/crude-oil-moves-lower-dicks-sporting-goods-earnings-top-views,KSS,0.140076,Neutral,-0.071024
"Nasdaq Rises 100 Points; Abercrombie & Fitch Shares Fall After Q3 Results - Alector  ( NASDAQ:ALEC ) , Abercrombie & Fitch  ( NYSE:ANF ) ",20241126T170125,https://www.benzinga.com/24/11/42195268/nasdaq-rises-100-points-abercrombie-fitch-shares-fall-after-q3-results,KSS,0.150122,Neutral,-0.07403
88 Biggest Movers From Yesterday,20220526T090859,https://www.benzinga.com/news/22/05/27411905/88-biggest-movers-from-yesterday,KSS,0.047725,Neutral,-0.008848
88 Biggest Movers From Yesterday,20220526T090859,https://markets.businessinsider.com/news/stocks/88-biggest-movers-from-yesterday-1031490389,KSS,0.022016,Neutral,-0.008444
38 Stocks Moving In Tuesday's Mid-Day Session,20220607T160117,https://www.benzinga.com/news/22/06/27592553/38-stocks-moving-in-tuesdays-mid-day-session,KSS,0.126617,Neutral,0.006719
"Kohl's Posts Upbeat Q2 Earnings, Joins Box, Waldencast, AeroVironment And Other Big Stocks Moving Higher On Wednesday - Kohl's  ( NYSE:KSS ) ",20240828T141742,https://www.benzinga.com/news/24/08/40602596/kohls-posts-upbeat-q2-earnings-joins-box-waldencast-aerovironment-and-other-big-stocks-moving-higher,KSS,0.279015,Bullish,0.584636
Akebia Therapeutics And 20 Stocks Moving Premarket,20220701T105618,https://www.benzinga.com/news/22/07/27929335/akebia-therapeutics-and-20-stocks-moving-premarket,KSS,0.215574,Neutral,-0.008783
"Stocks making the biggest moves midday: Bath & Body Works, Norwegian Cruise Line, Macy's and more",20221117T182031,https://www.cnbc.com/2022/11/17/stocks-making-the-biggest-moves-midday-bath-body-works-norwegian-cruise-line-macys-and-more.html,KSS,0.18602,Somewhat-Bullish,0.150929
Nasdaq Surges 250 Points; Crude Oil Rises Sharply,20220707T190149,https://www.benzinga.com/news/earnings/22/07/27992230/nasdaq-surges-250-points-crude-oil-rises-sharply,KSS,0.116772,Neutral,0.002032
Dow Jumps More Than 200 Points; Samsung Sees This Much Surge In Quarterly Revenue,20220707T161116,https://www.benzinga.com/news/earnings/22/07/27990031/dow-jumps-more-than-200-points-samsung-sees-this-much-surge-in-quarterly-revenue,KSS,0.112243,Neutral,0.00247
