title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Why Richardson Electronics Shares Surged Over 8%; Here Are 55 Biggest Movers From Friday - Angel Oak Mortgage  ( NYSE:AOMR ) , Ampco-Pittsburgh  ( NYSE:AP ) ",20221128T100924,https://www.benzinga.com/news/22/11/29866518/why-richardson-electronics-shares-surged-over-8-here-are-55-biggest-movers-from-friday,MANU,0.112532,Neutral,0.092651
"Why Coupa Software Shares Jumped Around 29%; Here Are 72 Biggest Movers From Wednesday - Autodesk  ( NASDAQ:ADSK ) , Aenza SAA  ( NYSE:AENZ ) ",20221125T095236,https://www.benzinga.com/news/22/11/29855752/why-coupa-software-shares-jumped-around-29-here-are-72-biggest-movers-from-wednesday,MANU,0.054857,Neutral,0.0
"S&P 500 Rises 0.6%; Deere Earnings Beat Estimates - Deere  ( NYSE:DE ) , Biolase  ( NASDAQ:BIOL ) ",20221123T195235,https://www.benzinga.com/news/earnings/22/11/29844994/s-p-500-rises-0-6-deere-earnings-beat-estimates,MANU,0.115509,Neutral,0.128345
"Nasdaq Gains Over 100 Points; Crude Oil Drops Sharply - Manchester United  ( NYSE:MANU ) , Biolase  ( NASDAQ:BIOL ) ",20221123T171440,https://www.benzinga.com/news/earnings/22/11/29842886/nasdaq-gains-over-100-points-crude-oil-drops-sharply,MANU,0.124486,Neutral,0.132449
"Tesla, Deere And Some Other Big Stocks Moving Higher On Wednesday - ATAI Life Sciences  ( NASDAQ:ATAI ) , Carvana  ( NYSE:CVNA ) ",20221123T161400,https://www.benzinga.com/news/22/11/29841727/tesla-deere-and-some-other-big-stocks-moving-higher-on-wednesday,MANU,0.224903,Neutral,0.0
Stocks That Hit 52-Week Lows On Thursday,20220526T161527,https://www.benzinga.com/markets/options/22/05/27422270/52-weeks-high-and-low-article,MANU,0.048646,Neutral,0.044162
"Why Streamline Health Solutions Shares Are Trading Lower By Over 68%? Here Are Other Stocks Moving In Monday's Mid-Day Session - Aldeyra Therapeutics  ( NASDAQ:ALDX ) , Alignment Healthcare  ( NASDAQ:ALHC ) ",20231016T170953,https://www.benzinga.com/news/23/10/35272489/why-streamline-health-solutions-shares-are-trading-lower-by-over-68-here-are-other-stocks-moving-in,MANU,0.076236,Neutral,0.038136
"Why ContraFect Shares Are Trading Higher By Around 30%; Here Are 20 Stocks Moving Premarket - Ambrx Biopharma  ( NASDAQ:AMAM ) , Amphenol  ( NYSE:APH ) ",20231016T124712,https://www.benzinga.com/news/23/10/35266067/why-contrafect-shares-are-trading-higher-by-around-30-here-are-20-stocks-moving-premarket,MANU,0.194242,Neutral,-0.10182
"Why Sintx Technologies Shares Are Trading Lower By 38%; Here Are 20 Stocks Moving Premarket - Enphase Energy  ( NASDAQ:ENPH ) , Youdao  ( NYSE:DAO ) ",20230208T121742,https://www.benzinga.com/news/23/02/30805823/why-sintx-technologies-shares-are-trading-lower-by-38-here-are-20-stocks-moving-premarket,MANU,0.139669,Neutral,0.0
Rooney Pays Tribute To Charlton After Losing Return To English Football,20231021T175800,https://www.barrons.com/news/rooney-pays-tribute-to-charlton-after-losing-return-to-english-football-8a9ce7a4,MANU,0.089129,Neutral,-0.097223
Spot-on Vela Sends Los Angeles To Top In MLS,20230521T071625,https://www.barrons.com/news/spot-on-vela-sends-los-angeles-to-top-in-mls-6faa30c3,MANU,0.164468,Neutral,-0.049716
Three Talking Points From The Premier League,20230423T175104,https://www.barrons.com/news/three-talking-points-from-the-premier-league-a5426096,MANU,0.059049,Somewhat-Bullish,0.211025
Three Things We Learned From The Premier League,20230312T202627,https://www.barrons.com/news/three-things-we-learned-from-the-premier-league-f259e2d2,MANU,0.064449,Somewhat-Bearish,-0.303991
"Arsenal Extend Premier League Lead, Leeds Climb Out Of Bottom Three",20230225T171154,https://www.barrons.com/news/arsenal-extend-premier-league-lead-leeds-climb-out-of-bottom-three-595658a5,MANU,0.083833,Somewhat-Bearish,-0.24168
"Arsenal Extend Premier League Lead, Leeds Climb Out Of Bottom Three",20230225T171154,https://www.barrons.com/news/arsenal-extend-premier-league-lead-leeds-climb-out-of-bottom-three-595658a5,MANU,0.075635,Somewhat-Bearish,-0.238316
Xavi Rules Out Manchester United Signing Ansu Fati From FC Barcelona,20230204T152017,https://www.forbes.com/sites/tomsanderson/2023/02/04/xavi-rules-out-manchester-united-signing-ansu-fati-from-fc-barcelona/,MANU,0.113062,Neutral,0.1106
Ten Hag Says Man Utd Must 'Change Mentality' After Arsenal Defeat,20230122T202549,https://www.barrons.com/amp/news/ten-hag-says-man-utd-must-change-mentality-after-arsenal-defeat-01674419109,MANU,0.120431,Somewhat-Bearish,-0.16026
Ten Hag Says Man Utd Must 'Change Mentality' After Arsenal Defeat,20230122T202549,https://www.barrons.com/news/ten-hag-says-man-utd-must-change-mentality-after-arsenal-defeat-01674419109,MANU,0.120431,Somewhat-Bearish,-0.16026
Saka Urges Arsenal To Maintain Title Charge,20230122T190615,https://www.barrons.com/amp/news/saka-urges-arsenal-to-maintain-title-charge-01674414308,MANU,0.139265,Somewhat-Bullish,0.318248
Saka Urges Arsenal To Maintain Title Charge,20230122T190615,https://www.barrons.com/news/saka-urges-arsenal-to-maintain-title-charge-01674414308,MANU,0.139265,Somewhat-Bullish,0.318248
Arsenal Beat Man Utd To Make Premier League Title Statement,20230122T190233,https://www.barrons.com/amp/news/arsenal-beat-man-utd-to-make-title-statement-01674412809,MANU,0.056407,Somewhat-Bullish,0.163957
