title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Torrid Reports Upbeat Results, Joins MBIA, Virco Mfg. And Other Big Stocks Moving Higher On Friday - Applied Optoelectronics  ( NASDAQ:AAOI ) , ALX Oncology Holdings  ( NASDAQ:ALXO ) ",20231208T154052,https://www.benzinga.com/news/23/12/36154924/torrid-reports-upbeat-results-joins-mbia-virco-mfg-and-other-big-stocks-moving-higher-on-friday,MBI,0.258351,Bullish,0.495005
Wall Street Analysts See a 28.16% Upside in MBIA  ( MBI ) : Can the Stock Really Move This High?,20241202T224437,https://www.zacks.com/stock/news/2377937/wall-street-analysts-see-a-2816-upside-in-mbia-mbi-can-the-stock-really-move-this-high,MBI,0.284861,Somewhat-Bullish,0.304053
Roku To Rally Around 31%? Here Are 10 Top Analyst Forecasts For Monday - Roku  ( NASDAQ:ROKU ) ,20241118T150712,https://www.benzinga.com/analyst-ratings/price-target/24/11/42039463/roku-to-rally-around-31-here-are-10-top-analyst-forecasts-for-monday,MBI,0.223522,Bullish,0.364122
Wall Street Analysts Think MBIA  ( MBI )  Could Surge 33.78%: Read This Before Placing a Bet,20241115T145510,https://www.zacks.com/stock/news/2371092/wall-street-analysts-think-mbia-mbi-could-surge-3378-read-this-before-placing-a-bet,MBI,0.287537,Somewhat-Bullish,0.292532
MBIA  ( MBI )  Reports Break-Even Earnings for Q3,20241108T004504,https://www.zacks.com/stock/news/2367063/mbia-mbi-reports-break-even-earnings-for-q3,MBI,0.399204,Neutral,0.102874
Hamilton Insurance  ( HG )  Q3 Earnings Surpass Estimates,20241106T232511,https://www.zacks.com/stock/news/2365691/hamilton-insurance-hg-q3-earnings-surpass-estimates,MBI,0.137671,Neutral,0.0
EverQuote  ( EVER )  Q3 Earnings and Revenues Top Estimates,20241104T224009,https://www.zacks.com/stock/news/2363827/everquote-ever-q3-earnings-and-revenues-top-estimates,MBI,0.142144,Neutral,0.0
Why Talis Biomedical  ( TLIS )  Stock Is Getting Obliterated Today - Talis Biomedical  ( NASDAQ:TLIS ) ,20240807T140947,https://www.benzinga.com/news/24/08/40222616/why-talis-biomedical-tlis-stock-is-getting-obliterated-today,MBI,0.146025,Neutral,-0.001356
"MBIA  ( MBI )  Reports Q2 Loss, Tops Revenue Estimates",20240806T224507,https://www.zacks.com/stock/news/2317531/mbia-mbi-reports-q2-loss-tops-revenue-estimates,MBI,0.401331,Neutral,0.071069
EverQuote  ( EVER )  Q2 Earnings and Revenues Surpass Estimates,20240805T220506,https://www.zacks.com/stock/news/2316476/everquote-ever-q2-earnings-and-revenues-surpass-estimates,MBI,0.140485,Neutral,0.0
Radian  ( RDN )  Beats Q2 Earnings Estimates,20240731T233004,https://www.zacks.com/stock/news/2313675/radian-rdn-beats-q2-earnings-estimates,MBI,0.140076,Neutral,0.0
Lemonade  ( LMND )  Surges 8.8%: Is This an Indication of Further Gains?,20240619T161100,https://www.zacks.com/stock/news/2290627/lemonade-lmnd-surges-88-is-this-an-indication-of-further-gains,MBI,0.367412,Neutral,0.0
Equinix  ( EQIX )  Surpasses Q1 FFO Estimates,20240508T214509,https://www.zacks.com/stock/news/2270925/equinix-eqix-surpasses-q1-ffo-estimates,MBI,0.138066,Neutral,0.0
"Oscar Health, Inc.  ( OSCR )  Surpasses Q1 Earnings and Revenue Estimates",20240507T111007,https://www.zacks.com/stock/news/2269268/oscar-health-inc-oscr-surpasses-q1-earnings-and-revenue-estimates,MBI,0.138464,Neutral,0.0
"Hippo Holdings Inc.  ( HIPO )  Reports Q1 Loss, Tops Revenue Estimates",20240502T121507,https://www.zacks.com/stock/news/2266713/hippo-holdings-inc-hipo-reports-q1-loss-tops-revenue-estimates,MBI,0.140485,Neutral,0.0
"MBIA  ( MBI )  Reports Q4 Loss, Tops Revenue Estimates",20240229T000004,https://www.zacks.com/stock/news/2233517/mbia-mbi-reports-q4-loss-tops-revenue-estimates,MBI,0.401331,Somewhat-Bullish,0.192402
StockNews.com Upgrades MBIA  ( NYSE:MBI )  to Sell,20240223T083351,https://www.americanbankingnews.com/2024/02/23/stocknews-com-upgrades-mbia-nysembi-to-sell-2.html,MBI,0.79124,Bullish,0.391848
MBIA  ( NYSE:MBI )  Upgraded to Sell at StockNews.com,20240223T083042,https://www.defenseworld.net/2024/02/23/mbia-nysembi-upgraded-to-sell-at-stocknews-com-2.html,MBI,0.063425,Neutral,0.086256
"StockNews.com Upgrades MBIA  ( NYSE:MBI )  to ""Sell""",20240223T072346,https://www.americanbankingnews.com/2024/02/23/stocknews-com-upgrades-mbia-nysembi-to-sell.html,MBI,0.842959,Bullish,0.464843
MBIA  ( NYSE:MBI )  Rating Increased to Sell at StockNews.com,20240223T072244,https://www.defenseworld.net/2024/02/23/mbia-nysembi-rating-increased-to-sell-at-stocknews-com.html,MBI,0.83383,Bullish,0.442244
"MBIA  ( NYSE:MBI )  Upgraded to ""Sell"" at StockNews.com",20240215T103846,https://www.defenseworld.net/2024/02/15/mbia-nysembi-upgraded-to-sell-at-stocknews-com.html,MBI,0.725935,Bullish,0.474362
Radian  ( RDN )  Q4 Earnings and Revenues Beat Estimates,20240207T234503,https://www.zacks.com/stock/news/2222964/radian-rdn-q4-earnings-and-revenues-beat-estimates,MBI,0.141726,Neutral,0.0
"Enact Holdings, Inc.  ( ACT )  Beats Q4 Earnings Estimates",20240206T231522,https://www.zacks.com/stock/news/2222147/enact-holdings-inc-act-beats-q4-earnings-estimates,MBI,0.138464,Neutral,0.0
Kemper  ( KMPR )  Meets Q4 Earnings Estimates,20240201T222005,https://www.zacks.com/stock/news/2219837/kemper-kmpr-meets-q4-earnings-estimates,MBI,0.144708,Neutral,0.0
MBIA  ( NYSE:MBI )  Rating Increased to Sell at StockNews.com,20240113T065844,https://www.defenseworld.net/2024/01/13/mbia-nysembi-rating-increased-to-sell-at-stocknews-com.html,MBI,0.815863,Bullish,0.468255
Cano Health Announces Appointment of Two New Independent Directors,20231218T213000,https://www.prnewswire.com/news-releases/cano-health-announces-appointment-of-two-new-independent-directors-302018143.html,MBI,0.061003,Neutral,0.033
Looking At MBIA's Recent Unusual Options Activity - MBIA  ( NYSE:MBI ) ,20231212T181630,https://www.benzinga.com/markets/options/23/12/36203529/looking-at-mbias-recent-unusual-options-activity,MBI,0.694113,Bullish,0.483614
"MBIA  ( NYSE:MBI )  Upgraded to ""Sell"" at StockNews.com",20231210T020405,https://www.defenseworld.net/2023/12/09/mbia-nysembi-upgraded-to-sell-at-stocknews-com.html,MBI,0.841981,Bullish,0.466178
"Dow Jumps Over 100 Points; MBIA Shares Spike Higher - Torrid Holdings  ( NYSE:CURV ) , Comtech Telecom  ( NASDAQ:CMTL ) ",20231208T195907,https://www.benzinga.com/news/earnings/23/12/36159627/dow-jumps-over-100-points-mbia-shares-spike-higher,MBI,0.222838,Bullish,0.493517
"US Stocks Reacts To Upbeat Economic Data, Dollar Rebounds As Yields Surge: What's Driving Markets Friday? - Applied UV  ( NASDAQ:AUVI ) ",20231208T190149,https://www.benzinga.com/markets/equities/23/12/36158691/us-stocks-reacts-to-upbeat-economic-data-dollar-rebounds-as-yields-surge-whats-driving-markets-f,MBI,0.129866,Somewhat-Bullish,0.322872
"Crude Oil Surges Over 2%; Lululemon Posts Upbeat Earnings - Applied UV  ( NASDAQ:AUVI ) , Torrid Holdings  ( NYSE:CURV ) ",20231208T171158,https://www.benzinga.com/news/earnings/23/12/36156737/crude-oil-surges-over-2-lululemon-posts-upbeat-earnings,MBI,0.199584,Bullish,0.459914
Why MBIA Shares Are Up 65% - MBIA  ( NYSE:MBI ) ,20231208T155637,https://www.benzinga.com/news/23/12/36154510/why-mbia-shares-are-up-65,MBI,0.928139,Bullish,0.425638
"US Stocks Down; Nonfarm Payrolls Rise By 199,000 In November - Applied UV  ( NASDAQ:AUVI ) , Cyngn  ( NASDAQ:CYN ) ",20231208T144447,https://www.benzinga.com/news/earnings/23/12/36153916/us-stocks-down-nonfarm-payrolls-rise-by-199-000-in-november,MBI,0.232069,Bullish,0.506522
