title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Cintas Reports Upbeat Earnings, Joins PaySign, Noah Holdings And Other Big Stocks Moving Higher On Wednesday - Cintas  ( NASDAQ:CTAS ) , Noah Holdings  ( NYSE:NOAH ) , PaySign  ( NASDAQ:PAYS ) ",20240327T140327,https://www.benzinga.com/news/24/03/37959584/cintas-reports-upbeat-earnings-joins-paysign-noah-holdings-and-other-big-stocks-moving-higher-on-wed,NUVB,0.202366,Somewhat-Bullish,0.179271
"Pancreatic Endocrine Tumor Market is Expected to Expand at a Healthy Growth Rate by 2032, Assesses DelveInsight | Key Companies - Merck, Theradex, SynerGene, Mirati, Novartis, Syntrix Biosystems, Eli Lilly, Boehringer Ingelheim",20230803T210100,https://www.prnewswire.com/news-releases/pancreatic-endocrine-tumor-market-is-expected-to-expand-at-a-healthy-growth-rate-by-2032-assesses-delveinsight--key-companies---merck-theradex-synergene-mirati-novartis-syntrix-biosystems-eli-lilly-boehringer-ingelheim-301892397.html,NUVB,0.02074,Neutral,-0.020974
Black Diamond Therapeutics Announces Promotion of Melanie Morrison to Chief Development Officer - Black Diamond Therapeutic  ( NASDAQ:BDTX ) ,20230613T120000,https://www.benzinga.com/pressreleases/23/06/g32832558/black-diamond-therapeutics-announces-promotion-of-melanie-morrison-to-chief-development-officer,NUVB,0.058615,Neutral,0.021003
Black Diamond Therapeutics Reports Second Quarter 2022 Financial Results and Provides Corporate Update,20220809T120000,https://www.globenewswire.com/news-release/2022/08/09/2494791/0/en/Black-Diamond-Therapeutics-Reports-Second-Quarter-2022-Financial-Results-and-Provides-Corporate-Update.html,NUVB,0.030331,Neutral,0.003814
"Black Diamond Therapeutics Appoints Sergey Yurasov, M.D., Ph.D., as Chief Medical Officer",20220601T110000,https://www.globenewswire.com/news-release/2022/06/01/2454051/0/en/Black-Diamond-Therapeutics-Appoints-Sergey-Yurasov-M-D-Ph-D-as-Chief-Medical-Officer.html,NUVB,0.101353,Neutral,0.02085
Stocks That Hit 52-Week Lows On Friday,20220527T192849,https://www.benzinga.com/markets/options/22/05/27444271/52-weeks-high-and-low-article,NUVB,0.077144,Neutral,-0.011439
Stocks That Hit 52-Week Lows On Wednesday,20220525T161423,https://www.benzinga.com/markets/options/22/05/27398602/52-weeks-high-and-low-article,NUVB,0.023585,Neutral,-0.032059
"Stocks That Hit 52-Week Lows On Tuesday - SoundHound AI  ( NASDAQ:SOUN ) , Sonnet BioTherapeutics  ( NASDAQ:SONN ) ",20221122T154845,https://www.benzinga.com/news/22/11/29825126/stocks-that-hit-52-week-lows-on-tuesday,NUVB,0.028072,Neutral,-0.108546
77 Stocks Moving In Tuesday's Mid-Day Session,20220510T160029,https://www.benzinga.com/news/22/05/27114947/77-stocks-moving-in-tuesdays-mid-day-session,NUVB,0.059437,Somewhat-Bearish,-0.290345
Netflix To Rally Over 15%? Here Are 10 Top Analyst Forecasts For Wednesday - Netflix  ( NASDAQ:NFLX ) ,20240327T124010,https://www.benzinga.com/news/24/03/37956326/netflix-to-rally-over-15-here-are-10-top-analyst-forecasts-for-wednesday,NUVB,0.2306,Somewhat-Bullish,0.217021
"Fastenal Posts Upbeat Earnings, Joins Wells Fargo, JPMorgan And Other Big Stocks Moving Higher On Friday - Fastenal  ( NASDAQ:FAST ) ",20241011T142837,https://www.benzinga.com/news/24/10/41292429/fastenal-posts-upbeat-earnings-joins-wells-fargo-jpmorgan-and-other-big-stocks-moving-higher-on-frid,NUVB,0.19661,Bullish,0.502414
