title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"NIO, XPeng, MongoDB And Other Big Stocks Moving Higher On Friday - A-Mark Precious Metals  ( NASDAQ:AMRK ) , Butterfly Network  ( NYSE:BFLY ) ",20230901T144532,https://www.benzinga.com/news/23/09/34173725/nio-xpeng-mongodb-and-other-big-stocks-moving-higher-on-friday,OII,0.202366,Neutral,0.0
The Benchmark Company Announces Upcoming September Conference Schedule,20240822T151153,https://www.benzinga.com/pressreleases/24/08/g40510267/the-benchmark-company-announces-upcoming-september-conference-schedule,OII,0.050679,Neutral,0.0
Oceaneering International  ( OII )  Misses Q2 Earnings Estimates,20240724T221504,https://www.zacks.com/stock/news/2308398/oceaneering-international-oii-misses-q2-earnings-estimates,OII,0.392948,Somewhat-Bullish,0.210127
Oceaneering International  ( OII )  Lags Q1 Earnings and Revenue Estimates,20230426T225509,https://www.zacks.com/stock/news/2085529/oceaneering-international-oii-lags-q1-earnings-and-revenue-estimates,OII,0.395012,Somewhat-Bullish,0.172005
EGY Partners With Borr Drilling for 2025/2026 Offshore Campaign,20241230T185300,https://www.zacks.com/stock/news/2389651/egy-partners-with-borr-drilling-for-20252026-offshore-campaign,OII,0.284696,Bullish,0.541358
"Oceaneering Secures Multiple Contracts in the UK North Sea - VAALCO Energy  ( NYSE:EGY ) , TechnipFMC  ( NYSE:FTI ) ",20240830T190437,https://www.benzinga.com/news/mid-cap/24/08/40655717/oceaneering-secures-multiple-contracts-in-the-uk-north-sea,OII,0.406526,Somewhat-Bullish,0.247824
Oceaneering Secures Multiple Contracts in the UK North Sea,20240830T141500,https://www.zacks.com/stock/news/2329682/oceaneering-secures-multiple-contracts-in-the-uk-north-sea,OII,0.504646,Somewhat-Bullish,0.275598
Top 3 Energy Stocks That May Implode This Quarter - Nabors Industries  ( NYSE:NBR ) ,20240726T111535,https://www.benzinga.com/news/24/07/39980875/top-3-energy-stocks-that-may-implode-this-quarter,OII,0.411176,Bullish,0.543107
Suncor  ( SU )  Faces Penalty for Pollution Permit Violations,20240208T142700,https://www.zacks.com/stock/news/2223281/suncor-su-faces-penalty-for-pollution-permit-violations,OII,0.338582,Somewhat-Bullish,0.328679
"ExxonMobil  ( XOM )  Q4 Earnings Beat Estimates, Revenues Fall Y/Y",20240202T182300,https://www.zacks.com/stock/news/2220515/exxonmobil-xom-q4-earnings-beat-estimates-revenues-fall-yy,OII,0.126119,Somewhat-Bullish,0.191609
