title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Monday,20220613T161842,https://www.benzinga.com/markets/options/22/06/27677156/52-weeks-high-and-low-article,OPEN,0.005366,Neutral,0.005675
"Starbucks, Teleflex, Roku, Shopify And Other Big Stocks Moving Higher On Thursday - Arcellx  ( NASDAQ:ACLX ) , ADT  ( NYSE:ADT ) ",20231102T150148,https://www.benzinga.com/news/23/11/35566540/starbucks-teleflex-roku-shopify-and-other-big-stocks-moving-higher-on-thursday,OPEN,0.114409,Neutral,0.0
GGV Capital Announces 2023 SMBTech 50,20230424T120000,https://www.prnewswire.com/news-releases/ggv-capital-announces-2023-smbtech-50-301805254.html,OPEN,0.056143,Neutral,0.113981
GGV Capital Launches the Embedded Fintech 50,20230201T120000,https://www.benzinga.com/pressreleases/23/02/n30663258/ggv-capital-launches-the-embedded-fintech-50,OPEN,0.053153,Neutral,0.061883
"Why Coupa Software Shares Jumped Around 29%; Here Are 72 Biggest Movers From Wednesday - Autodesk  ( NASDAQ:ADSK ) , Aenza SAA  ( NYSE:AENZ ) ",20221125T095236,https://www.benzinga.com/news/22/11/29855752/why-coupa-software-shares-jumped-around-29-here-are-72-biggest-movers-from-wednesday,OPEN,0.054857,Somewhat-Bullish,0.270978
GGV Capital Launches the SMBTech 50,20220426T110000,https://www.prnewswire.com/news-releases/ggv-capital-launches-the-smbtech-50-301532632.html,OPEN,0.070105,Neutral,0.052391
Why Ascent Solar Technologies Shares Are Trading Lower By Around 50%? Here Are Other Stocks Moving In Wednesday's Mid-Day Session - Ascent Solar Technologies  ( NASDAQ:ASTI ) ,20240410T180705,https://www.benzinga.com/news/24/04/38189280/why-ascent-solar-technologies-shares-are-trading-lower-by-around-50-here-are-other-stocks-moving-in,OPEN,0.094576,Neutral,0.0
3 Stocks to Avoid This Week,20230925T120000,https://www.fool.com/investing/2023/09/25/3-stocks-to-avoid-this-week/,OPEN,0.164282,Neutral,-0.148175
3 Stocks to Avoid This Week,20230918T123000,https://www.fool.com/investing/2023/09/18/3-stocks-to-avoid-this-week/,OPEN,0.051774,Neutral,-0.13998
70 Biggest Movers From Friday,20220531T091540,https://www.benzinga.com/news/22/05/27467950/70-biggest-movers-from-friday,OPEN,0.056527,Neutral,0.004582
"Bragar Eagel & Squire is Investigating Certain Officers and Directors of FIGS, and Opendoor on Behalf of Long-Term Stockholders and Encourages Investors to Contact the Firm - FIGS  ( NYSE:FIGS ) , Opendoor Technologies  ( NASDAQ:OPEN ) ",20230424T010000,https://www.benzinga.com/pressreleases/23/04/g31950235/bragar-eagel-squire-is-investigating-certain-officers-and-directors-of-figs-and-opendoor-on-behalf,OPEN,0.145145,Neutral,0.055009
5 Top Tech Stocks Under $20 Per Share,20220721T090500,https://www.fool.com/investing/2022/07/21/top-tech-growth-stocks-under-20-per-share/,OPEN,0.101154,Somewhat-Bullish,0.174352
"Jabil Posts Upbeat Earnings, Joins Moderna, Rivian Automotive And Other Big Stocks Moving Higher On Thursday - Alcoa  ( NYSE:AA ) , Alector  ( NASDAQ:ALEC ) ",20231214T151520,https://www.benzinga.com/news/23/12/36239155/jabil-posts-upbeat-earnings-joins-moderna-rivian-automotive-and-other-big-stocks-moving-higher-on-th,OPEN,0.195814,Neutral,0.0
"Apple, Amazon, Microsoft, Meta Lead The Charge As Investors Bank On Tech Cheer For Rally's Reacceleration: Week Ahead In Earnings - SPDR S&P 500  ( ARCA:SPY ) ",20240729T102511,https://www.benzinga.com/analyst-ratings/analyst-color/24/07/40006542/apple-amazon-microsoft-meta-lead-the-charge-as-investors-bank-on-tech-cheer-for-ral,OPEN,0.070002,Neutral,0.0
"Will Earnings Cheer Continue To Buoy Markets? Apple, Amazon, Pfizer, Coinbase Lead Flurry Of Q1 Reports This Week - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",20240429T055121,https://www.benzinga.com/news/earnings/24/04/38481553/will-earnings-cheer-continue-to-buoy-markets-apple-amazon-pfizer-coinbase-lead-flurry-of-q1-reports,OPEN,0.069294,Neutral,0.0
Why Have SoFi and Opendoor Soared This Week?,20230615T200230,https://www.fool.com/investing/2023/06/15/why-have-sofi-and-opendoor-soared-this-week/,OPEN,0.165031,Neutral,0.015493
"Why American Public Education Shares Are Trading Lower By Around 49%? Here Are Other Stocks Moving In Wednesday's Mid-Day Session - Alcoa  ( NYSE:AA ) , Ambipar Emergency  ( AMEX:AMBI ) ",20230315T172047,https://www.benzinga.com/news/23/03/31366460/why-american-public-education-shares-are-trading-lower-by-around-49-here-are-other-stocks-moving-in,OPEN,0.092569,Neutral,0.0
Why Quoin Pharmaceuticals Plunged Over 62%; Here Are 120 Biggest Movers From Friday,20220808T070540,https://www.benzinga.com/news/22/08/28391297/why-quoin-pharmaceuticals-plunged-over-62-here-are-120-biggest-movers-from-friday,OPEN,0.033328,Neutral,0.0
"Earnings Scheduled For May 5, 2022",20220505T084322,https://www.benzinga.com/news/earnings/22/05/27012606/earnings-scheduled-for-may-5-2022,OPEN,0.009774,Neutral,-0.018242
"Opendoor Technologies Inc.  ( OPEN )  Reports Q4 Loss, Tops Revenue Estimates",20240215T225003,https://www.zacks.com/stock/news/2227196/opendoor-technologies-inc-open-reports-q4-loss-tops-revenue-estimates,OPEN,0.398148,Neutral,0.073398
