title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Monday,20220418T154044,https://www.benzinga.com/news/22/04/26669813/stocks-that-hit-52-week-lows-on-monday,RDFN,0.005428,Neutral,-0.031319
Stocks That Hit 52-Week Lows On Friday,20220408T163534,https://www.benzinga.com/news/22/04/26547302/stocks-that-hit-52-week-lows-on-friday,RDFN,0.011399,Neutral,0.000732
Stocks That Hit 52-Week Lows On Tuesday,20220315T163235,https://www.benzinga.com/news/22/03/26148458/stocks-that-hit-52-week-lows-on-tuesday,RDFN,0.00539,Neutral,-0.002726
Stocks That Hit 52-Week Lows On Monday,20220613T161842,https://www.benzinga.com/markets/options/22/06/27677156/52-weeks-high-and-low-article,RDFN,0.005366,Neutral,-0.002427
Stocks That Hit 52-Week Lows On Monday,20220425T160100,https://www.benzinga.com/markets/options/22/04/26791205/52-weeks-high-and-low-article,RDFN,0.008154,Neutral,0.002845
Stocks That Hit 52-Week Lows On Thursday,20220421T175401,https://www.benzinga.com/markets/options/22/04/26742233/52-weeks-high-and-low-article,RDFN,0.021637,Somewhat-Bearish,-0.305689
Stocks That Hit 52-Week Lows On Monday,20220314T161153,https://www.benzinga.com/news/22/03/26125409/stocks-that-hit-52-week-lows-on-monday,RDFN,0.003772,Neutral,-0.000912
"Why Tattooed Chef Shares Dipped Around 15%; Here Are 95 Biggest Movers From Friday - Alcoa  ( NYSE:AA ) , Aurora Cannabis  ( NASDAQ:ACB ) ",20221114T073517,https://www.benzinga.com/news/earnings/22/11/29694040/why-tattooed-chef-shares-dipped-around-15-here-are-95-biggest-movers-from-friday,RDFN,0.043698,Neutral,0.0
Iterable Unleashes Power of AWS through Strategic Partnership to Supercharge Customer Engagement,20241030T141100,https://www.benzinga.com/pressreleases/24/10/g41626260/iterable-unleashes-power-of-aws-through-strategic-partnership-to-supercharge-customer-engagement,RDFN,0.076236,Somewhat-Bullish,0.31626
Stocks That Hit 52-Week Lows On Friday,20220422T162629,https://www.benzinga.com/markets/options/22/04/26764450/52-weeks-high-and-low-article,RDFN,0.012589,Neutral,-0.004169
Housing market expert warns first-time homebuyers relying on 'the bank of mom and dad',20231018T100011,https://www.foxbusiness.com/real-estate/housing-market-expert-warns-first-time-homebuyers-relying-bank-mom-dad,RDFN,0.083833,Neutral,0.082849
