title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Why Alcon Shares Are Trading Higher By Over 10%; Here Are 20 Stocks Moving Premarket - Alcon  ( NYSE:ALC ) ,20240514T123032,https://www.benzinga.com/news/24/05/38814828/why-alcon-shares-are-trading-higher-by-over-10-here-are-20-stocks-moving-premarket,RENT,0.156461,Somewhat-Bullish,0.341657
Stocks That Hit 52-Week Lows On Monday,20220613T161842,https://www.benzinga.com/markets/options/22/06/27677156/52-weeks-high-and-low-article,RENT,0.005366,Neutral,0.032893
Stocks That Hit 52-Week Lows On Monday,20220613T161842,https://www.benzinga.com/markets/options/22/06/27677156/52-weeks-high-and-low-article,RENT,0.005366,Neutral,0.032893
66 Biggest Movers From Friday,20220523T075758,https://www.benzinga.com/news/22/05/27341379/66-biggest-movers-from-friday,RENT,0.054477,Neutral,0.00371
38 Stocks Moving In Friday's Mid-Day Session,20220520T160330,https://www.benzinga.com/news/22/05/27327237/38-stocks-moving-in-fridays-mid-day-session,RENT,0.098984,Neutral,0.000475
Stocks That Hit 52-Week Lows On Monday,20220516T175917,https://www.benzinga.com/markets/options/22/05/27226401/52-weeks-high-and-low-article,RENT,0.026147,Neutral,0.007955
Stocks That Hit 52-Week Lows On Monday,20220613T161842,https://www.benzinga.com/markets/options/22/06/27677156/52-weeks-high-and-low-article,RENT,0.005366,Neutral,0.032893
Stocks That Hit 52-Week Lows On Monday,20220516T175917,https://www.benzinga.com/markets/options/22/05/27226401/52-weeks-high-and-low-article,RENT,0.026147,Neutral,0.007955
"Why My Size Shares Are Trading Higher By Around 64%; Here Are 24 Stocks Moving Premarket - Ardmore Shipping  ( NYSE:ASC ) , Albertsons Companies  ( NYSE:ACI ) ",20221208T133650,https://www.benzinga.com/news/22/12/30006147/why-my-size-shares-are-trading-higher-by-around-64-here-are-24-stocks-moving-premarket,RENT,0.137278,Somewhat-Bullish,0.299098
"Earnings Scheduled For June 9, 2022",20220609T084930,https://www.benzinga.com/news/earnings/22/06/27622227/earnings-scheduled-for-june-9-2022,RENT,0.213988,Neutral,-0.066207
"Lamb Weston Reports Weak Earnings, Joins Paragon 28, Resources Connection And Other Big Stocks Moving Lower On Thursday",20240404T151717,https://markets.businessinsider.com/news/stocks/lamb-weston-reports-weak-earnings-joins-paragon-28-resources-connection-and-other-big-stocks-moving-lower-on-thursday-1033223124,RENT,0.166169,Somewhat-Bearish,-0.228917
"Lamb Weston Reports Weak Earnings, Joins Paragon 28, Resources Connection And Other Big Stocks Moving Lower On Thursday - Resources Connection  ( NASDAQ:RGP ) , Lamb Weston Hldgs  ( NYSE:LW ) ",20240404T144423,https://www.benzinga.com/news/24/04/38093369/lamb-weston-reports-weak-earnings-joins-paragon-28-resources-connection-and-other-big-stocks-moving,RENT,0.256989,Bearish,-0.634467
Stocks That Hit 52-Week Lows On Monday,20220613T161842,https://www.benzinga.com/markets/options/22/06/27677156/52-weeks-high-and-low-article,RENT,0.005366,Neutral,0.032893
