title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Wednesday,20220511T162815,https://www.benzinga.com/markets/options/22/05/27141482/52-weeks-high-and-low-article,RIVN,0.006905,Neutral,-0.001123
Stocks That Hit 52-Week Lows On Friday,20220506T160650,https://www.benzinga.com/markets/options/22/05/27050916/52-weeks-high-and-low-article,RIVN,0.005467,Neutral,-0.020156
Stocks That Hit 52-Week Lows On Thursday,20220428T193101,https://www.benzinga.com/markets/options/22/04/26872967/52-weeks-high-and-low-article,RIVN,0.00644,Neutral,-0.011385
"Bank of New York Mellon Posts Upbeat Earnings, Joins Archer Aviation, Rivian Automotive And Other Big Stocks Moving Higher On Friday - Bank of New York Mellon  ( NYSE:BK ) ",20240712T142717,https://www.benzinga.com/news/24/07/39750475/bank-of-new-york-mellon-posts-upbeat-earnings-joins-archer-aviation-rivian-automotive-and-other-big,RIVN,0.260189,Somewhat-Bullish,0.193746
"Why Laser Photonics Shares Surged By Around 19%; Here Are 70 Biggest Movers From Friday - Abeona Therapeutics  ( NASDAQ:ABEO ) , ACM Research  ( NASDAQ:ACMR ) ",20221017T092117,https://www.benzinga.com/news/22/10/29282399/why-laser-photonics-shares-surged-by-around-19-here-are-70-biggest-movers-from-friday,RIVN,0.063091,Neutral,0.0
Stocks That Hit 52-Week Lows On Tuesday,20220426T174457,https://www.benzinga.com/markets/options/22/04/26818122/52-weeks-high-and-low-article,RIVN,0.00928,Neutral,-0.010079
Stocks That Hit 52-Week Lows On Monday,20220314T161153,https://www.benzinga.com/news/22/03/26125409/stocks-that-hit-52-week-lows-on-monday,RIVN,0.003772,Neutral,-0.001117
Stocks That Hit 52-Week Lows On Friday,20220311T173551,https://www.benzinga.com/news/22/03/26102456/stocks-that-hit-52-week-lows-on-friday,RIVN,0.011663,Neutral,-0.001352
50 Stocks Moving In Friday's Mid-Day Session,20220311T170525,https://www.benzinga.com/news/22/03/26104400/50-stocks-moving-in-fridays-mid-day-session,RIVN,0.078508,Neutral,-0.052898
90 Biggest Movers From Yesterday,20220510T091132,https://www.benzinga.com/news/22/05/27100105/90-biggest-movers-from-yesterday,RIVN,0.050306,Neutral,0.000296
90 Biggest Movers From Yesterday,20220510T091132,https://markets.businessinsider.com/news/stocks/90-biggest-movers-from-yesterday-1031440764,RIVN,0.023017,Neutral,0.000624
"Airbnb Reports Weak Earnings, Joins Cryoport, Tripadvisor, Lyft And Other Big Stocks Moving Lower In Wednesday's Pre-Market Session - Airbnb  ( NASDAQ:ABNB ) ",20240807T125652,https://www.benzinga.com/news/24/08/40219934/airbnb-reports-weak-earnings-joins-cryoport-tripadvisor-lyft-and-other-big-stocks-moving-lower-in-we,RIVN,0.204072,Neutral,0.0
"TikTok ban, Supreme Court student loan hearing and Tesla Investor Day top week ahead",20230227T050559,https://www.foxbusiness.com/markets/tiktok-ban-supreme-court-student-loan-hearing-tesla-investor-day-top-week-ahead,RIVN,0.034332,Neutral,0.0
"Stock Market Today: Dow Jones, S&P 500 Opened Higher; Coinbase Stock Slides After Earnings Report",20220511T141515,https://stockmarket.com/featured/stock-market-today-dow-jones-s-coinbase-stock-slides-after-earnings-report-2022-05-11,RIVN,0.080688,Neutral,0.008353
Pure Storage Recognizes Customers Driving Business Impact in Fourth Annual Breakthrough Awards Program,20240621T130000,https://www.prnewswire.com/news-releases/pure-storage-recognizes-customers-driving-business-impact-in-fourth-annual-breakthrough-awards-program-302178816.html,RIVN,0.093836,Somewhat-Bullish,0.305283
Stocks That Hit 52-Week Lows On Friday,20220422T162629,https://www.benzinga.com/markets/options/22/04/26764450/52-weeks-high-and-low-article,RIVN,0.012589,Neutral,0.003093
2023 layoff tracker: The latest on which companies have announced job cuts | Business,20230425T190700,https://www.cnn.com/2023/04/25/business/layoffs-2023/index.html,RIVN,0.013123,Somewhat-Bearish,-0.303117
"Russia's Ukraine conflict, big inflation report will keep the stock market volatile in coming week",20220305T011854,https://www.cnbc.com/2022/03/04/russias-ukraine-conflict-big-inflation-report-will-keep-the-stock-market-volatile-in-coming-week-.html,RIVN,0.097102,Neutral,0.000847
