title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Wednesday,20220511T162815,https://www.benzinga.com/markets/options/22/05/27141482/52-weeks-high-and-low-article,RVSN,0.006905,Bearish,-0.46795
Stocks That Hit 52-Week Lows On Monday,20220418T154044,https://www.benzinga.com/news/22/04/26669813/stocks-that-hit-52-week-lows-on-monday,RVSN,0.005428,Neutral,0.002467
Stocks That Hit 52-Week Lows On Friday,20220408T163534,https://www.benzinga.com/news/22/04/26547302/stocks-that-hit-52-week-lows-on-friday,RVSN,0.011399,Neutral,-0.019002
Stocks That Hit 52-Week Lows On Thursday,20220421T175401,https://www.benzinga.com/markets/options/22/04/26742233/52-weeks-high-and-low-article,RVSN,0.021637,Neutral,-0.00075
51 Biggest Movers From Thursday,20220418T092156,https://www.benzinga.com/news/22/04/26660206/51-biggest-movers-from-thursday,RVSN,0.069495,Neutral,0.0022
68 Biggest Movers From Yesterday,20220405T103716,https://www.benzinga.com/news/22/04/26468849/68-biggest-movers-from-yesterday,RVSN,0.057628,Neutral,-0.022055
35 Stocks Moving In Monday's Mid-Day Session,20220404T161222,https://www.benzinga.com/news/22/04/26455173/35-stocks-moving-in-mondays-mid-day-session,RVSN,0.090594,Neutral,-0.026154
"US Stocks Higher; Nasdaq Jumps 100 Points - Nuvve Holding  ( NASDAQ:NVVE ) , Fisker  ( NYSE:FSR ) ",20240122T151514,https://www.benzinga.com/news/earnings/24/01/36717533/us-stocks-higher-nasdaq-jumps-100-points,RVSN,0.261117,Somewhat-Bullish,0.329066
Stocks That Hit 52-Week Lows On Friday,20220610T154524,https://www.benzinga.com/markets/options/22/06/27650434/52-weeks-high-and-low-article,RVSN,0.013393,Neutral,-0.012603
"Why Huntington Bancshares Shares Surged Around 10%; Here Are 72 Biggest Movers From Friday - Amprius Technologies  ( NYSE:AMPX ) , ALFI  ( NASDAQ:ALF ) ",20221024T093702,https://www.benzinga.com/news/22/10/29374553/why-huntington-bancshares-shares-surged-around-10-here-are-72-biggest-movers-from-friday,RVSN,0.062761,Somewhat-Bullish,0.271494
81 Biggest Movers From Yesterday,20220505T083133,https://www.benzinga.com/news/22/05/27012598/81-biggest-movers-from-yesterday,RVSN,0.045786,Neutral,0.027619
50 Stocks Moving In Wednesday's Mid-Day Session,20220504T174548,https://www.benzinga.com/news/22/05/26999516/50-stocks-moving-in-wednesdays-mid-day-session,RVSN,0.063375,Neutral,0.001547
Stocks That Hit 52-Week Lows On Friday,20220422T162629,https://www.benzinga.com/markets/options/22/04/26764450/52-weeks-high-and-low-article,RVSN,0.012589,Neutral,-0.008417
83 Biggest Movers From Yesterday,20220506T092209,https://www.benzinga.com/news/22/05/27042256/83-biggest-movers-from-yesterday,RVSN,0.049691,Neutral,-0.000646
90 Biggest Movers From Yesterday,20220513T094449,https://www.benzinga.com/news/22/05/27184008/90-biggest-movers-from-yesterday,RVSN,0.06528,Neutral,0.001593
"Why Pinterest Shares Jumped Around 14%; Here Are 69 Biggest Movers From Friday - Aeglea BioTherapeutics  ( NASDAQ:AGLE ) , Avista Public Acquisition  ( NASDAQ:AHPA ) ",20221031T081300,https://www.benzinga.com/news/22/10/29474596/why-pinterest-shares-jumped-around-14-here-are-69-biggest-movers-from-friday,RVSN,0.056674,Somewhat-Bullish,0.271004
Watching Biotech & Life Science Stocks:  ( Nasdaq: IXHL )   ( Nasdaq: ATRA )   ( ASX: CHM )   ( Nasdaq: IMRX ) ,20240311T132714,https://www.investorideas.com/news/2024/main/03111Stocks.asp,RVSN,0.109455,Somewhat-Bullish,0.272792
"Why Gorilla Technology Group Are Trading Higher By 52%; Here Are 20 Stocks Moving Premarket - Aeglea BioTherapeutics  ( NASDAQ:AGLE ) , Akumin  ( NASDAQ:AKU ) ",20230707T121234,https://www.benzinga.com/news/23/07/33146206/why-gorilla-technology-group-are-trading-higher-by-52-here-are-20-stocks-moving-premarket,RVSN,0.156461,Somewhat-Bullish,0.177314
Stocks That Hit 52-Week Lows On Wednesday,20220420T161438,https://www.benzinga.com/news/22/04/26717868/stocks-that-hit-52-week-lows-on-wednesday,RVSN,0.015214,Neutral,-0.002303
