title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Wednesday,20220511T162815,https://www.benzinga.com/markets/options/22/05/27141482/52-weeks-high-and-low-article,RYLPF,0.003453,Somewhat-Bearish,-0.303151
Stocks That Hit 52-Week Lows On Thursday,20220428T193101,https://www.benzinga.com/markets/options/22/04/26872967/52-weeks-high-and-low-article,RYLPF,0.00322,Neutral,0.01077
Stocks That Hit 52-Week Lows On Wednesday,20220511T162815,https://www.benzinga.com/markets/options/22/05/27141482/52-weeks-high-and-low-article,RYLPF,0.003453,Somewhat-Bearish,-0.303151
Stocks That Hit 52-Week Lows On Thursday,20220428T193101,https://www.benzinga.com/markets/options/22/04/26872967/52-weeks-high-and-low-article,RYLPF,0.00322,Neutral,0.01077
Stocks That Hit 52-Week Lows On Tuesday,20220426T174457,https://www.benzinga.com/markets/options/22/04/26818122/52-weeks-high-and-low-article,RYLPF,0.00464,Neutral,-0.010414
Stocks That Hit 52-Week Lows On Monday,20220425T160100,https://www.benzinga.com/markets/options/22/04/26791205/52-weeks-high-and-low-article,RYLPF,0.004077,Neutral,-0.007691
Why Revelation Biosciences is Trading Higher By 115%: Here's 22 Stocks Moving Premarket,20220725T112659,https://www.benzinga.com/news/22/07/28184385/why-revelation-biosciences-is-trading-higher-by-115-heres-22-stocks-moving-premarket,RYLPF,0.085324,Somewhat-Bearish,-0.252801
Stocks That Hit 52-Week Lows On Wednesday,20220427T184104,https://www.benzinga.com/markets/options/22/04/26844275/52-weeks-high-and-low-article,RYLPF,0.003478,Neutral,-0.001566
Stocks That Hit 52-Week Lows On Wednesday,20220511T162815,https://www.benzinga.com/markets/options/22/05/27141482/52-weeks-high-and-low-article,RYLPF,0.003453,Somewhat-Bearish,-0.303151
"Why AirSculpt Technologies Shares Are Trading Lower By 20%; Here Are 31 Stocks Moving Premarket - Blue Apron Hldgs  ( NYSE:APRN ) , AirSculpt Technologies  ( NASDAQ:AIRS ) ",20221111T125322,https://www.benzinga.com/news/22/11/29679316/why-airsculpt-technologies-shares-are-trading-lower-by-20-here-are-31-stocks-moving-premarket,RYLPF,0.055109,Neutral,0.0
