title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Why NanoVibronix Shares Surged Over 25%; Here Are 82 Biggest Movers From Friday - ABVC BioPharma  ( NASDAQ:ABVC ) , Altimmune  ( NASDAQ:ALT ) ",20220926T074323,https://www.benzinga.com/news/22/09/29002223/why-nanovibronix-shares-surged-over-25-here-are-82-biggest-movers-from-friday,SCS,0.066784,Somewhat-Bearish,-0.176553
3 Stocks to Avoid This Week,20230925T120000,https://www.fool.com/investing/2023/09/25/3-stocks-to-avoid-this-week/,SCS,0.055109,Neutral,-0.149452
"AutoZone, United States Steel And 3 Stocks To Watch Heading Into Tuesday - AutoZone  ( NYSE:AZO ) , Apogee Enterprises  ( NASDAQ:APOG ) ",20230919T081756,https://www.benzinga.com/news/earnings/23/09/34717087/autozone-united-states-steel-and-3-stocks-to-watch-heading-into-tuesday,SCS,0.416844,Bullish,0.507947
3 Stocks to Avoid This Week,20230918T123000,https://www.fool.com/investing/2023/09/18/3-stocks-to-avoid-this-week/,SCS,0.350564,Somewhat-Bullish,0.181871
"Stocks making the biggest moves midday: Gilead Sciences, Moderna, Tesla and more",20221220T173631,https://www.cnbc.com/2022/12/20/stocks-making-the-biggest-moves-midday-gilead-sciences-moderna-tesla-and-more.html,SCS,0.146025,Somewhat-Bullish,0.187595
"Stocks making the biggest moves in the premarket: General Mills, Steelcase, Lucid and more",20221220T123912,https://www.cnbc.com/2022/12/20/stocks-making-the-biggest-moves-in-the-premarket-general-mills-steelcase-lucid-and-more.html,SCS,0.304428,Bullish,0.364645
"Costco, FedEx earnings, Fed decision, existing home sales top week ahead",20220918T120400,https://www.foxbusiness.com/markets/costco-fedex-earnings-fed-decision-existing-home-sales-top-week-ahead,SCS,0.059194,Neutral,0.0
"Powell testimony, home sales, FedEx earnings top week ahead",20220620T060736,https://www.foxbusiness.com/markets/powell-testimony-existing-home-sales-fedex-earnings-week-ahead,SCS,0.069174,Neutral,0.006402
12 Industrials Stocks Moving In Thursday's Intraday Session,20220324T181909,https://www.benzinga.com/intraday-update/22/03/26284623/12-industrials-stocks-moving-in-thursdays-intraday-session,SCS,0.065848,Neutral,-0.008107
"Top 4 Industrials Stocks That May Implode In September - Steelcase  ( NYSE:SCS ) , Lichen China  ( NASDAQ:LICN ) ",20230922T112856,https://www.benzinga.com/news/23/09/34820314/top-4-industrials-stocks-that-may-implode-in-september,SCS,0.504646,Bullish,0.508353
