title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Why Laser Photonics Shares Surged By Around 19%; Here Are 70 Biggest Movers From Friday - Abeona Therapeutics  ( NASDAQ:ABEO ) , ACM Research  ( NASDAQ:ACMR ) ",20221017T092117,https://www.benzinga.com/news/22/10/29282399/why-laser-photonics-shares-surged-by-around-19-here-are-70-biggest-movers-from-friday,SHPH,0.063091,Neutral,0.0
"Advanced Human Imaging  ( NASDAQ:AHI ) , Aditxt  ( NASDAQ:ADTX )  - Why Immunocore Shares Dipped 22%; Here Are 73 Biggest Movers From Friday",20220912T072340,https://www.benzinga.com/news/22/09/28823434/why-immunocore-shares-dipped-22-here-are-73-biggest-movers-from-friday,SHPH,0.062597,Somewhat-Bullish,0.27147
Presenting on the Emerging Growth Conference 68 Day 2 on March 7 Register Now,20240306T122137,https://investingnews.com/presenting-on-the-emerging-growth-conference-68-day-2-on-march-7-register-now/,SHPH,0.077094,Neutral,0.0
"Presenting on the Emerging Growth Conference 68 Day 2 on March 7 Register Now - Altima Resources  ( OTC:ARSLF ) , AGBA Group Holding  ( NASDAQ:AGBA ) ",20240306T120000,https://www.benzinga.com/pressreleases/24/03/g37505450/presenting-on-the-emerging-growth-conference-68-day-2-on-march-7-register-now,SHPH,0.080865,Neutral,0.0
" ( ALNA ) , Apexigen, Inc. - Common Stock  ( APGN )  - Why Coupa Software Is Trading Higher By Over 12%; Here Are 24 Stocks Moving Premarket",20220907T104838,https://www.benzinga.com/news/22/09/28772394/why-coupa-software-is-trading-higher-by-over-12-here-are-24-stocks-moving-premarket,SHPH,0.116348,Somewhat-Bearish,-0.211126
"Why Rocket Lab Shares Are Trading Higher By 15%; Here Are 20 Stocks Moving Premarket - Advent Technologies Hldgs  ( NASDAQ:ADN ) , Asset Entities  ( NASDAQ:ASST ) ",20231222T125831,https://www.benzinga.com/news/23/12/36360331/why-rocket-lab-shares-are-trading-higher-by-15-here-are-20-stocks-moving-premarket,SHPH,0.127795,Somewhat-Bullish,0.195134
"Why IMARA Shares Are Trading Higher By Over 13%; Here Are 22 Stocks Moving Premarket - Black Diamond Therapeutic  ( NASDAQ:BDTX ) , Avenue Therapeutics  ( NASDAQ:ATXI ) ",20221014T113437,https://www.benzinga.com/news/22/10/29266749/why-imara-shares-are-trading-higher-by-over-13-here-are-22-stocks-moving-premarket,SHPH,0.143843,Neutral,0.0
"Stocks That Hit 52-Week Lows On Monday - Tesla  ( NASDAQ:TSLA ) , ALFI  ( NASDAQ:ALF ) ",20221024T154117,https://www.benzinga.com/news/22/10/29381725/stocks-that-hit-52-week-lows-on-monday,SHPH,0.011989,Neutral,0.004356
US Stocks Mixed; Trade Gap Widens In July - Faraday Future  ( NASDAQ:FFIE ) ,20240904T140606,https://www.benzinga.com/markets/equities/24/09/40709553/us-stocks-mixed-trade-gap-widens-in-july,SHPH,0.185306,Somewhat-Bearish,-0.27087
"Why Aditxt Shares Dipped Over 58%; Here Are 82 Biggest Movers From Friday - Applied Optoelectronics  ( NASDAQ:AAOI ) , Adicet Bio  ( NASDAQ:ACET ) ",20220919T055309,https://www.benzinga.com/news/22/09/28909319/why-aditxt-shares-dipped-over-58-here-are-82-biggest-movers-from-friday,SHPH,0.056143,Somewhat-Bearish,-0.300006
