title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Tesla, Twitter And 76 Biggest Movers From Friday",20220711T113029,https://www.benzinga.com/news/22/07/28014980/tesla-twitter-and-76-biggest-movers-from-friday,SIGA,0.056741,Somewhat-Bullish,0.182235
"Rapid Advancements of Innovative Antiviral - COVID-19 Drugs Generating Major Growth in Global Antiviral Drugs Market - Nanoviricides  ( AMEX:NNVC ) , Chimerix  ( NASDAQ:CMRX ) ",20240806T124500,https://www.benzinga.com/pressreleases/24/08/g40188357/rapid-advancements-of-innovative-antiviral-covid-19-drugs-generating-major-growth-in-global-antivi,SIGA,0.079195,Neutral,0.129236
10 Top Monkeypox Stocks To Watch Right Now,20220804T182757,https://pennystocks.com/featured/2022/08/04/10-top-monkeypox-stocks-to-watch-right-now/,SIGA,0.094482,Neutral,0.07651
MonkeyPox Stocks To Buy Right Now? 3 To Know,20220802T135040,https://stockmarket.com/featured/monkeypox-stocks-to-buy-right-now-3-to-know-2022-08-02,SIGA,0.369076,Somewhat-Bullish,0.160912
Why Emergent BioSolutions Stock Is Jumping This Week,20220728T204600,https://www.fool.com/investing/2022/07/28/why-emergent-biosolutions-stock-is-jumping-this-we/,SIGA,0.146916,Neutral,0.005107
Hot Penny Stocks To Watch As Monkeypox Gets WHO GHE Designation,20220725T150844,https://pennystocks.com/featured/2022/07/25/hot-penny-stocks-to-watch-as-monkeypox-gets-who-ghe-designation/,SIGA,0.142355,Neutral,0.050767
Why Revelation Biosciences is Trading Higher By 115%: Here's 22 Stocks Moving Premarket,20220725T112659,https://www.benzinga.com/news/22/07/28184385/why-revelation-biosciences-is-trading-higher-by-115-heres-22-stocks-moving-premarket,SIGA,0.169676,Somewhat-Bearish,-0.221124
This Technology Stock Surged 235%; Here Are 77 Biggest Movers From Friday,20220725T083855,https://www.benzinga.com/news/22/07/28182325/this-technology-stock-surged-235-here-are-77-biggest-movers-from-friday,SIGA,0.057559,Somewhat-Bearish,-0.300055
"21 Americans Infected With Monkeypox, C.D.C. Reports",20220603T180204,https://www.nytimes.com/2022/06/03/health/monkeypox-vaccine-treatments.html,SIGA,0.021145,Neutral,0.117209
Top Penny Stocks To Watch As Monkeypox Cases Rise,20220602T000901,https://pennystocks.com/featured/2022/06/01/top-penny-stocks-to-watch-as-monkeypox-cases-rise/,SIGA,0.101869,Neutral,-0.027116
Here Are The Companies That Could Profit As Governments Scramble To Secure Monkeypox Treatments And Vaccines,20220528T110000,https://www.forbes.com/sites/roberthart/2022/05/28/here-are-the-companies-that-could-profit-as-governments-scramble-to-secure-monkeypox-treatments-and-vaccines/,SIGA,0.036767,Neutral,0.06245
"Explainer: What vaccines, treatments do we have to combat monkeypox?",20220525T110000,https://www.reuters.com/business/healthcare-pharmaceuticals/what-vaccines-treatments-do-we-have-combat-monkeypox-2022-05-25/,SIGA,0.04877,Neutral,0.046702
Are These 4 Stocks Smart Buys With the Monkeypox Outbreak?,20220524T095500,https://www.fool.com/investing/2022/05/24/are-these-4-stocks-smart-buys-with-the-monkeypox-o/,SIGA,0.260768,Neutral,-0.090019
Clusters of monkeypox cases are driving up stock prices for some companies,20220523T195300,https://www.marketwatch.com/story/clusters-of-monkeypox-cases-are-driving-up-stock-prices-for-some-companies-11653335587,SIGA,0.092337,Somewhat-Bearish,-0.220696
"The Zacks Analyst Blog Highlights Emergent BioSolutions, Chimerix and SIGA Technologies",20220523T101400,https://www.zacks.com/stock/news/1927663/the-zacks-analyst-blog-highlights-emergent-biosolutions-chimerix-and-siga-technologies,SIGA,0.340387,Neutral,-0.058048
24 Stocks Moving in Monday's Pre-Market Session,20220523T101343,https://www.benzinga.com/news/22/05/27342423/24-stocks-moving-in-mondays-pre-market-session,SIGA,0.152741,Neutral,0.010638
3 Monkeypox Stocks That Soared Last Week,20220523T091300,https://www.fool.com/investing/2022/05/23/3-monkeypox-stocks-that-soared-last-week/,SIGA,0.261959,Neutral,-0.101121
66 Biggest Movers From Friday,20220523T075758,https://www.benzinga.com/news/22/05/27341379/66-biggest-movers-from-friday,SIGA,0.081635,Neutral,0.072853
6 Stocks To Watch Amid Monkeypox Outbreak,20220520T210817,https://www.benzinga.com/news/22/05/27334070/6-stocks-to-watch-amid-monkeypox-outbreak,SIGA,0.142904,Neutral,0.001162
38 Stocks Moving In Friday's Mid-Day Session,20220520T160330,https://www.benzinga.com/news/22/05/27327237/38-stocks-moving-in-fridays-mid-day-session,SIGA,0.148,Neutral,0.029956
Monkeypox Fears Drive Smallpox Antiviral Makers Higher,20220520T123800,https://www.zacks.com/stock/news/1927070/monkeypox-fears-drive-smallpox-antiviral-makers-higher,SIGA,0.607476,Neutral,-0.060815
71 Biggest Movers From Yesterday,20220520T082731,https://www.benzinga.com/news/22/05/27318002/71-biggest-movers-from-yesterday,SIGA,0.055946,Neutral,0.010507
"Beauty Health Posts Upbeat Sales, Joins SIGA Technologies, MaxCyte And Other Big Stocks Moving Higher In Wednesday's Pre-Market Session - Beauty Health  ( NASDAQ:SKIN ) ",20240313T101613,https://www.benzinga.com/news/24/03/37649482/beauty-health-posts-upbeat-sales-joins-siga-technologies-maxcyte-and-other-big-stocks-moving-higher,SIGA,0.24289,Bullish,0.376657
77 Biggest Movers From Yesterday,20220601T090222,https://www.benzinga.com/news/22/06/27492435/77-biggest-movers-from-yesterday,SIGA,0.057208,Neutral,0.01592
New Strong Buy Stocks for May 8th,20240508T103800,https://www.zacks.com/commentary/2268538/new-strong-buy-stocks-for-may-8th,SIGA,0.407844,Neutral,0.14657
