title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Friday,20220506T160650,https://www.benzinga.com/markets/options/22/05/27050916/52-weeks-high-and-low-article,SSTK,0.005467,Neutral,-0.034103
Stocks That Hit 52-Week Lows On Monday,20220613T161842,https://www.benzinga.com/markets/options/22/06/27677156/52-weeks-high-and-low-article,SSTK,0.005366,Neutral,0.013694
Stocks That Hit 52-Week Lows On Tuesday,20220503T162024,https://www.benzinga.com/markets/options/22/05/26967499/52-weeks-high-and-low-article,SSTK,0.025785,Neutral,-0.02231
Stocks That Hit 52-Week Lows On Tuesday,20220426T174457,https://www.benzinga.com/markets/options/22/04/26818122/52-weeks-high-and-low-article,SSTK,0.00928,Neutral,-0.017024
Stocks That Hit 52-Week Lows On Monday,20220425T160100,https://www.benzinga.com/markets/options/22/04/26791205/52-weeks-high-and-low-article,SSTK,0.008154,Neutral,0.000553
Stocks That Hit 52-Week Lows On Tuesday,20220524T161351,https://www.benzinga.com/markets/options/22/05/27375519/52-weeks-high-and-low-article,SSTK,0.010175,Neutral,-0.013395
"Pinduoduo And Other US Listed Chinese Tech Companies Abort Dual Listing Options - Alibaba Group Holding  ( NYSE:BABA ) , Pinduoduo  ( NASDAQ:PDD ) , Full Truck Alliance Co  ( NYSE:YMM ) , JD.com  ( NASDAQ:JD ) ",20221229T120045,https://www.benzinga.com/government/22/12/30223713/pinduoduo-and-other-us-listed-chinese-tech-companies-abort-dual-listing-options,SSTK,0.140076,Neutral,0.0
"CBD-Based Drug Reduces Pericarditis Pain And Inflammation, Shows New Clinical Study - Cardiol Therapeutics  ( NASDAQ:CRDL ) ",20241119T192447,https://www.benzinga.com/markets/cannabis/24/11/42072269/cbd-based-drug-reduces-pericarditis-pain-and-inflammation-shows-new-clinical-study,SSTK,0.062761,Somewhat-Bullish,0.29461
5 Easy Ways To Make Money From Your Phone,20240302T170000,https://www.forbes.com/sites/goldiechan/2024/03/02/how-to-make-money-from-your-phone/,SSTK,0.052226,Somewhat-Bullish,0.197859
"Arista Networks, JinkoSolar, Repligen, Shutterstock And Other Big Stocks Moving Higher On Tuesday - Arista Networks  ( NYSE:ANET ) , Ardelyx  ( NASDAQ:ARDX ) ",20231031T160410,https://www.benzinga.com/news/23/10/35515963/arista-networks-jinkosolar-repligen-shutterstock-and-other-big-stocks-moving-higher-on-tuesday,SSTK,0.152983,Somewhat-Bullish,0.203254
Beryl 'extremely dangerous' as it gains strength in Caribbean region,20240701T182722,https://www.business-standard.com/world-news/beryl-extremely-dangerous-as-it-gains-strength-in-caribbean-region-124070101348_1.html,SSTK,0.058188,Somewhat-Bearish,-0.205004
Will Kevin McCarthy Return To Speakership Amid Israel Crisis?,20231010T002617,https://www.benzinga.com/news/23/10/35153227/will-kevin-mccarthy-return-to-speakership-amid-israel-crisis,SSTK,0.104228,Neutral,0.0
Stocks That Hit 52-Week Lows On Wednesday,20220518T160908,https://www.benzinga.com/markets/options/22/05/27281415/52-weeks-high-and-low-article,SSTK,0.023291,Neutral,0.001097
UPWK: 3 Internet Stocks Outperforming Shopify  ( SHOP ) ,20230922T181139,https://stocknews.com/news/upwk-sstk-sfix-shop-3-internet-stocks-outperforming-shopify-shop/,SSTK,0.221543,Somewhat-Bullish,0.213156
"Stocks That Hit 52-Week Lows On Monday - Tesla  ( NASDAQ:TSLA ) , ALFI  ( NASDAQ:ALF ) ",20221024T154117,https://www.benzinga.com/news/22/10/29381725/stocks-that-hit-52-week-lows-on-monday,SSTK,0.011989,Neutral,0.004356
Genius Sports Limited  ( GENI )  Surges 5.8%: Is This an Indication of Further Gains?,20240712T143600,https://www.zacks.com/stock/news/2300897/genius-sports-limited-geni-surges-58-is-this-an-indication-of-further-gains,SSTK,0.565345,Neutral,-0.073455
Shutterstock  ( SSTK )  Q1 Earnings and Revenues Beat Estimates,20240502T111503,https://www.zacks.com/stock/news/2266646/shutterstock-sstk-q1-earnings-and-revenues-beat-estimates,SSTK,0.398148,Neutral,0.145053
Genius Sports  ( GENI )  Up 25.7% on NFL Deal: Should You Hold?,20230707T095000,https://www.zacks.com/stock/news/2117900/genius-sports-geni-up-257-on-nfl-deal-should-you-hold,SSTK,0.340915,Somewhat-Bullish,0.336839
Shutterstock  ( SSTK )  Beats Q3 Earnings Estimates,20221025T123507,https://www.zacks.com/stock/news/1996578/shutterstock-sstk-beats-q3-earnings-estimates,SSTK,0.398148,Neutral,0.081753
This Week in Tech News: 12 Stories You Need to See,20230526T103200,https://www.prnewswire.com/news-releases/this-week-in-tech-news-12-stories-you-need-to-see-301835221.html,SSTK,0.098524,Neutral,0.095223
