title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
53 Biggest Movers From Yesterday,20220421T085205,https://www.benzinga.com/news/22/04/26731039/53-biggest-movers-from-yesterday,STSS,0.103094,Neutral,0.008042
54 Biggest Movers From Yesterday,20220420T094334,https://www.benzinga.com/news/22/04/26706319/54-biggest-movers-from-yesterday,STSS,0.069124,Neutral,0.005871
38 Stocks Moving In Tuesday's Mid-Day Session,20220419T161631,https://www.benzinga.com/news/22/04/26694580/38-stocks-moving-in-tuesdays-mid-day-session,STSS,0.101132,Neutral,0.000894
23 Stocks Moving in Tuesday's Pre-Market Session,20220419T103745,https://www.benzinga.com/news/22/04/26682742/23-stocks-moving-in-tuesdays-pre-market-session,STSS,0.127422,Neutral,0.001666
Stocks That Hit 52-Week Lows On Monday,20220418T154044,https://www.benzinga.com/news/22/04/26669813/stocks-that-hit-52-week-lows-on-monday,STSS,0.005428,Neutral,-0.009318
US Stocks Mixed; Home Prices Increase In March - Applied DNA Sciences  ( NASDAQ:APDN ) ,20240528T140517,https://www.benzinga.com/news/earnings/24/05/39039862/us-stocks-mixed-home-prices-increase-in-march,STSS,0.219809,Bullish,0.38903
Stocks That Hit 52-Week Lows On Tuesday,20220426T174457,https://www.benzinga.com/markets/options/22/04/26818122/52-weeks-high-and-low-article,STSS,0.00928,Neutral,-0.003844
Stocks That Hit 52-Week Lows On Monday,20220425T160100,https://www.benzinga.com/markets/options/22/04/26791205/52-weeks-high-and-low-article,STSS,0.008154,Neutral,-0.00571
Stocks That Hit 52-Week Lows On Wednesday,20220427T184104,https://www.benzinga.com/markets/options/22/04/26844275/52-weeks-high-and-low-article,STSS,0.006956,Neutral,0.000682
68 Biggest Movers From Yesterday,20220419T083535,https://www.benzinga.com/news/22/04/26681653/68-biggest-movers-from-yesterday,STSS,0.057004,Neutral,-0.018119
