title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Diamondback  ( FANG )  JV Acquires New Water Infrastructure Assets,20240606T134300,https://www.zacks.com/stock/news/2284753/diamondback-fang-jv-acquires-new-water-infrastructure-assets,SUN,0.279813,Somewhat-Bullish,0.258275
BP Eyes FID for Trinidad's Calypso Deepwater Gas Field by 2025,20240126T143000,https://www.zacks.com/stock/news/2216452/bp-eyes-fid-for-trinidads-calypso-deepwater-gas-field-by-2025,SUN,0.246999,Bullish,0.409239
Eni's  ( E )  Plentitude Collaborates With BlueFloat-Sener JV,20240124T143200,https://www.zacks.com/stock/news/2214938/enis-e-plentitude-collaborates-with-bluefloat-sener-jv,SUN,0.067158,Neutral,0.086184
BP and Worley Extend Collaboration With a Five-Year Agreement,20240124T142800,https://www.zacks.com/stock/news/2214918/bp-and-worley-extend-collaboration-with-a-five-year-agreement,SUN,0.264897,Somewhat-Bullish,0.256862
Here's Why it is Worth Investing in Sunoco  ( SUN )  Stock Now,20240124T141000,https://www.zacks.com/stock/news/2214879/heres-why-it-is-worth-investing-in-sunoco-sun-stock-now,SUN,0.509589,Bullish,0.714977
Equinor  ( EQNR )  Begins Operations at UK Blandford Road Asset,20240123T154700,https://www.zacks.com/stock/news/2214330/equinor-eqnr-begins-operations-at-uk-blandford-road-asset,SUN,0.259037,Neutral,0.066326
TotalEnergies  ( TTE )  Eyes March Restart for Denmark's Tyra Field,20240123T121000,https://www.zacks.com/stock/news/2213955/totalenergies-tte-eyes-march-restart-for-denmarks-tyra-field,SUN,0.236588,Somewhat-Bullish,0.165633
Sunoco  ( SUN )  and NuStar Join Forces for a 7.3B All-Equity Merger,20240123T120900,https://www.zacks.com/stock/news/2213953/sunoco-sun-and-nustar-join-forces-for-a-73b-all-equity-merger,SUN,0.574748,Bullish,0.583416
"Enbridge  ( ENB )  Targets French Offshore Wind, Shuns U.S. Projects",20240116T124000,https://www.zacks.com/stock/news/2210574/enbridge-enb-targets-french-offshore-wind-shuns-us-projects,SUN,0.23281,Somewhat-Bullish,0.161795
NextDecade  ( NEXT )  Obtains $62.5M to Advance Rio Grande LNG,20240115T140900,https://www.zacks.com/stock/news/2210107/nextdecade-next-obtains-625m-to-advance-rio-grande-lng,SUN,0.245959,Neutral,0.134635
"Evolution  ( EPM )  Expands Asset Base, Signs $43.5M Contract",20240111T135400,https://www.zacks.com/stock/news/2208784/evolution-epm-expands-asset-base-signs-435m-contract,SUN,0.253646,Neutral,0.138021
Harbour  ( HBRIY )  Propels Energy Reserves Exploration Efforts,20240110T141100,https://www.zacks.com/stock/news/2208202/harbour-hbriy-propels-energy-reserves-exploration-efforts,SUN,0.285526,Somewhat-Bullish,0.198475
"Here's Why Hold Strategy is Apt for Matador Stock Now - Matador Resources  ( NYSE:MTDR ) , Eni  ( NYSE:E ) ",20240517T165531,https://www.benzinga.com/news/earnings/24/05/38895355/heres-why-hold-strategy-is-apt-for-matador-stock-now,SUN,0.294682,Somewhat-Bullish,0.161873
Here's Why Hold Strategy is Apt for Matador  ( MTDR )  Stock Now,20240517T124100,https://www.zacks.com/stock/news/2275425/heres-why-hold-strategy-is-apt-for-matador-mtdr-stock-now,SUN,0.299478,Somewhat-Bullish,0.174875
Why Retain Strategy is Apt for Phillips 66  ( PSX )  Stock Now,20240516T124300,https://www.zacks.com/stock/news/2274744/why-retain-strategy-is-apt-for-phillips-66-psx-stock-now,SUN,0.295867,Somewhat-Bullish,0.173168
"Earnings Scheduled For May 4, 2022",20220504T083630,https://www.benzinga.com/news/earnings/22/05/26983503/earnings-scheduled-for-may-4-2022,SUN,0.010898,Neutral,-5.2e-05
