title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
AC Immune  ( NASDAQ:ACIU )  Research Coverage Started at StockNews.com,20220929T060845,https://www.etfdailynews.com/2022/09/29/ac-immune-nasdaqaciu-research-coverage-started-at-stocknews-com-2/,UNFI,0.083833,Neutral,0.032062
"Breakthru Beverage Group Names Stephanie J. Soto Executive Vice President, Chief Human Resources Officer",20220711T130000,https://www.prnewswire.com/news-releases/breakthru-beverage-group-names-stephanie-j-soto-executive-vice-president-chief-human-resources-officer-301583679.html,UNFI,0.064797,Neutral,0.082312
"Beauty Health Posts Upbeat Sales, Joins SIGA Technologies, MaxCyte And Other Big Stocks Moving Higher In Wednesday's Pre-Market Session - Beauty Health  ( NASDAQ:SKIN ) ",20240313T101613,https://www.benzinga.com/news/24/03/37649482/beauty-health-posts-upbeat-sales-joins-siga-technologies-maxcyte-and-other-big-stocks-moving-higher,UNFI,0.24289,Bullish,0.426863
76 Biggest Movers From Yesterday,20220519T084523,https://www.benzinga.com/news/22/05/27294922/76-biggest-movers-from-yesterday,UNFI,0.075294,Neutral,0.008111
Why Is General Mills  ( GIS )  Down 8.1% Since Last Earnings Report?,20230119T163008,https://www.zacks.com/stock/news/2041492/why-is-general-mills-gis-down-81-since-last-earnings-report,UNFI,0.03178,Neutral,0.013294
"Ollie's Bargain Outlet Posts Upbeat Earnings, Joins Verint Systems, Guidewire Software And Other Big Stocks Moving Higher On Wednesday - Ollie's Bargain Outlet  ( NASDAQ:OLLI ) ",20240605T142346,https://www.benzinga.com/news/24/06/39186219/ollies-bargain-outlet-posts-upbeat-earnings-joins-verint-systems-guidewire-software-and-other-big-st,UNFI,0.136888,Bullish,0.439752
"Nasdaq, S&P 500 Eye Strong Open Today: What's Driving Stock Futures Up? - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",20240605T112425,https://www.benzinga.com/news/earnings/24/06/39180770/wall-street-looks-to-extend-gains-as-traders-eye-more-jobs-data-why-this-analyst-sees-4-s-p-500-ris,UNFI,0.113866,Neutral,0.0
"Crude Oil Rises Over 1%; United Natural Foods Posts Downbeat Results - Farmer Bros  ( NASDAQ:FARM ) , Couchbase  ( NASDAQ:BASE ) ",20230607T185355,https://www.benzinga.com/news/earnings/23/06/32765941/crude-oil-rises-over-1-united-natural-foods-posts-downbeat-results,UNFI,0.148731,Neutral,-0.13629
"Dave & Buster's, Vera Bradley rise; Campbell Soup, Calavo Growers fall",20230607T160858,https://apnews.com/article/financial-markets-stocks-wall-street-8629f49b576ea917fcf26b13b493e183,UNFI,0.546745,Neutral,0.0
"Campbell Soup, United Natural Foods And 3 Stocks To Watch Heading Into Wednesday - Campbell Soup  ( NYSE:CPB ) , Calavo Growers  ( NASDAQ:CVGW ) ",20230607T081653,https://www.benzinga.com/news/earnings/23/06/32752545/campbell-soup-united-natural-foods-and-3-stocks-to-watch-heading-into-wednesday,UNFI,0.574235,Bullish,0.55711
