title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Wednesday,20220511T162815,https://www.benzinga.com/markets/options/22/05/27141482/52-weeks-high-and-low-article,UPST,0.006905,Neutral,-0.004065
"Saia, Annexon, Core Scientific And Other Big Stocks Moving Higher On Tuesday - Saia  ( NASDAQ:SAIA ) ",20240604T140859,https://www.benzinga.com/news/24/06/39161979/saia-annexon-core-scientific-and-other-big-stocks-moving-higher-on-tuesday,UPST,0.443626,Somewhat-Bullish,0.300291
"Tesla, Twitter And 76 Biggest Movers From Friday",20220711T113029,https://www.benzinga.com/news/22/07/28014980/tesla-twitter-and-76-biggest-movers-from-friday,UPST,0.056741,Neutral,0.063571
103 Biggest Movers From Yesterday,20220511T102237,https://www.benzinga.com/news/22/05/27130447/103-biggest-movers-from-yesterday,UPST,0.06399,Neutral,0.000177
Why Embark Technology Jumped Around 85%; Here Are 108 Biggest Movers From Friday,20220815T074324,https://www.benzinga.com/news/22/08/28488766/why-embark-technology-jumped-around-85-here-are-108-biggest-movers-from-friday,UPST,0.033942,Somewhat-Bullish,0.263294
Stocks That Hit 52-Week Lows On Wednesday,20220427T184104,https://www.benzinga.com/markets/options/22/04/26844275/52-weeks-high-and-low-article,UPST,0.006956,Neutral,-0.012615
"Crude Oil Rises 1.5%; Athenex Shares Plummet - Athenex  ( NASDAQ:ATNX ) , 1847 Holdings  ( AMEX:EFSH ) ",20230515T160013,https://www.benzinga.com/news/earnings/23/05/32398758/crude-oil-rises-1-5-athenex-shares-plummet,UPST,0.141726,Somewhat-Bullish,0.196999
9 Financials Stocks Moving In Friday's Pre-Market Session,20220520T120815,https://www.benzinga.com/trading-ideas/movers/22/05/27320443/9-financials-stocks-moving-in-fridays-pre-market-session,UPST,0.351558,Neutral,0.001023
"Why American Public Education Shares Are Trading Higher By Around 21%; Here Are 20 Stocks Moving Premarket - Sphere 3D  ( NASDAQ:ANY ) , American Public Education  ( NASDAQ:APEI ) ",20231108T124959,https://www.benzinga.com/news/23/11/35670254/why-american-public-education-shares-are-trading-higher-by-around-21-here-are-20-stocks-moving-prema,UPST,0.163354,Neutral,-0.054432
"Stocks That Hit 52-Week Lows On Monday - Tesla  ( NASDAQ:TSLA ) , ALFI  ( NASDAQ:ALF ) ",20221024T154117,https://www.benzinga.com/news/22/10/29381725/stocks-that-hit-52-week-lows-on-monday,UPST,0.011989,Neutral,-0.091777
77 Stocks Moving In Tuesday's Mid-Day Session,20220510T160029,https://www.benzinga.com/news/22/05/27114947/77-stocks-moving-in-tuesdays-mid-day-session,UPST,0.089052,Neutral,-0.007192
"Broadcom Posts Strong Results, Joins RH, Upstart And Other Big Stocks Moving Higher On Friday - ASP Isotopes  ( NASDAQ:ASPI ) , AirJoule Technologies  ( NASDAQ:AIRJ ) ",20241213T172126,https://www.benzinga.com/news/24/12/42488452/broadcom-posts-strong-results-joins-rh-upstart-and-other-big-stocks-moving-higher-on-friday,UPST,0.407844,Bullish,0.540665
"Why ZIM Integrated Shipping Services Shares Are Trading Lower By 14%? Here Are Other Stocks Moving In Monday's Mid-Day Session - Absci  ( NASDAQ:ABSI ) , ADS-TEC Energy  ( NASDAQ:ADSE ) ",20230522T172039,https://www.benzinga.com/news/23/05/32513895/why-zim-integrated-shipping-services-shares-are-trading-lower-by-14-here-are-other-stocks-moving-in,UPST,0.076479,Neutral,0.0
Why Is BIMI International Medical Higher By Around 70%: Here Are 38 Stocks Moving Premarket,20220809T094932,https://www.benzinga.com/news/22/08/28411787/why-is-bimi-international-medical-higher-by-around-70-here-are-38-stocks-moving-premarket,UPST,0.068306,Neutral,-0.040541
"Torrid Reports Upbeat Results, Joins MBIA, Virco Mfg. And Other Big Stocks Moving Higher On Friday - Applied Optoelectronics  ( NASDAQ:AAOI ) , ALX Oncology Holdings  ( NASDAQ:ALXO ) ",20231208T154052,https://www.benzinga.com/news/23/12/36154924/torrid-reports-upbeat-results-joins-mbia-virco-mfg-and-other-big-stocks-moving-higher-on-friday,UPST,0.173958,Neutral,0.0
"Upstart, Compass, RingCentral And Other Big Stocks Moving Higher On Wednesday - Advantage Solutions  ( NASDAQ:ADV ) , Alto Ingredients  ( NASDAQ:ALTO ) ",20230510T153533,https://www.benzinga.com/news/23/05/32320174/upstart-compass-ringcentral-and-other-big-stocks-moving-higher-on-wednesday,UPST,0.131643,Bullish,0.536935
"Upstart Holdings, Inc.  ( UPST )  Surpasses Q2 Earnings and Revenue Estimates",20220808T220515,https://www.zacks.com/stock/news/1965647/upstart-holdings-inc-upst-surpasses-q2-earnings-and-revenue-estimates,UPST,0.390904,Neutral,0.077999
"Earnings Scheduled For May 9, 2022",20220509T085247,https://www.benzinga.com/news/earnings/22/05/27068359/earnings-scheduled-for-may-9-2022,UPST,0.019128,Neutral,0.000325
