title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Wednesday,20220511T162815,https://www.benzinga.com/markets/options/22/05/27141482/52-weeks-high-and-low-article,UPWK,0.006905,Neutral,0.041747
"Harpoon Therapeutics, Heron Therapeutics And Other Big Stocks Moving Higher In Monday's Pre-Market Session - Altimmune  ( NASDAQ:ALT ) , Annexon  ( NASDAQ:ANNX ) ",20240108T103728,https://www.benzinga.com/news/24/01/36529043/harpoon-therapeutics-heron-therapeutics-and-other-big-stocks-moving-higher-in-mondays-pre-market-ses,UPWK,0.320974,Neutral,0.0
Stocks That Hit 52-Week Lows On Tuesday,20220315T163235,https://www.benzinga.com/news/22/03/26148458/stocks-that-hit-52-week-lows-on-tuesday,UPWK,0.00539,Neutral,0.00241
74 Biggest Movers From Yesterday,20220429T091949,https://www.benzinga.com/news/22/04/26890965/74-biggest-movers-from-yesterday,UPWK,0.047711,Neutral,0.023396
48 Stocks Moving In Thursday's Mid-Day Session,20220428T160533,https://www.benzinga.com/news/22/04/26874246/48-stocks-moving-in-thursdays-mid-day-session,UPWK,0.073693,Neutral,0.040707
"Why American Public Education Shares Are Trading Higher By Around 21%; Here Are 20 Stocks Moving Premarket - Sphere 3D  ( NASDAQ:ANY ) , American Public Education  ( NASDAQ:APEI ) ",20231108T124959,https://www.benzinga.com/news/23/11/35670254/why-american-public-education-shares-are-trading-higher-by-around-21-here-are-20-stocks-moving-prema,UPWK,0.163354,Bullish,0.356933
"Stocks That Hit 52-Week Lows On Tuesday - SoundHound AI  ( NASDAQ:SOUN ) , Sonnet BioTherapeutics  ( NASDAQ:SONN ) ",20221122T154845,https://www.benzinga.com/news/22/11/29825126/stocks-that-hit-52-week-lows-on-tuesday,UPWK,0.028072,Neutral,-0.120816
UPWK: 3 Internet Stocks Outperforming Shopify  ( SHOP ) ,20230922T181139,https://stocknews.com/news/upwk-sstk-sfix-shop-3-internet-stocks-outperforming-shopify-shop/,UPWK,0.391005,Bullish,0.435472
"Roblox, Under Armour, GoPro, Nuvei And Other Big Stocks Moving Higher On Wednesday - Apollo Medical Hlgs  ( NASDAQ:AMEH ) , Agiliti  ( NYSE:AGTI ) ",20231108T160242,https://www.benzinga.com/news/23/11/35676637/roblox-under-armour-gopro-nuvei-and-other-big-stocks-moving-higher-on-wednesday,UPWK,0.139669,Bullish,0.360908
Fintech Ramp Surfs Dollar Wave By Helping U.S. Companies Duck For Cover In International Markets,20221025T140000,https://www.forbes.com/sites/jonathanponciano/2022/10/25/fintech-ramp-cross-border-payments/,UPWK,0.049526,Neutral,0.051455
DASH: 4 Gig Economy Stocks Wall Street Predicts Will Rally 48% or More,20220414T144227,https://stocknews.com/news/dash-lyft-upwk-uber-4-gig-economy-stocks-wall-street-predicts-will-rally-48/,UPWK,0.226689,Neutral,0.043517
"Will Earnings Cheer Continue To Buoy Markets? Apple, Amazon, Pfizer, Coinbase Lead Flurry Of Q1 Reports This Week - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",20240429T055121,https://www.benzinga.com/news/earnings/24/04/38481553/will-earnings-cheer-continue-to-buoy-markets-apple-amazon-pfizer-coinbase-lead-flurry-of-q1-reports,UPWK,0.069294,Neutral,0.0
"'I Like It Very Much': Jim Cramer Bullish On This Financial Stock Up 75% YTD - Sibanye Stillwater  ( NYSE:SBSW ) , Cleanspark  ( NASDAQ:CLSK ) ",20231207T135241,https://www.benzinga.com/trading-ideas/long-ideas/23/12/36127763/i-like-it-very-much-jim-cramer-bullish-on-this-financial-stock-up-75-ytd,UPWK,0.566143,Neutral,-0.101883
