title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Friday,20220506T160650,https://www.benzinga.com/markets/options/22/05/27050916/52-weeks-high-and-low-article,VRDN,0.005467,Neutral,0.001828
"Earnings Scheduled For May 12, 2022",20220512T085523,https://www.benzinga.com/news/earnings/22/05/27156592/earnings-scheduled-for-may-12-2022,VRDN,0.017681,Neutral,-0.051556
"Why Horizon Therapeutics Shares Are Trading Higher By Over 30%; Here Are 32 Stocks Moving Premarket - Akanda  ( NASDAQ:AKAN ) , Aspen Aerogels  ( NYSE:ASPN ) ",20221130T124216,https://www.benzinga.com/news/22/11/29903371/why-horizon-therapeutics-shares-are-trading-higher-by-over-30-here-are-32-stocks-moving-premarket,VRDN,0.110462,Somewhat-Bullish,0.183781
"Stocks That Hit 52-Week Lows On Wednesday - Bristol-Myers Squibb Company Common Stock  ( NYSE:BMY ) , SenesTech, Inc. - Common Stock  ( NASDAQ:SNES ) ",20231004T160117,https://www.benzinga.com/markets/options/23/10/35092508/stocks-that-hit-52-week-lows-on-wednesday,VRDN,0.012708,Neutral,-0.093233
110 Biggest Movers From Friday,20220516T092329,https://www.benzinga.com/news/22/05/27213491/110-biggest-movers-from-friday,VRDN,0.039722,Neutral,0.003036
110 Biggest Movers From Friday,20220516T092329,https://markets.businessinsider.com/news/stocks/110-biggest-movers-from-friday-1031463674,VRDN,0.018223,Neutral,0.002555
56 Stocks Moving In Friday's Mid-Day Session,20220513T161103,https://www.benzinga.com/news/22/05/27195036/56-stocks-moving-in-fridays-mid-day-session,VRDN,0.077543,Neutral,0.0027
Gold Drops Over 1%; Viridian Therapeutics Shares Spike Higher,20220815T184601,https://www.benzinga.com/news/earnings/22/08/28501343/gold-drops-over-1-viridian-therapeutics-shares-spike-higher,VRDN,0.156123,Somewhat-Bullish,0.15235
Dow Surges Over 100 Points; Crude Oil Falls Sharply,20220815T161913,https://www.benzinga.com/news/earnings/22/08/28498725/dow-surges-over-100-points-crude-oil-falls-sharply,VRDN,0.151539,Neutral,0.149544
Biotech Sector a Healthy Choice for Investors?  ( Nasdaq: ELTX )   ( Nasdaq: VRDN )   ( Nasdaq: KZIA )   ( Nasdaq: RGLS ) ,20240405T141004,https://www.investorideas.com/news/2024/main/04051Stocks.asp,VRDN,0.197144,Neutral,0.103143
"Earnings Scheduled For March 10, 2022",20220310T093327,https://www.benzinga.com/news/earnings/22/03/26075023/earnings-scheduled-for-march-10-2022,VRDN,0.014477,Neutral,-0.060415
"Viridian Therapeutics, Inc.  ( VRDN )  Reports Q3 Loss, Tops Revenue Estimates",20221114T131505,https://www.zacks.com/stock/news/2017705/viridian-therapeutics-inc-vrdn-reports-q3-loss-tops-revenue-estimates,VRDN,0.397098,Neutral,0.057069
