title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
68 Biggest Movers From Yesterday,20220405T103716,https://www.benzinga.com/news/22/04/26468849/68-biggest-movers-from-yesterday,VTNR,0.057628,Neutral,0.001155
35 Stocks Moving In Monday's Mid-Day Session,20220404T161222,https://www.benzinga.com/news/22/04/26455173/35-stocks-moving-in-mondays-mid-day-session,VTNR,0.090594,Neutral,-0.0005
"Earnings Scheduled For March 8, 2022",20220308T084513,https://www.benzinga.com/news/earnings/22/03/26032610/earnings-scheduled-for-march-8-2022,VTNR,0.024658,Neutral,-0.001851
"Earnings Scheduled For May 10, 2022",20220510T091808,https://www.benzinga.com/news/earnings/22/05/27099859/earnings-scheduled-for-may-10-2022,VTNR,0.015162,Neutral,-0.145209
"Dow Tumbles Over 200 Points; CERo Therapeutics Shares Jump - CERo Therapeutics Hldgs  ( NASDAQ:CERO ) , Capricor Therapeutics  ( NASDAQ:CAPR ) ",20240925T184911,https://www.benzinga.com/markets/equities/24/09/41032868/dow-tumbles-over-200-points-cero-therapeutics-shares-jump,VTNR,0.163909,Neutral,-0.090764
Crude Oil Down Over 1%; Stitch Fix Shares Plummet - Stitch Fix  ( NASDAQ:SFIX ) ,20240925T155429,https://www.benzinga.com/news/earnings/24/09/41028887/crude-oil-down-over-1-stitch-fix-shares-plummet,VTNR,0.15697,Neutral,-0.088178
Dow Falls Over 50 Points; Cintas Posts Upbeat Earnings - Cintas  ( NASDAQ:CTAS ) ,20240925T135350,https://www.benzinga.com/news/earnings/24/09/41025717/dow-falls-over-50-points-cintas-posts-upbeat-earnings,VTNR,0.162255,Neutral,-0.090143
3 Top-Ranked Small Caps Crushing the S&P 500 In 2022,20230414T203300,https://www.zacks.com/stock/news/2079229/3-top-ranked-small-caps-crushing-the-sp-500-in-2022,VTNR,0.448842,Somewhat-Bullish,0.234482
"Rivian Automotive Reports Weak Delivery Figures, Joins JOYY, MiMedx Group And Other Big Stocks Moving Lower On Tuesday - Amprius Technologies  ( NYSE:AMPX ) , ARM Holdings  ( NASDAQ:ARM ) ",20240102T164708,https://www.benzinga.com/news/24/01/36455106/rivian-automotive-reports-weak-delivery-figures-joins-joyy-mimedx-group-and-other-big-stocks-moving,VTNR,0.16849,Neutral,0.140766
"Stocks That Hit 52-Week Lows On Thursday - PRA Group  ( NASDAQ:PRAA ) , Perimeter Solutions  ( NYSE:PRM ) ",20231005T172202,https://www.benzinga.com/news/23/10/35111787/stocks-that-hit-52-week-lows-on-thursday,VTNR,0.013047,Neutral,-0.087261
