title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Wednesday,20220511T162815,https://www.benzinga.com/markets/options/22/05/27141482/52-weeks-high-and-low-article,WING,0.006905,Neutral,0.046669
Stocks That Hit 52-Week Lows On Thursday,20220428T193101,https://www.benzinga.com/markets/options/22/04/26872967/52-weeks-high-and-low-article,WING,0.00644,Neutral,-0.012398
Stocks That Hit 52-Week Lows On Monday,20220418T154044,https://www.benzinga.com/news/22/04/26669813/stocks-that-hit-52-week-lows-on-monday,WING,0.005428,Neutral,0.015021
Stocks That Hit 52-Week Lows On Tuesday,20220315T163235,https://www.benzinga.com/news/22/03/26148458/stocks-that-hit-52-week-lows-on-tuesday,WING,0.00539,Neutral,-0.00249
Stocks That Hit 52-Week Lows On Tuesday,20220503T162024,https://www.benzinga.com/markets/options/22/05/26967499/52-weeks-high-and-low-article,WING,0.025785,Neutral,-0.0124
Stocks That Hit 52-Week Lows On Tuesday,20220524T161351,https://www.benzinga.com/markets/options/22/05/27375519/52-weeks-high-and-low-article,WING,0.010175,Neutral,0.003958
Stocks That Hit 52-Week Lows On Monday,20220314T161153,https://www.benzinga.com/news/22/03/26125409/stocks-that-hit-52-week-lows-on-monday,WING,0.003772,Neutral,-0.000895
New Strong Buy Stocks for July 19th,20240719T094500,https://www.zacks.com/commentary/2303765/new-strong-buy-stocks-for-july-19th,WING,0.495015,Neutral,0.0
Stocks That Hit 52-Week Lows On Wednesday,20220504T162909,https://www.benzinga.com/markets/options/22/05/26995541/52-weeks-high-and-low-article,WING,0.012359,Neutral,0.003508
"Stocks making the biggest moves midday: GameStop, Tesla, FedEx and more",20220318T163340,https://www.cnbc.com/2022/03/18/stocks-making-the-biggest-moves-midday-gamestop-tesla-and-more.html,WING,0.086807,Somewhat-Bearish,-0.207858
"Red Robin  ( RRGB )  Reports Q4 Business Update, Comps Rise",20230110T161000,https://www.zacks.com/stock/news/2037462/red-robin-rrgb-reports-q4-business-update-comps-rise,WING,0.367141,Somewhat-Bullish,0.326496
Is Stitch Fix  ( SFIX )  Outperforming Other Retail-Wholesale Stocks This Year?,20230721T134011,https://www.zacks.com/stock/news/2125342/is-stitch-fix-sfix-outperforming-other-retail-wholesale-stocks-this-year,WING,0.396574,Somewhat-Bullish,0.202516
Stitch Fix  ( SFIX )  Gains 37.8% in Past 3 Months: Here's Why,20230116T140400,https://www.zacks.com/stock/news/2039604/stitch-fix-sfix-gains-378-in-past-3-months-heres-why,WING,0.194242,Somewhat-Bullish,0.205479
