title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
StockNews.com Initiates Coverage on AC Immune  ( NASDAQ:ACIU ) ,20231006T054841,https://www.defenseworld.net/2023/10/06/stocknews-com-initiates-coverage-on-ac-immune-nasdaqaciu.html,XOM,0.083541,Neutral,0.085881
Pitney Bowes  ( NYSE:PBI )  Now Covered by StockNews.com,20231006T075842,https://www.defenseworld.net/2023/10/06/pitney-bowes-nysepbi-now-covered-by-stocknews-com.html,XOM,0.075635,Somewhat-Bullish,0.178207
Inspiring the Next Generation of Entrepreneurs at the Diversity and Equity Accelerator through Learning for Startups  ( DEALS )  Workshop,20231023T152700,https://www.prnewswire.com/news-releases/inspiring-the-next-generation-of-entrepreneurs-at-the-diversity-and-equity-accelerator-through-learning-for-startups-deals-workshop-301964671.html,XOM,0.020976,Neutral,0.136344
Yiren Digital  ( NYSE:YRD )  Coverage Initiated by Analysts at StockNews.com,20231006T074642,https://www.defenseworld.net/2023/10/06/yiren-digital-nyseyrd-coverage-initiated-by-analysts-at-stocknews-com.html,XOM,0.085324,Neutral,0.112879
Zoom Video Communications  ( ZM )  Q3 2025 Earnings Call Transcript,20241126T033012,https://www.fool.com/earnings/call-transcripts/2024/11/25/zoom-video-communications-zm-q3-2025-earnings-call/,XOM,0.004766,Somewhat-Bullish,0.163582
"Industrial Automation Market In Life Sciences Industry size is set to grow by USD 5.06 bn from 2024-2028, growing ... - PR Newswire",20240518T172700,https://www.prnewswire.com/news-releases/industrial-automation-market-in-life-sciences-industry-size-is-set-to-grow-by-usd-5-06-bn-from-2024-2028--growing-global-demand-for-healthcare-services-to-boost-the-market-growth-technavio-302149472.html,XOM,0.032646,Neutral,0.08176
"Jefferson Energy, Aramco Trading Americas Execute Agreement for Bi-Directional Flow on Jefferson Southern Star Pipeline; Will Provide Access from Marketlink Pipeline to Jefferson Energy's Beaumont Terminal - FTAI Infrastructure  ( NASDAQ:FIP ) ",20240613T201559,https://www.benzinga.com/pressreleases/24/06/g39321654/jefferson-energy-aramco-trading-americas-execute-agreement-for-bi-directional-flow-on-jefferson-so,XOM,0.040212,Neutral,0.017826
"Jefferson Energy, Aramco Trading Americas Execute Agreement for Bi-Directional Flow on Jefferson Southern Star Pipeline; Will Provide Access from Marketlink Pipeline to Jefferson Energy's Beaumont Terminal",20240613T201500,https://www.globenewswire.com/news-release/2024/06/13/2898652/0/en/Jefferson-Energy-Aramco-Trading-Americas-Execute-Agreement-for-Bi-Directional-Flow-on-Jefferson-Southern-Star-Pipeline-Will-Provide-Access-from-Marketlink-Pipeline-to-Jefferson-Ene.html,XOM,0.041828,Neutral,0.017876
"'Calling women ""ladies"" belongs in the dark ages'",20231006T125934,https://theweek.com/politics/calling-women-ladies-belongs-in-the-dark-ages,XOM,0.051111,Neutral,-0.119401
"Top Stories Thursday, July 6a: Samsung Electronics Expects Lowest Quarterly Profits In 14 Years, Exxon Anticipates Lower Natural Gas Prices & Refining Margins To Hit Profits, Bank Of America Boosts Dividend After Stress Test",20230706T133400,https://www.benzinga.com/news/23/07/33132799/samsung-electronics-expects-lowest-quarterly-profits-in-14-years-exxon-anticipates-lower-natural-gas,XOM,0.067441,Neutral,0.094467
StockNews.com Initiates Coverage on Synchronoss Technologies  ( NASDAQ:SNCR ) ,20230730T072442,https://www.defenseworld.net/2023/07/30/stocknews-com-initiates-coverage-on-synchronoss-technologies-nasdaqsncr.html,XOM,0.095517,Somewhat-Bullish,0.161445
"TETRA TECHNOLOGIES, INC. ANNOUNCES FIRST QUARTER 2024 FINANCIAL RESULTS",20240430T210000,https://www.prnewswire.com/news-releases/tetra-technologies-inc-announces-first-quarter--2024-financial-results-302132193.html,XOM,0.010439,Neutral,0.075266
"TETRA TECHNOLOGIES, INC. ANNOUNCES FOURTH QUARTER AND TOTAL YEAR 2023 RESULTS",20240227T220000,https://www.prnewswire.com/news-releases/tetra-technologies-inc-announces-fourth-quarter-and-total-year-2023-results-302073347.html,XOM,0.007957,Neutral,0.112517
"Exxon's Lithium Experiment Could Be Winner For Oil Company, State Of Arkansas - Exxon Mobil  ( NYSE:XOM ) , Tetra Technologies  ( NYSE:TTI ) ",20240216T164514,https://www.benzinga.com/news/large-cap/24/02/37182798/exxons-lithium-experiment-could-be-winner-for-oil-company-state-of-arkansas,XOM,0.099066,Somewhat-Bullish,0.185123
Standard Lithium Spearheads Arkansas Lithium Innovation Summit - Standard Lithium  ( AMEX:SLI ) ,20240209T120003,https://www.benzinga.com/pressreleases/24/02/g37031021/standard-lithium-spearheads-arkansas-lithium-innovation-summit,XOM,0.04794,Neutral,0.138792
"As Exxon eyes lithium, crucial decision looms on filtration technology",20231114T224600,https://www.reuters.com/markets/commodities/exxon-eyes-lithium-crucial-decision-looms-filtration-technology-2023-11-14/,XOM,0.170878,Neutral,0.00417
"Monday.Com Reports Q3 Beat, Joins Fortrea Holdings, Henry Schein And Other Big Stocks Moving Higher On Monday - Consensus Cloud Solutions  ( NASDAQ:CCSI ) , Boeing  ( NYSE:BA ) ",20231113T163049,https://www.benzinga.com/news/23/11/35753005/monday-com-reports-q3-beat-joins-fortrea-holdings-henry-schein-and-other-big-stocks-moving-higher-on,XOM,0.102013,Neutral,0.04047
Exxon Mobil Plans To Start Lithium Production By 2026 In Arkansas: Report - Exxon Mobil  ( NYSE:XOM ) ,20231113T114130,https://www.benzinga.com/markets/equities/23/11/35743279/exxon-mobil-plans-to-start-lithium-production-by-2026-in-arkansas-report,XOM,0.81111,Bullish,0.52002
Exclusive: Exxon aims to begin lithium production by 2026 in Arkansas,20231111T195300,https://www.reuters.com/markets/commodities/exxon-aims-begin-lithium-production-by-2026-arkansas-source-2023-11-11/,XOM,0.11894,Neutral,0.0
"Top 5 Energy Stocks That You May Want To Dump In September - Halliburton  ( NYSE:HAL ) , Arch Resources  ( NYSE:ARCH ) ",20230919T123427,https://www.benzinga.com/news/23/09/34726131/top-5-energy-stocks-that-you-may-want-to-dump-in-september,XOM,0.090816,Neutral,0.04142
Albemarle jumps into global race to reinvent lithium production,20230803T153100,https://www.reuters.com/markets/commodities/albemarle-jumps-into-global-race-reinvent-lithium-production-2023-08-03/,XOM,0.114682,Neutral,0.0
"Exxon looks to EV boom as oil giant is in talks to supply lithium to Tesla and other automakers, report says",20230731T194600,https://markets.businessinsider.com/news/commodities/exxon-mobil-ev-boom-lithium-supply-automakers-tesla-volkswagen-ford-2023-7,XOM,0.254307,Neutral,0.0
"Exxon Mobil in talks with Tesla, Ford to supply lithium - Bloomberg Law",20230731T181700,https://www.reuters.com/business/autos-transportation/exxon-mobil-talks-with-tesla-ford-supply-lithium-bloomberg-law-2023-07-31/,XOM,0.42503,Somewhat-Bullish,0.193678
"Costco Goes Netflix Way To Stop Sharing Of Subscriptions, Satya Nadella Wants To Ditch Console Exclusives, Investors Cheer Rite Aid Q1 Performance: Today's Top Stories",20230629T133618,https://markets.businessinsider.com/news/stocks/costco-goes-netflix-way-to-stop-sharing-of-subscriptions-satya-nadella-wants-to-ditch-console-exclusives-investors-cheer-rite-aid-q1-performance-today-s-top-stories-1032418049,XOM,0.033421,Neutral,0.045894
"Top Stories Thursday, June 29: Costco Goes Netflix Way To Stop Sharing Of Subscriptions, Satya Nadella Wants To Ditch Console Exclusives, Investors Cheer Rite Aid Q1 Performance - Costco Wholesale  ( NASDAQ:COST ) , Amazon.com  ( NASDAQ:AMZN ) ",20230629T133617,https://www.benzinga.com/news/23/06/33059187/costco-goes-netflix-way-to-stop-sharing-of-subscriptions-satya-nadella-wants-to-ditch-console-exclus,XOM,0.074692,Neutral,-0.093847
Exxon Mobil's Strategic Shift: Enters Second Lithium Venture in Bid to Boost US EV Supply Chain - Exxon Mobil  ( NYSE:XOM ) ,20230629T115350,https://www.benzinga.com/news/large-cap/23/06/33054847/exxon-mobils-strategic-shift-enters-second-lithium-venture-in-bid-to-boost-us-ev-supply-chain,XOM,0.306963,Neutral,-0.051395
Exclusive: Exxon Mobil expands lithium bet with Tetra Technologies deal,20230628T232300,https://www.reuters.com/markets/commodities/exxon-mobil-expands-lithium-bet-with-tetra-technologies-deal-2023-06-28/,XOM,0.090134,Neutral,0.096398
Corporate America got woke. Now it's having second thoughts.,20240509T095700,https://www.businessinsider.com/woke-capitalism-reversal-google-unilever-bud-light-esg-dei-2024-5,XOM,0.026532,Neutral,0.110411
