title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Tuesday,20220315T163235,https://www.benzinga.com/news/22/03/26148458/stocks-that-hit-52-week-lows-on-tuesday,YRD,0.00539,Neutral,-0.010748
"Why Richardson Electronics Shares Surged Over 8%; Here Are 55 Biggest Movers From Friday - Angel Oak Mortgage  ( NYSE:AOMR ) , Ampco-Pittsburgh  ( NYSE:AP ) ",20221128T100924,https://www.benzinga.com/news/22/11/29866518/why-richardson-electronics-shares-surged-over-8-here-are-55-biggest-movers-from-friday,YRD,0.075161,Neutral,0.0
"PDD Holdings, Daqo New Energy And Other Big Stocks Moving Lower In Monday's Pre-Market Session - PDD Holdings  ( NASDAQ:PDD ) ",20240826T122539,https://www.benzinga.com/news/24/08/40550557/pdd-holdings-daqo-new-energy-and-other-big-stocks-moving-lower-in-mondays-pre-market-session,YRD,0.290607,Neutral,-0.128279
Yiren Digital's First ESG Report Highlights at a Glance,20240712T110700,https://www.prnewswire.com/news-releases/yiren-digitals-first-esg-report-highlights-at-a-glance-302195756.html,YRD,0.545618,Bullish,0.420634
Yiren Digital at Forefront of AI Transformation: Board Director Huang Jingsheng Addresses GenAI Summit San ... - PR Newswire,20240606T115400,https://www.prnewswire.com/news-releases/yiren-digital-at-forefront-of-ai-transformation-board-director-huang-jingsheng-addresses-genai-summit-san-francisco-2024-302166101.html,YRD,0.580595,Bullish,0.374091
"Yiren Digital  ( NYSE:YRD )  Upgraded to ""Strong-Buy"" at StockNews.com",20240528T152628,https://www.defenseworld.net/2024/05/28/yiren-digital-nyseyrd-upgraded-to-strong-buy-at-stocknews-com.html,YRD,0.897792,Bullish,0.494683
"Yiren Digital  ( NYSE:YRD )  Downgraded by StockNews.com to ""Buy""",20240521T074648,https://www.defenseworld.net/2024/05/21/yiren-digital-nyseyrd-downgraded-by-stocknews-com-to-buy.html,YRD,0.917354,Bullish,0.51097
"Aehr Test Systems Reports Preliminary Results, Joins Dyne Therapeutics, United Airlines And Other Big Stocks Moving Lower On Monday - Aehr Test Systems  ( NASDAQ:AEHR ) , United Airlines Holdings  ( NASDAQ:UAL ) , Dyne Therapeutics  ( NASDAQ:DYN ) ",20240325T143202,https://www.benzinga.com/news/24/03/37915203/aehr-test-systems-reports-preliminary-results-joins-dyne-therapeutics-united-airlines-and-other-big,YRD,0.233556,Neutral,0.0
FCFS: 3 Consumer Finance Stocks to Buy for Future Investments,20231205T173538,https://stocknews.com/news/fcfs-yrd-rm-3-consumer-finance-stocks-to-buy-for-future-investments/,YRD,0.235823,Somewhat-Bullish,0.318154
"Yiren Digital  ( NYSE:YRD )  Upgraded to ""Strong-Buy"" by StockNews.com",20231123T093912,https://www.defenseworld.net/2023/11/23/yiren-digital-nyseyrd-upgraded-to-strong-buy-by-stocknews-com.html,YRD,0.86962,Bullish,0.543959
"Yiren Digital  ( NYSE:YRD )  Downgraded to ""Buy"" at StockNews.com",20231114T093506,https://www.defenseworld.net/2023/11/14/yiren-digital-nyseyrd-downgraded-to-buy-at-stocknews-com.html,YRD,0.849882,Bullish,0.468285
Yiren Digital  ( NYSE:YRD )  Rating Increased to Strong-Buy at StockNews.com,20231105T065043,https://www.defenseworld.net/2023/11/05/yiren-digital-nyseyrd-rating-increased-to-strong-buy-at-stocknews-com.html,YRD,0.908348,Bullish,0.489527
Yiren Digital  ( NYSE:YRD )  Coverage Initiated by Analysts at StockNews.com,20231006T074642,https://www.defenseworld.net/2023/10/06/yiren-digital-nyseyrd-coverage-initiated-by-analysts-at-stocknews-com.html,YRD,0.836337,Bullish,0.402479
Yiren Digital Ltd.: A Trailblazer in China's Online Consumer Finance Market,20230826T063611,https://www.claytoncountyregister.com/news2/yiren-digital-nyseyrd-receives-strong-buy-rating-from-stocknews-com-analysts/156651/,YRD,0.824531,Bullish,0.708266
Yiren Digital Upgraded to Strong-Buy Rating by StockNews.com,20230825T080717,https://www.claytoncountyregister.com/news2/yiren-digital-nyseyrd-upgraded-by-stocknews-com-to-strong-buy-2/151073/,YRD,0.801457,Neutral,0.126978
"Yiren Digital  ( NYSE:YRD )  Lifted to ""Strong-Buy"" at StockNews.com",20230825T053847,https://www.defenseworld.net/2023/08/25/yiren-digital-nyseyrd-lifted-to-strong-buy-at-stocknews-com.html,YRD,0.858898,Bullish,0.524175
Yiren Digital  ( NYSE:YRD )  Research Coverage Started at StockNews.com,20230817T053242,https://www.defenseworld.net/2023/08/17/yiren-digital-nyseyrd-research-coverage-started-at-stocknews-com.html,YRD,0.853391,Bullish,0.397854
Yiren Digital  ( NYSE:YRD )  Now Covered by Analysts at StockNews.com,20230721T053042,https://www.defenseworld.net/2023/07/21/yiren-digital-nyseyrd-now-covered-by-analysts-at-stocknews-com-2.html,YRD,0.880871,Bullish,0.39044
Yiren Digital  ( NYSE:YRD )  Earns Buy Rating from Analysts at StockNews.com,20230713T052841,https://www.defenseworld.net/2023/07/13/yiren-digital-nyseyrd-earns-buy-rating-from-analysts-at-stocknews-com.html,YRD,0.885652,Bullish,0.37806
Yiren Digital  ( NYSE:YRD )  Now Covered by Analysts at StockNews.com,20230705T053450,https://www.defenseworld.net/2023/07/05/yiren-digital-nyseyrd-now-covered-by-analysts-at-stocknews-com.html,YRD,0.873652,Bullish,0.393969
