title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
54 Biggest Movers From Yesterday,20220420T094334,https://www.benzinga.com/news/22/04/26706319/54-biggest-movers-from-yesterday,ZEN,0.069124,Neutral,0.018984
38 Stocks Moving In Tuesday's Mid-Day Session,20220419T161631,https://www.benzinga.com/news/22/04/26694580/38-stocks-moving-in-tuesdays-mid-day-session,ZEN,0.101132,Neutral,0.010858
23 Stocks Moving in Tuesday's Pre-Market Session,20220419T103745,https://www.benzinga.com/news/22/04/26682742/23-stocks-moving-in-tuesdays-pre-market-session,ZEN,0.190117,Neutral,0.004154
"The Customer Engagement Solution Market Is Expected To Grow At A 12% Rate, Driven By The High Penetration Of The Internet As Per The Business Research Company's Customer Engagement Solution Global Market Report 2022",20220809T153000,https://www.benzinga.com/pressreleases/22/08/g28421088/the-customer-engagement-solution-market-is-expected-to-grow-at-a-12-rate-driven-by-the-high-penetr,ZEN,0.032736,Somewhat-Bullish,0.150612
"Earnings Scheduled For April 28, 2022",20220428T085040,https://www.benzinga.com/news/earnings/22/04/26860440/earnings-scheduled-for-april-28-2022,ZEN,0.014477,Neutral,0.006372
GGV Capital Launches the SMBTech 50,20220426T110000,https://www.prnewswire.com/news-releases/ggv-capital-launches-the-smbtech-50-301532632.html,ZEN,0.275091,Neutral,0.072006
Stocks That Hit 52-Week Lows On Friday,20220610T154524,https://www.benzinga.com/markets/options/22/06/27650434/52-weeks-high-and-low-article,ZEN,0.013393,Neutral,0.009488
Stocks That Hit 52-Week Lows On Tuesday,20220607T161020,https://www.benzinga.com/markets/options/22/06/27591585/52-weeks-high-and-low-article,ZEN,0.044543,Neutral,0.013425
Playvox Expands Workforce Management Capacity Planner: Cost-Cutting Solution Fuels Organizations Worldwide to Hire More Efficiently and Accurately,20221121T153800,https://www.prnewswire.com/news-releases/playvox-expands-workforce-management-capacity-planner-cost-cutting-solution-fuels-organizations-worldwide-to-hire-more-efficiently-and-accurately-301683994.html,ZEN,0.183895,Bullish,0.482116
Playvox Appoints Andrew Kaufman as Chief Financial Officer,20220915T130000,https://www.prnewswire.com/news-releases/playvox-appoints-andrew-kaufman-as-chief-financial-officer-301624687.html,ZEN,0.171485,Bullish,0.470488
